feature,condition,count,mean,std,median
freq_zipf,neg,6456,5.828690373115489,1.1435831408092005,5.931259494185134
freq_zipf,pos,5527,4.747109734889852,1.4583375116233168,4.678791434366244
freq_zipf,zero,6189,5.524684405640052,1.2873125567807446,5.583640780943042
word_len,neg,6456,4.468246592317224,1.9659963977604253,4.0
word_len,pos,5527,6.284421928713588,2.662622093192826,6.0
word_len,zero,6189,5.013410890289223,2.276388986045571,5.0
dep_dist,neg,6456,2.449349442379182,3.0972223949114683,1.0
dep_dist,pos,5527,2.3397865026234848,2.7970267856565583,1.0
dep_dist,zero,6189,2.3473905315883017,2.8862598946095614,1.0
depth,neg,6456,2.401641883519207,1.637266552965189,2.0
depth,pos,5527,1.9259996381400397,1.3362301493168782,2.0
depth,zero,6189,2.1381483276781386,1.4911331974854016,2.0
integration_cost,neg,6456,1.2520291201982652,1.5611408874327999,1.0
integration_cost,pos,5527,1.1080513841143478,1.4078403407897746,0.6
integration_cost,zero,6189,1.1742123121667474,1.4373056365058152,0.8
