stimulus,index,content,word_len,freq_zipf,dep_dist,depth,integration_cost,dep_label,pos_tag,lemma,sentence_id,token_id_sent
breakfast-pos.text.0,0,Breakfast,9,4.82144801901753,0,0,0.0,ROOT,NOUN,breakfast,0,0
breakfast-pos.text.0,1,with,4,6.703147736191453,1,1,0.8,prep,ADP,with,0,1
breakfast-pos.text.0,2,a,1,7.3099551280128585,1,4,0.3,det,DET,a,0,2
breakfast-pos.text.0,3,Stranger,8,4.431363764158987,5,3,2.5,nmod,PROPN,Stranger,0,3
breakfast-pos.text.0,4,The,3,7.469073206544746,1,4,0.3,det,DET,the,0,4
breakfast-pos.text.0,5,diner's,6,4.093071306376063,3,3,1.5,poss,NOUN,diner,0,5
breakfast-pos.text.0,6,fluorescent,11,2.7708520116421442,1,3,0.5,compound,NOUN,fluorescent,0,7
breakfast-pos.text.0,7,lights,6,5.218010042984363,7,2,3.7,pobj,NOUN,light,0,8
breakfast-pos.text.0,8,hummed,6,3.6830470382388496,1,3,0.5,acl,VERB,hum,0,9
breakfast-pos.text.0,9,"overhead,",8,3.5646660642520893,1,4,0.6,advmod,ADV,overhead,0,10
breakfast-pos.text.0,10,casting,7,3.6190933306267428,11,1,1.7000000000000002,punct,PUNCT,",",0,11
breakfast-pos.text.0,11,an,2,6.270478525477336,2,3,0.6,det,DET,an,0,13
breakfast-pos.text.0,12,unforgiving,11,2.7075701760979363,1,3,0.6,amod,VERB,unforgive,0,14
breakfast-pos.text.0,13,glare,5,3.2068258760318495,3,2,3.0,dobj,NOUN,glare,0,15
breakfast-pos.text.0,14,over,4,6.12165503058072,1,3,0.8,prep,ADP,over,0,16
breakfast-pos.text.0,15,the,3,7.469073206544746,2,5,0.6,det,DET,the,0,17
breakfast-pos.text.0,16,Formica,7,2.4913616938342726,1,5,0.5,compound,PROPN,Formica,0,18
breakfast-pos.text.0,17,countertops,11,2.64,3,4,1.5,pobj,NOUN,countertop,0,19
breakfast-pos.text.0,18,and,3,7.126710513400982,1,5,0.5,cc,CCONJ,and,0,20
breakfast-pos.text.0,19,vinyl,5,3.093421685162235,1,6,0.5,compound,NOUN,vinyl,0,21
breakfast-pos.text.0,20,booths.,6,4.308991029000164,3,5,1.5,conj,NOUN,booth,0,22
breakfast-pos.text.0,21,Rachel,6,4.15,23,1,4.1000000000000005,punct,PUNCT,.,0,23
breakfast-pos.text.0,22,settled,7,4.623456048069934,0,0,0.0,ROOT,VERB,settle,1,1
breakfast-pos.text.0,23,into,4,5.926645935044691,1,1,0.8,prep,ADP,into,1,2
breakfast-pos.text.0,24,her,3,6.452678661106354,2,3,1.0,poss,PRON,her,1,3
breakfast-pos.text.0,25,usual,5,4.571009672309305,1,3,0.6,amod,ADJ,usual,1,4
breakfast-pos.text.0,26,"booth,",5,4.308991029000164,3,2,1.5,pobj,NOUN,booth,1,5
breakfast-pos.text.0,27,scanning,8,3.367355921026019,5,1,0.5,punct,PUNCT,",",1,6
breakfast-pos.text.0,28,the,3,7.469073206544746,1,3,0.3,det,DET,the,1,8
breakfast-pos.text.0,29,menu,4,3.998259338423699,2,2,2.0,dobj,NOUN,menu,1,9
breakfast-pos.text.0,30,with,4,6.703147736191453,3,2,2.4000000000000004,prep,ADP,with,1,10
breakfast-pos.text.0,31,practiced,9,3.5224442335063197,1,4,0.6,amod,ADJ,practiced,1,11
breakfast-pos.text.0,32,familiarity.,11,2.8260748027008264,2,3,1.0,pobj,NOUN,familiarity,1,12
breakfast-pos.text.0,33,She,3,6.572044028989929,12,1,1.9000000000000004,punct,PUNCT,.,1,13
breakfast-pos.text.0,34,ordered,7,5.194708551575122,0,0,0.0,ROOT,VERB,order,2,1
breakfast-pos.text.0,35,her,3,6.452678661106354,2,2,1.0,poss,PRON,her,2,2
breakfast-pos.text.0,36,usual,5,4.571009672309305,1,2,0.6,amod,ADJ,usual,2,3
breakfast-pos.text.0,37,breakfast:,9,4.82144801901753,3,1,3.0,dobj,NOUN,breakfast,2,4
breakfast-pos.text.0,38,scrambled,9,3.8573324964312685,1,2,0.1,punct,PUNCT,:,2,5
breakfast-pos.text.0,39,"eggs,",4,4.415640979896154,3,2,1.5,appos,NOUN,egg,2,7
breakfast-pos.text.0,40,crispy,6,3.3560258571931225,1,3,0.1,punct,PUNCT,",",2,8
breakfast-pos.text.0,41,"bacon,",5,4.074084689028243,3,3,1.5,conj,PROPN,bacon,2,10
breakfast-pos.text.0,42,and,3,7.126710513400982,1,4,0.1,punct,PUNCT,",",2,11
breakfast-pos.text.0,43,whole-grain,10,,,,,,,,,
breakfast-pos.text.0,44,toast.,5,4.524655712357777,6,4,3.1,conj,NOUN,toast,2,16
breakfast-pos.text.0,45,The,3,7.469073206544746,16,1,2.7,punct,PUNCT,.,2,17
breakfast-pos.text.0,46,"waitress,",8,4.061829307294699,10,1,10.5,nsubj,NOUN,waitress,3,1
breakfast-pos.text.0,47,a,1,7.3099551280128585,1,2,0.1,punct,PUNCT,",",3,2
breakfast-pos.text.0,48,bleary-eyed,10,,,,,,,,,
breakfast-pos.text.0,49,woman,5,5.63811969986024,6,2,3.1,appos,NOUN,woman,3,7
breakfast-pos.text.0,50,named,5,5.80744031177937,1,3,0.5,acl,VERB,name,3,8
breakfast-pos.text.0,51,"Darla,",5,2.58,1,4,0.5,oprd,PROPN,Darla,3,9
breakfast-pos.text.0,52,scribbled,9,2.7075701760979363,9,2,1.3,punct,PUNCT,",",3,10
breakfast-pos.text.0,53,down,4,6.173264958940605,1,1,0.5,prt,ADP,down,3,12
breakfast-pos.text.0,54,the,3,7.469073206544746,1,2,0.3,det,DET,the,3,13
breakfast-pos.text.0,55,order,5,5.194708551575122,3,1,3.0,dobj,NOUN,order,3,14
breakfast-pos.text.0,56,and,3,7.126710513400982,4,1,2.0,cc,CCONJ,and,3,15
breakfast-pos.text.0,57,trudged,7,2.380211241711606,5,1,2.5,conj,VERB,trudge,3,16
breakfast-pos.text.0,58,"away,",4,5.863857961883973,1,2,0.6,advmod,ADV,away,3,17
breakfast-pos.text.0,59,leaving,7,5.150418694479298,2,2,0.2,punct,PUNCT,",",3,18
breakfast-pos.text.0,60,Rachel,6,4.15,1,3,1.0,dobj,PROPN,Rachel,3,20
breakfast-pos.text.0,61,to,2,7.355601686871925,1,4,0.3,aux,PART,to,3,21
breakfast-pos.text.0,62,wait.,4,5.919208884270423,3,3,1.5,xcomp,VERB,wait,3,22
breakfast-pos.text.0,63,Minutes,7,5.436194462320936,12,1,1.9000000000000004,punct,PUNCT,.,3,23
breakfast-pos.text.0,64,ticked,6,3.8603380065709936,1,2,0.5,acl,VERB,tick,4,1
breakfast-pos.text.0,65,"by,",2,6.127257098825985,1,3,0.8,prep,ADP,by,4,2
breakfast-pos.text.0,66,and,3,7.126710513400982,2,3,0.2,punct,PUNCT,",",4,3
breakfast-pos.text.0,67,Rachel's,7,4.15,2,2,1.0,poss,PROPN,Rachel,4,5
breakfast-pos.text.0,68,stomach,7,4.529173603261723,1,1,1.0,nsubj,NOUN,stomach,4,7
breakfast-pos.text.0,69,growled,7,2.9912260756924947,0,0,0.0,ROOT,VERB,growl,4,8
breakfast-pos.text.0,70,in,2,6.990046118048168,1,1,0.8,prep,ADP,in,4,9
breakfast-pos.text.0,71,anticipation.,12,3.3961993470957363,1,2,0.5,pobj,NOUN,anticipation,4,10
breakfast-pos.text.0,72,When,4,6.308372299806312,3,1,0.30000000000000004,punct,PUNCT,.,4,11
breakfast-pos.text.0,73,Darla,5,2.58,1,2,1.0,nsubj,PROPN,Darla,5,1
breakfast-pos.text.0,74,returned,8,4.962321972729584,9,1,4.9,advcl,VERB,return,5,2
breakfast-pos.text.0,75,with,4,6.703147736191453,1,2,0.8,prep,ADP,with,5,3
breakfast-pos.text.0,76,a,1,7.3099551280128585,2,4,0.6,det,DET,a,5,4
breakfast-pos.text.0,77,steaming,8,3.296665190261531,1,4,0.5,compound,NOUN,steaming,5,5
breakfast-pos.text.0,78,"plate,",5,4.409087369447835,3,3,1.5,pobj,NOUN,plate,5,6
breakfast-pos.text.0,79,Rachel's,7,4.15,2,2,1.0,poss,PROPN,Rachel,5,8
breakfast-pos.text.0,80,eyes,4,5.0483641052798855,1,1,1.0,nsubj,NOUN,eye,5,10
breakfast-pos.text.0,81,widened,7,2.9138138523837167,0,0,0.0,ROOT,VERB,widen,5,11
breakfast-pos.text.0,82,in,2,6.990046118048168,1,1,0.8,prep,ADP,in,5,12
breakfast-pos.text.0,83,confusion.,9,3.852479993636856,1,2,0.5,pobj,NOUN,confusion,5,13
breakfast-pos.text.0,84,Instead,7,4.899108858193399,3,1,0.30000000000000004,punct,PUNCT,.,5,14
breakfast-pos.text.0,85,of,2,7.063605036452092,0,0,0.0,ROOT,ADP,of,6,1
breakfast-pos.text.0,86,"eggs,",4,4.415640979896154,1,1,0.5,pobj,NOUN,egg,6,2
delayed-neg.naturalness,0,How,3,6.485184613433453,1,2,0.6,advmod,SCONJ,how,0,0
delayed-neg.naturalness,1,natural,7,4.6268534146667255,3,1,1.5,acomp,ADJ,natural,0,1
delayed-neg.naturalness,2,and,3,7.126710513400982,1,2,0.5,cc,CCONJ,and,0,2
delayed-neg.naturalness,3,fluent,6,3.0644579892269186,2,2,1.0,conj,ADJ,fluent,0,3
delayed-neg.naturalness,4,was,3,6.7594230602184195,0,0,0.0,ROOT,AUX,be,0,4
delayed-neg.naturalness,5,the,3,7.469073206544746,2,2,0.6,det,DET,the,0,5
delayed-neg.naturalness,6,writing,7,5.103119253545714,1,2,0.5,compound,VERB,write,0,6
delayed-neg.naturalness,7,style,5,4.478277831919605,3,1,1.5,attr,NOUN,style,0,7
delayed-neg.naturalness,8,in,2,6.990046118048168,1,2,0.8,prep,ADP,in,0,8
delayed-neg.naturalness,9,this,4,6.9019337688086235,1,4,0.3,det,DET,this,0,9
delayed-neg.naturalness,10,text?,4,3.7193312869837265,2,3,1.0,pobj,NOUN,text,0,10
delayed-neg.naturalness,11,4,0,5.78,7,1,0.9000000000000001,punct,PUNCT,?,0,11
delayed-neg.naturalness,12,–,0,,1,1,0.1,punct,PUNCT,–,1,1
delayed-neg.naturalness,13,very,4,6.093859261503438,1,3,0.6,advmod,ADV,very,1,2
delayed-neg.naturalness,14,natural,7,4.6268534146667255,1,2,0.6,amod,ADJ,natural,1,3
delayed-neg.naturalness,15,3,0,5.91,4,1,2.0,appos,NUM,3,1,4
delayed-neg.naturalness,16,–,0,,1,2,0.1,punct,PUNCT,–,1,5
delayed-neg.naturalness,17,rather,6,5.057742155828753,1,4,0.6,advmod,ADV,rather,1,6
delayed-neg.naturalness,18,natural,7,4.6268534146667255,1,3,0.6,amod,ADJ,natural,1,7
delayed-neg.naturalness,19,2,0,6.0,4,2,2.0,appos,NUM,2,1,8
delayed-neg.naturalness,20,–,0,,1,3,0.1,punct,PUNCT,–,1,9
delayed-neg.naturalness,21,rather,6,5.057742155828753,1,3,0.6,advmod,ADV,rather,1,10
delayed-neg.naturalness,22,unnatural,9,3.4393326938302624,1,2,0.6,amod,ADJ,unnatural,1,11
delayed-neg.naturalness,23,1,0,6.0,12,1,6.7,appos,NUM,1,1,12
delayed-neg.naturalness,24,–,0,,1,2,0.1,punct,PUNCT,–,1,13
delayed-neg.naturalness,25,very,4,6.093859261503438,1,3,0.6,advmod,ADV,very,1,14
delayed-neg.naturalness,26,unnatural,9,3.4393326938302624,3,2,1.7999999999999998,amod,ADJ,unnatural,1,15
prize-zero.naturalness,0,How,3,6.485184613433453,1,2,0.6,advmod,SCONJ,how,0,0
prize-zero.naturalness,1,natural,7,4.6268534146667255,3,1,1.5,acomp,ADJ,natural,0,1
prize-zero.naturalness,2,and,3,7.126710513400982,1,2,0.5,cc,CCONJ,and,0,2
prize-zero.naturalness,3,fluent,6,3.0644579892269186,2,2,1.0,conj,ADJ,fluent,0,3
prize-zero.naturalness,4,was,3,6.7594230602184195,0,0,0.0,ROOT,AUX,be,0,4
prize-zero.naturalness,5,the,3,7.469073206544746,2,2,0.6,det,DET,the,0,5
prize-zero.naturalness,6,writing,7,5.103119253545714,1,2,0.5,compound,VERB,write,0,6
prize-zero.naturalness,7,style,5,4.478277831919605,3,1,1.5,attr,NOUN,style,0,7
prize-zero.naturalness,8,in,2,6.990046118048168,1,2,0.8,prep,ADP,in,0,8
prize-zero.naturalness,9,this,4,6.9019337688086235,1,4,0.3,det,DET,this,0,9
prize-zero.naturalness,10,text?,4,3.7193312869837265,2,3,1.0,pobj,NOUN,text,0,10
prize-zero.naturalness,11,4,0,5.78,7,1,0.9000000000000001,punct,PUNCT,?,0,11
prize-zero.naturalness,12,–,0,,1,1,0.1,punct,PUNCT,–,1,1
prize-zero.naturalness,13,very,4,6.093859261503438,1,3,0.6,advmod,ADV,very,1,2
prize-zero.naturalness,14,natural,7,4.6268534146667255,1,2,0.6,amod,ADJ,natural,1,3
prize-zero.naturalness,15,3,0,5.91,4,1,2.0,appos,NUM,3,1,4
prize-zero.naturalness,16,–,0,,1,2,0.1,punct,PUNCT,–,1,5
prize-zero.naturalness,17,rather,6,5.057742155828753,1,4,0.6,advmod,ADV,rather,1,6
prize-zero.naturalness,18,natural,7,4.6268534146667255,1,3,0.6,amod,ADJ,natural,1,7
prize-zero.naturalness,19,2,0,6.0,4,2,2.0,appos,NUM,2,1,8
prize-zero.naturalness,20,–,0,,1,3,0.1,punct,PUNCT,–,1,9
prize-zero.naturalness,21,rather,6,5.057742155828753,1,3,0.6,advmod,ADV,rather,1,10
prize-zero.naturalness,22,unnatural,9,3.4393326938302624,1,2,0.6,amod,ADJ,unnatural,1,11
prize-zero.naturalness,23,1,0,6.0,12,1,6.7,appos,NUM,1,1,12
prize-zero.naturalness,24,–,0,,1,2,0.1,punct,PUNCT,–,1,13
prize-zero.naturalness,25,very,4,6.093859261503438,1,3,0.6,advmod,ADV,very,1,14
prize-zero.naturalness,26,unnatural,9,3.4393326938302624,3,2,1.7999999999999998,amod,ADJ,unnatural,1,15
blackout-neg.text.2,240,"open,",4,5.505706061959787,0,0,0.0,ROOT,ADJ,open,0,0
blackout-neg.text.2,241,just,4,6.67661497234708,1,1,0.1,punct,PUNCT,",",0,1
blackout-neg.text.2,242,a,1,7.3099551280128585,1,2,0.3,det,DET,a,0,3
blackout-neg.text.2,243,crack.,5,4.516403148447403,4,1,2.0,dep,NOUN,crack,0,4
blackout-neg.text.2,244,It,2,7.276377005067547,5,1,0.5,punct,PUNCT,.,0,5
blackout-neg.text.2,245,was,3,6.7594230602184195,0,0,0.0,ROOT,AUX,be,1,1
blackout-neg.text.2,246,as,2,6.345769610954118,5,2,2.5,mark,SCONJ,as,1,2
blackout-neg.text.2,247,if,2,6.549171303929439,4,2,2.0,mark,SCONJ,if,1,3
blackout-neg.text.2,248,someone,7,5.649451693528405,3,2,3.0,nsubj,PRON,someone,1,4
blackout-neg.text.2,249,had,3,6.789680109103924,2,2,0.6,aux,AUX,have,1,5
blackout-neg.text.2,250,been,4,6.7594230602184195,1,2,0.3,aux,AUX,be,1,6
blackout-neg.text.2,251,waiting,7,5.919208884270423,6,1,3.1,advcl,VERB,wait,1,7
blackout-neg.text.2,252,for,3,6.838540569153386,1,2,0.8,prep,ADP,for,1,8
blackout-neg.text.2,253,"them,",4,6.613095166038459,1,3,0.5,pobj,PRON,they,1,9
blackout-neg.text.2,254,had,3,6.224253283752622,9,1,1.3,punct,PUNCT,",",1,10
blackout-neg.text.2,255,been,4,6.7594230602184195,1,2,0.3,aux,AUX,be,1,12
blackout-neg.text.2,256,waiting,7,5.919208884270423,12,1,6.7,ccomp,VERB,wait,1,13
blackout-neg.text.2,257,for,3,6.838540569153386,3,3,1.5,mark,SCONJ,for,1,14
blackout-neg.text.2,258,them,4,6.613095166038459,2,3,2.0,nsubj,PRON,they,1,15
blackout-neg.text.2,259,to,2,7.355601686871925,1,3,0.3,aux,PART,to,1,16
blackout-neg.text.2,260,come,4,6.497065171063486,4,2,2.0,advcl,VERB,come,1,17
blackout-neg.text.2,261,and,3,7.126710513400982,1,3,0.5,cc,CCONJ,and,1,18
blackout-neg.text.2,262,find,4,5.919580118612771,2,3,1.0,conj,VERB,find,1,19
blackout-neg.text.2,263,the,3,7.469073206544746,1,5,0.3,det,DET,the,1,20
blackout-neg.text.2,264,light.,5,5.218010042984363,2,4,2.0,dobj,NOUN,light,1,21
blackout-neg.text.2,265,And,3,7.126710513400982,21,1,3.7,punct,PUNCT,.,1,22
blackout-neg.text.2,266,"then,",4,6.17304925458245,12,1,7.8999999999999995,advmod,ADV,then,2,1
blackout-neg.text.2,267,just,4,6.67661497234708,11,1,1.7000000000000002,punct,PUNCT,",",2,2
blackout-neg.text.2,268,as,2,6.345769610954118,2,2,1.0,mark,SCONJ,as,2,4
blackout-neg.text.2,269,they,4,6.613095166038459,1,2,1.0,nsubj,PRON,they,2,5
blackout-neg.text.2,270,were,4,6.7594230602184195,7,1,3.7,advcl,AUX,be,2,6
blackout-neg.text.2,271,about,5,6.560084852586414,1,2,0.5,acomp,ADJ,about,2,7
blackout-neg.text.2,272,to,2,7.355601686871925,1,4,0.3,aux,PART,to,2,8
blackout-neg.text.2,273,"leave,",5,5.748738301606059,2,3,1.0,xcomp,VERB,leave,2,9
blackout-neg.text.2,274,a,1,7.3099551280128585,3,1,0.30000000000000004,punct,PUNCT,",",2,10
blackout-neg.text.2,275,figure,6,5.111833578148847,1,1,1.0,nsubj,NOUN,figure,2,12
blackout-neg.text.2,276,emerged,7,3.2380461031287955,0,0,0.0,ROOT,VERB,emerge,2,13
blackout-neg.text.2,277,from,4,6.309430005221755,1,1,0.8,prep,ADP,from,2,14
blackout-neg.text.2,278,the,3,7.469073206544746,1,3,0.3,det,DET,the,2,15
blackout-neg.text.2,279,house.,5,5.710963118995275,2,2,1.0,pobj,NOUN,house,2,16
blackout-neg.text.2,280,It,2,7.276377005067547,4,1,0.4,punct,PUNCT,.,2,17
blackout-neg.text.2,281,was,3,6.7594230602184195,0,0,0.0,ROOT,AUX,be,3,1
blackout-neg.text.2,282,a,1,7.3099551280128585,1,2,0.3,det,DET,a,3,2
blackout-neg.text.2,283,"woman,",5,5.63811969986024,2,1,1.0,attr,NOUN,woman,3,3
blackout-neg.text.2,284,tall,4,4.509605704611555,1,2,0.1,punct,PUNCT,",",3,4
blackout-neg.text.2,285,and,3,7.126710513400982,1,3,0.5,cc,CCONJ,and,3,6
blackout-neg.text.2,286,"gaunt,",5,2.204119982655925,2,3,1.0,conj,ADJ,gaunt,3,7
blackout-neg.text.2,287,with,4,6.703147736191453,5,2,0.5,punct,PUNCT,",",3,8
blackout-neg.text.2,288,eyes,4,5.0483641052798855,1,3,0.5,pobj,NOUN,eye,3,10
blackout-neg.text.2,289,that,4,7.14956733263194,1,5,1.0,nsubj,PRON,that,3,11
blackout-neg.text.2,290,seemed,6,5.1455692977929886,2,4,1.0,relcl,VERB,seem,3,12
blackout-neg.text.2,291,to,2,7.355601686871925,1,6,0.3,aux,PART,to,3,13
blackout-neg.text.2,292,see,3,6.407684867368763,2,5,1.0,xcomp,VERB,see,3,14
blackout-neg.text.2,293,right,5,6.602969969996897,1,6,0.6,advmod,ADV,right,3,15
blackout-neg.text.2,294,through,7,5.739991406457079,2,6,1.6,prep,ADP,through,3,16
blackout-neg.text.2,295,them.,4,6.613095166038459,1,7,0.5,pobj,PRON,they,3,17
blackout-neg.text.2,296,She,3,6.572044028989929,17,1,2.9000000000000004,punct,PUNCT,.,3,18
blackout-neg.text.2,297,stood,5,5.354492600589436,0,0,0.0,ROOT,VERB,stand,4,1
blackout-neg.text.2,298,at,2,6.507464560676047,1,1,0.8,prep,ADP,at,4,2
blackout-neg.text.2,299,the,3,7.469073206544746,1,3,0.3,det,DET,the,4,3
blackout-neg.text.2,300,edge,4,4.371252629124939,2,2,1.0,pobj,NOUN,edge,4,4
blackout-neg.text.2,301,of,2,7.063605036452092,1,3,0.8,prep,ADP,of,4,5
blackout-neg.text.2,302,the,3,7.469073206544746,1,5,0.3,det,DET,the,4,6
blackout-neg.text.2,303,"lawn,",4,4.0916669575956846,2,4,1.0,pobj,NOUN,lawn,4,7
blackout-neg.text.2,304,her,3,6.452678661106354,7,1,0.9000000000000001,punct,PUNCT,",",4,8
blackout-neg.text.2,305,eyes,4,5.0483641052798855,12,2,12.7,nsubj,NOUN,eye,4,10
blackout-neg.text.2,306,fixed,5,4.938419645793193,1,3,0.5,acl,VERB,fix,4,11
blackout-neg.text.2,307,on,2,6.842342715684627,1,4,0.8,prep,ADP,on,4,12
blackout-neg.text.2,308,the,3,7.469073206544746,1,6,0.3,det,DET,the,4,13
blackout-neg.text.2,309,"crowd,",5,4.572523097849637,2,5,1.0,pobj,NOUN,crowd,4,14
blackout-neg.text.2,310,and,3,7.126710513400982,4,4,0.4,punct,PUNCT,",",4,15
blackout-neg.text.2,311,for,3,6.838540569153386,5,2,4.0,prep,ADP,for,4,17
blackout-neg.text.2,312,a,1,7.3099551280128585,1,4,0.3,det,DET,a,4,18
blackout-neg.text.2,313,"moment,",6,5.271934493817765,2,3,1.0,pobj,NOUN,moment,4,19
blackout-neg.text.2,314,it,2,7.276377005067547,2,2,0.2,punct,PUNCT,",",4,20
blackout-neg.text.2,315,was,3,6.7594230602184195,21,1,12.1,conj,AUX,be,4,22
blackout-neg.text.2,316,as,2,6.345769610954118,3,3,1.5,mark,SCONJ,as,4,23
blackout-neg.text.2,317,if,2,6.549171303929439,2,3,1.0,mark,SCONJ,if,4,24
blackout-neg.text.2,318,she,3,6.572044028989929,1,3,1.0,nsubj,PRON,she,4,25
blackout-neg.text.2,319,was,3,6.7594230602184195,4,2,2.0,advcl,AUX,be,4,26
blackout-neg.text.2,320,the,3,7.469073206544746,2,4,0.6,det,DET,the,4,27
blackout-neg.text.2,321,only,4,6.034913080865008,1,4,0.6,amod,ADJ,only,4,28
blackout-neg.text.2,322,person,6,5.328134861543332,3,3,1.5,attr,NOUN,person,4,29
blackout-neg.text.2,323,in,2,6.990046118048168,1,4,0.8,prep,ADP,in,4,30
blackout-neg.text.2,324,the,3,7.469073206544746,1,6,0.3,det,DET,the,4,31
blackout-neg.text.2,325,world.,5,5.658221334447711,2,5,1.0,pobj,NOUN,world,4,32
blackout-neg.text.2,326,And,3,7.126710513400982,32,1,5.9,punct,PUNCT,.,4,33
blackout-neg.text.2,327,"then,",4,6.17304925458245,13,1,8.6,advmod,ADV,then,5,1
blackout-neg.text.2,328,in,2,6.990046118048168,12,1,1.9000000000000004,punct,PUNCT,",",5,2
blackout-neg.text.2,329,a,1,7.3099551280128585,1,3,0.3,det,DET,a,5,4
blackout-neg.text.2,330,voice,5,4.935305690289924,2,2,1.0,pobj,NOUN,voice,5,5
blackout-neg.text.2,331,that,4,7.14956733263194,1,4,1.0,nsubj,PRON,that,5,6
blackout-neg.text.2,332,was,3,6.7594230602184195,2,3,1.0,relcl,AUX,be,5,7
blackout-neg.text.2,333,barely,6,4.463295609962003,1,5,0.6,advmod,ADV,barely,5,8
blackout-neg.text.2,334,above,5,4.689131197234498,2,4,1.6,prep,ADP,above,5,9
blackout-neg.text.2,335,a,1,7.3099551280128585,1,6,0.3,det,DET,a,5,10
blackout-neg.text.2,336,"whisper,",7,3.8976270912904414,2,5,1.0,pobj,NOUN,whisper,5,11
blackout-neg.text.2,337,she,3,6.572044028989929,2,1,0.2,punct,PUNCT,",",5,12
blackout-neg.text.2,338,spoke.,5,5.272259442940222,0,0,0.0,ROOT,VERB,speak,5,14
blackout-neg.text.2,339,"""I've",3,7.6017467520701825,3,2,3.0,nsubj,PRON,I,6,1
blackout-neg.text.2,340,been,4,6.7594230602184195,1,2,0.3,aux,AUX,be,6,3
blackout-neg.text.2,341,waiting,7,5.919208884270423,6,1,3.1,ccomp,VERB,wait,6,4
blackout-neg.text.2,342,for,3,6.838540569153386,1,2,0.8,prep,ADP,for,6,5
blackout-neg.text.2,343,"you,""",3,7.621769343182391,1,3,0.5,pobj,PRON,you,6,6
blackout-neg.text.2,344,she,3,6.572044028989929,2,1,0.2,punct,PUNCT,"""",6,8
blackout-neg.text.2,345,said.,4,6.214785585123866,0,0,0.0,ROOT,VERB,say,6,10
blackout-neg.text.2,346,"""I've",3,7.6017467520701825,3,1,3.0,nsubj,PRON,I,7,1
blackout-neg.text.2,347,been,4,6.7594230602184195,1,1,0.3,aux,AUX,be,7,3
blackout-neg.text.2,348,waiting,7,5.919208884270423,0,0,0.0,ROOT,VERB,wait,7,4
blackout-neg.text.2,349,for,3,6.838540569153386,1,1,0.8,prep,ADP,for,7,5
blackout-neg.text.2,350,so,2,6.627791747945443,1,3,0.6,advmod,ADV,so,7,6
blackout-neg.text.2,351,"long.""",4,5.829406704509388,2,2,1.0,pcomp,ADV,long,7,7
blackout-pos.text.2,179,making,6,6.142311236003898,0,0,0.0,ROOT,VERB,make,0,0
blackout-pos.text.2,180,their,5,5.816347374238363,2,2,1.0,poss,PRON,their,0,1
blackout-pos.text.2,181,stomachs,8,4.529173603261723,1,2,0.5,compound,NOUN,stomach,0,2
blackout-pos.text.2,182,growl,5,2.9912260756924947,3,1,3.0,dobj,NOUN,growl,0,3
blackout-pos.text.2,183,with,4,6.703147736191453,4,1,3.2,prep,ADP,with,0,4
blackout-pos.text.2,184,hunger.,6,3.7693773260761385,1,2,0.5,pobj,NOUN,hunger,0,5
blackout-pos.text.2,185,As,2,6.345769610954118,6,1,0.7000000000000001,punct,PUNCT,.,0,6
blackout-pos.text.2,186,they,4,6.613095166038459,1,2,1.0,nsubj,PRON,they,1,1
blackout-pos.text.2,187,"explored,",8,3.7937903846908183,3,1,1.5,advcl,VERB,explore,1,2
blackout-pos.text.2,188,they,4,6.613095166038459,2,1,0.2,punct,PUNCT,",",1,3
blackout-pos.text.2,189,discovered,10,4.080626486921806,0,0,0.0,ROOT,VERB,discover,1,5
blackout-pos.text.2,190,a,1,7.3099551280128585,4,2,1.2,det,DET,a,1,6
