,coef,se
Intercept,5.728548385472835,0.028634386279777053
"C(condition, Sum)[S.neg]",-0.013597799114725858,0.010818551516209297
"C(condition, Sum)[S.pos]",0.02826638432625882,0.010944192345820471
freq_zipf_z,-0.054360186106278574,0.013868688845901566
word_len_z,0.08944403778736033,0.011616934566492978
dep_dist_z,-0.007866970540027217,0.005104836925136432
depth_z,0.01320649346838807,0.003349405659645261
integration_cost_z,0.00030047882363025923,0.005089334836706484
subject_id Var,0.04880445578611267,0.022864328087297058
subject_id x freq_zipf_z Cov,-0.017799191245752716,0.009642863879057243
freq_zipf_z Var,0.010753173119698072,0.00565169421309337
subject_id x word_len_z Cov,0.014529456604699368,0.007980948864281539
freq_zipf_z x word_len_z Cov,-0.005755607600388997,0.0034940389295943677
word_len_z Var,0.007062953042856466,0.0038136242502815575
stimulus Var,0.10888775757483105,0.01235576367867393
