feature,condition,coef,ci_lo,ci_hi
dep_dist,neg,0.0254568138086585,0.0048311019370426,0.0460825256802744
dep_dist,pos,-0.0143725401625126,-0.0356913378771889,0.0069462575521636
depth,neg,0.1430504366474549,0.1117630358445021,0.1743378374504076
depth,pos,-0.1295088179173053,-0.1614183315031245,-0.097599304331486
freq_zipf,neg,0.3246251311259289,0.299413172168677,0.3498370900831808
freq_zipf,pos,-0.4318859089172105,-0.4583755035534473,-0.4053963142809736
integration_cost,neg,0.0499569121557468,0.0286740695944952,0.0712397547169984
integration_cost,pos,-0.0464119059646417,-0.0685609019425097,-0.0242629099867736
word_len,neg,-0.305452811618621,-0.3326436927104045,-0.2782619305268375
word_len,pos,0.3989058807232842,0.3706945564386819,0.4271172050078865
