subject_id,stimulus,condition,index,content,total_reading_time
P01,delayed-pos.text.0,pos,0,Delayed,238
P01,delayed-pos.text.0,pos,1,Flight,0
P01,delayed-pos.text.0,pos,2,The,153
P01,delayed-pos.text.0,pos,3,storm,160
P01,delayed-pos.text.0,pos,4,raged,138
P01,delayed-pos.text.0,pos,5,"outside,",100
P01,delayed-pos.text.0,pos,6,its,0
P01,delayed-pos.text.0,pos,7,fury,415
P01,delayed-pos.text.0,pos,8,unrelenting,1267
P01,delayed-pos.text.0,pos,9,as,434
P01,delayed-pos.text.0,pos,10,the,0
P01,delayed-pos.text.0,pos,11,airport's,472
P01,delayed-pos.text.0,pos,12,fluorescent,307
P01,delayed-pos.text.0,pos,13,lights,163
P01,delayed-pos.text.0,pos,14,flickered,381
P01,delayed-pos.text.0,pos,15,ominously.,448
P01,delayed-pos.text.0,pos,16,Rachel,211
P01,delayed-pos.text.0,pos,17,huddled,321
P01,delayed-pos.text.0,pos,18,under,272
P01,delayed-pos.text.0,pos,19,a,0
P01,delayed-pos.text.0,pos,20,dripping,238
P01,delayed-pos.text.0,pos,21,"umbrella,",206
P01,delayed-pos.text.0,pos,22,scanning,241
P01,delayed-pos.text.0,pos,23,the,0
P01,delayed-pos.text.0,pos,24,departures,161
P01,delayed-pos.text.0,pos,25,board,329
P01,delayed-pos.text.0,pos,26,with,153
P01,delayed-pos.text.0,pos,27,growing,118
P01,delayed-pos.text.0,pos,28,desperation.,280
P01,delayed-pos.text.0,pos,29,Another,311
P01,delayed-pos.text.0,pos,30,"delay,",207
P01,delayed-pos.text.0,pos,31,another,238
P01,delayed-pos.text.0,pos,32,missed,159
P01,delayed-pos.text.0,pos,33,"connection,",263
P01,delayed-pos.text.0,pos,34,another,186
P01,delayed-pos.text.0,pos,35,missed,0
P01,delayed-pos.text.0,pos,36,opportunity.,121
P01,delayed-pos.text.0,pos,37,Across,226
P01,delayed-pos.text.0,pos,38,the,0
P01,delayed-pos.text.0,pos,39,"terminal,",279
P01,delayed-pos.text.0,pos,40,Jack,198
P01,delayed-pos.text.0,pos,41,slumped,144
P01,delayed-pos.text.0,pos,42,against,228
P01,delayed-pos.text.0,pos,43,a,0
P01,delayed-pos.text.0,pos,44,"pillar,",288
P01,delayed-pos.text.0,pos,45,nursing,419
P01,delayed-pos.text.0,pos,46,a,0
P01,delayed-pos.text.0,pos,47,lukewarm,756
P01,delayed-pos.text.0,pos,48,coffee.,103
P01,delayed-pos.text.0,pos,49,His,110
P01,delayed-pos.text.0,pos,50,phone,156
P01,delayed-pos.text.0,pos,51,buzzed,260
P01,delayed-pos.text.0,pos,52,"incessantly,",166
P01,delayed-pos.text.0,pos,53,a,0
P01,delayed-pos.text.0,pos,54,constant,235
P01,delayed-pos.text.0,pos,55,reminder,164
P01,delayed-pos.text.0,pos,56,of,157
P01,delayed-pos.text.0,pos,57,his,0
P01,delayed-pos.text.0,pos,58,impending,139
P01,delayed-pos.text.0,pos,59,flight,518
P01,delayed-pos.text.0,pos,60,cancellation.,193
P01,delayed-pos.text.0,pos,61,Frustration,615
P01,delayed-pos.text.0,pos,62,simmered,559
P01,delayed-pos.text.0,pos,63,just,125
P01,delayed-pos.text.0,pos,64,below,101
P01,delayed-pos.text.0,pos,65,the,0
P01,delayed-pos.text.0,pos,66,"surface,",218
P01,delayed-pos.text.0,pos,67,threatening,265
P01,delayed-pos.text.0,pos,68,to,0
P01,delayed-pos.text.0,pos,69,boil,348
P01,delayed-pos.text.0,pos,70,over.,1057
P01,delayed-pos.difficulty,pos,0,How,0
P01,delayed-pos.difficulty,pos,1,difficult,125
P01,delayed-pos.difficulty,pos,2,was,0
P01,delayed-pos.difficulty,pos,3,this,255
P01,delayed-pos.difficulty,pos,4,text,0
P01,delayed-pos.difficulty,pos,5,for,0
P01,delayed-pos.difficulty,pos,6,you,0
P01,delayed-pos.difficulty,pos,7,to,0
P01,delayed-pos.difficulty,pos,8,read,134
P01,delayed-pos.difficulty,pos,9,and,0
P01,delayed-pos.difficulty,pos,10,understand?,102
P01,delayed-pos.difficulty,pos,11,4,0
P01,delayed-pos.difficulty,pos,12,–,106
P01,delayed-pos.difficulty,pos,13,very,114
P01,delayed-pos.difficulty,pos,14,difficult,0
P01,delayed-pos.difficulty,pos,15,3,0
P01,delayed-pos.difficulty,pos,16,–,0
P01,delayed-pos.difficulty,pos,17,rather,373
P01,delayed-pos.difficulty,pos,18,difficult,0
P01,delayed-pos.difficulty,pos,19,2,0
P01,delayed-pos.difficulty,pos,20,–,0
P01,delayed-pos.difficulty,pos,21,rather,677
P01,delayed-pos.difficulty,pos,22,easy,0
P01,delayed-pos.difficulty,pos,23,1,0
P01,delayed-pos.difficulty,pos,24,–,221
P01,delayed-pos.difficulty,pos,25,very,0
P01,delayed-pos.difficulty,pos,26,easy,0
P01,goldfish-pos.text.3,pos,221,The,640
P01,goldfish-pos.text.3,pos,222,next,230
P01,goldfish-pos.text.3,pos,223,"morning,",0
P01,goldfish-pos.text.3,pos,224,Emma,209
P01,goldfish-pos.text.3,pos,225,rushed,324
P01,goldfish-pos.text.3,pos,226,"downstairs,",173
P01,goldfish-pos.text.3,pos,227,Finley,134
P01,goldfish-pos.text.3,pos,228,safely,190
P01,goldfish-pos.text.3,pos,229,ensconced,138
P01,goldfish-pos.text.3,pos,230,in,0
P01,goldfish-pos.text.3,pos,231,his,0
P01,goldfish-pos.text.3,pos,232,container.,342
P01,goldfish-pos.text.3,pos,233,As,0
P01,goldfish-pos.text.3,pos,234,she,319
P01,goldfish-pos.text.3,pos,235,entered,216
P01,goldfish-pos.text.3,pos,236,the,130
P01,goldfish-pos.text.3,pos,237,"kitchen,",0
P01,goldfish-pos.text.3,pos,238,the,0
P01,goldfish-pos.text.3,pos,239,unmistakable,246
P01,goldfish-pos.text.3,pos,240,scent,223
P01,goldfish-pos.text.3,pos,241,of,0
