subject_id,stimulus,condition,index,content,total_reading_time,word_len,freq_zipf,dep_dist,depth,integration_cost,dep_label,pos_tag,lemma,sentence_id,token_id_sent
P01,delayed-pos.text.0,pos,0,Delayed,238,7,4.042181594515766,1,1,0.6,amod,VERB,delay,0,0
P01,delayed-pos.text.0,pos,1,Flight,0,6,4.775901578891674,0,0,0.0,ROOT,PROPN,Flight,0,1
P01,delayed-pos.text.0,pos,2,The,153,3,7.469073206544746,1,3,0.3,det,DET,the,0,2
P01,delayed-pos.text.0,pos,3,storm,160,5,4.489395921727129,1,2,1.0,nsubj,NOUN,storm,0,3
P01,delayed-pos.text.0,pos,4,raged,138,5,4.053462604925455,3,1,1.5,relcl,VERB,rage,0,4
P01,delayed-pos.text.0,pos,5,"outside,",100,7,5.230500011841471,1,2,0.6,advmod,ADV,outside,0,5
P01,delayed-pos.text.0,pos,6,its,0,3,5.234795588220642,2,2,0.2,punct,PUNCT,",",0,6
P01,delayed-pos.text.0,pos,7,fury,415,4,3.5820633629117085,1,3,1.0,nsubj,NOUN,fury,0,8
P01,delayed-pos.text.0,pos,8,unrelenting,1267,11,2.653212513775344,5,2,2.5,advcl,ADJ,unrelenting,0,9
P01,delayed-pos.text.0,pos,9,as,434,2,6.345769610954118,6,4,3.1,mark,SCONJ,as,0,10
P01,delayed-pos.text.0,pos,10,the,0,3,7.469073206544746,1,6,0.3,det,DET,the,0,11
P01,delayed-pos.text.0,pos,11,airport's,472,8,4.580240508265376,3,5,1.5,poss,NOUN,airport,0,12
P01,delayed-pos.text.0,pos,12,fluorescent,307,11,2.7708520116421442,1,5,0.5,compound,NOUN,fluorescent,0,14
P01,delayed-pos.text.0,pos,13,lights,163,6,5.218010042984363,1,4,1.0,nsubj,NOUN,light,0,15
P01,delayed-pos.text.0,pos,14,flickered,381,9,2.838849090737255,7,3,3.7,advcl,VERB,flicker,0,16
P01,delayed-pos.text.0,pos,15,ominously.,448,9,1.3010299956639815,1,4,0.6,advmod,ADV,ominously,0,17
P01,delayed-pos.text.0,pos,16,Rachel,211,6,4.15,14,2,2.3000000000000003,punct,PUNCT,.,0,18
P01,delayed-pos.text.0,pos,17,huddled,321,7,3.338456493604605,0,0,0.0,ROOT,VERB,huddle,1,1
P01,delayed-pos.text.0,pos,18,under,272,5,5.418168662067866,1,1,0.8,prep,ADP,under,1,2
P01,delayed-pos.text.0,pos,19,a,0,1,7.3099551280128585,2,3,0.6,det,DET,a,1,3
P01,delayed-pos.text.0,pos,20,dripping,238,8,3.5276299008713385,1,3,0.6,amod,ADJ,dripping,1,4
P01,delayed-pos.text.0,pos,21,"umbrella,",206,8,3.8744818176994666,3,2,1.5,pobj,NOUN,umbrella,1,5
P01,delayed-pos.text.0,pos,22,scanning,241,8,3.367355921026019,5,1,0.5,punct,PUNCT,",",1,6
P01,delayed-pos.text.0,pos,23,the,0,3,7.469073206544746,2,3,0.6,det,DET,the,1,8
P01,delayed-pos.text.0,pos,24,departures,161,10,3.7315887651867388,1,3,0.5,compound,NOUN,departure,1,9
P01,delayed-pos.text.0,pos,25,board,329,5,4.807264355276107,3,2,3.0,dobj,NOUN,board,1,10
P01,delayed-pos.text.0,pos,26,with,153,4,6.703147736191453,1,3,0.8,prep,ADP,with,1,11
P01,delayed-pos.text.0,pos,27,growing,118,7,4.774443968924965,1,5,0.6,amod,VERB,grow,1,12
P01,delayed-pos.text.0,pos,28,desperation.,280,11,3.4800069429571505,2,4,1.0,pobj,NOUN,desperation,1,13
P01,delayed-pos.text.0,pos,29,Another,311,7,5.706905452560297,13,1,2.1,punct,PUNCT,.,1,14
P01,delayed-pos.text.0,pos,30,"delay,",207,5,4.042181594515766,0,0,0.0,ROOT,NOUN,delay,2,1
