time,stimulus,pixel_x,pixel_y,pupil
1158201,breakfast-pos.text.0,18.4,92.1,504.0
1158202,breakfast-pos.text.0,18.7,92.2,504.0
1158203,breakfast-pos.text.0,18.5,92.3,505.0
1158204,breakfast-pos.text.0,18.5,92.2,505.0
1158205,breakfast-pos.text.0,18.5,92.0,505.0
1158206,breakfast-pos.text.0,18.7,91.4,505.0
1158207,breakfast-pos.text.0,18.7,91.0,505.0
1158208,breakfast-pos.text.0,18.7,90.6,505.0
1158209,breakfast-pos.text.0,18.6,91.0,505.0
1158210,breakfast-pos.text.0,18.6,91.3,505.0
1158211,breakfast-pos.text.0,18.7,91.6,506.0
1158212,breakfast-pos.text.0,18.2,91.5,506.0
1158213,breakfast-pos.text.0,17.7,91.5,505.0
1158214,breakfast-pos.text.0,17.2,91.5,505.0
1158215,breakfast-pos.text.0,17.0,91.5,505.0
1158216,breakfast-pos.text.0,17.0,91.1,506.0
1158217,breakfast-pos.text.0,16.9,90.7,507.0
1158218,breakfast-pos.text.0,16.9,90.3,507.0
1158219,breakfast-pos.text.0,16.9,89.8,507.0
1158220,breakfast-pos.text.0,17.0,89.3,507.0
1158221,breakfast-pos.text.0,17.1,88.9,506.0
1158222,breakfast-pos.text.0,17.0,89.1,505.0
1158223,breakfast-pos.text.0,17.0,89.3,505.0
1158224,breakfast-pos.text.0,16.6,89.7,505.0
1158225,breakfast-pos.text.0,16.3,90.1,505.0
1158226,breakfast-pos.text.0,16.2,90.5,506.0
1158227,breakfast-pos.text.0,16.8,90.6,506.0
1158228,breakfast-pos.text.0,17.3,90.4,506.0
1158229,breakfast-pos.text.0,17.7,90.4,506.0
1158230,breakfast-pos.text.0,17.8,90.3,506.0
1158231,breakfast-pos.text.0,17.9,90.2,506.0
1158232,breakfast-pos.text.0,18.1,89.7,506.0
1158233,breakfast-pos.text.0,17.6,89.1,507.0
1158234,breakfast-pos.text.0,17.1,88.6,507.0
1158235,breakfast-pos.text.0,16.3,89.2,507.0
1158236,breakfast-pos.text.0,16.1,89.7,507.0
1158237,breakfast-pos.text.0,16.0,90.2,506.0
1158238,breakfast-pos.text.0,16.0,90.3,506.0
1158239,breakfast-pos.text.0,16.3,90.3,506.0
1158240,breakfast-pos.text.0,16.5,90.4,506.0
1158241,breakfast-pos.text.0,16.6,90.5,506.0
1158242,breakfast-pos.text.0,17.0,90.4,506.0
1158243,breakfast-pos.text.0,17.4,89.8,506.0
1158244,breakfast-pos.text.0,17.3,89.3,507.0
