index,left,top,right,bottom,section,line,content
1705,49.96875,76.5,65.96875,94.5,,0,A
1706,65.9375,80.5,77.9375,94.5,,0,s
1707,77.4375,94.5,84.4375,94.5,,0, 
1708,84.40625,80.5,96.40625,94.5,,0,s
1709,96.859375,75.5,111.859375,94.5,,0,h
1710,111.953125,80.5,125.953125,94.5,,0,e
1711,125.453125,94.5,132.453125,94.5,,0, 
1712,132.421875,80.5,144.421875,94.5,,0,s
1713,144.796875,80.5,159.796875,100.5,,0,p
1714,159.921875,80.5,174.921875,94.5,,0,o
1715,174.265625,75.5,188.265625,94.5,,0,k
1716,188.359375,80.5,202.359375,94.5,,0,e
1717,202.0625,91.5,209.0625,97.5,,0,","
1718,208.5625,94.5,215.5625,94.5,,0, 
1719,215.59375,77.5,224.59375,94.5,,0,t
1720,225.046875,75.5,240.046875,94.5,,0,h
1721,240.140625,80.5,254.140625,94.5,,0,e
1722,253.640625,94.5,260.640625,94.5,,0, 
1723,260.640625,80.5,272.640625,94.5,,0,c
1724,272.96875,80.5,282.96875,94.5,,0,r
1725,282.59375,80.5,297.59375,94.5,,0,o
1726,296.75,80.5,316.75,94.5,,0,w
1727,317.125,75.5,332.125,94.5,,0,d
1728,331.625,94.5,338.625,94.5,,0, 
1729,338.59375,80.5,350.59375,94.5,,0,s
1730,350.6875,80.5,364.6875,94.5,,0,e
1731,364.78125,80.5,378.78125,94.5,,0,e
1732,379.15625,80.5,402.15625,94.5,,0,m
1733,402.25,80.5,416.25,94.5,,0,e
1734,416.625,75.5,431.625,94.5,,0,d
1735,431.125,94.5,438.125,94.5,,0, 
1736,438.15625,77.5,447.15625,94.5,,0,t
1737,447.28125,80.5,462.28125,94.5,,0,o
1738,461.78125,94.5,468.78125,94.5,,0, 
1739,468.75,80.5,480.75,94.5,,0,s
1740,481.203125,75.5,496.203125,94.5,,0,h
1741,496.53125,80.5,506.53125,94.5,,0,r
1742,506.984375,75.5,512.984375,94.5,,0,i
1743,513.4375,80.5,528.4375,94.5,,0,n
1744,527.78125,75.5,541.78125,94.5,,0,k
1745,541.28125,94.5,548.28125,94.5,,0, 
1746,548.3125,80.5,562.3125,94.5,,0,a
1747,561.96875,80.5,581.96875,94.5,,0,w
1748,582.0,80.5,596.0,94.5,,0,a
1749,595.75,80.5,608.75,100.5,,0,y
1750,607.453125,91.5,614.453125,97.5,,0,","
1751,613.953125,94.5,620.953125,94.5,,0, 
1752,620.984375,80.5,634.984375,94.5,,0,a
1753,634.953125,80.5,646.953125,94.5,,0,s
1754,646.453125,94.5,653.453125,94.5,,0, 
1755,653.90625,75.5,659.90625,94.5,,0,i
1756,658.5,75.5,668.5,94.5,,0,f
1757,668.0,94.5,675.0,94.5,,0, 
1758,675.03125,77.5,684.03125,94.5,,0,t
1759,684.484375,75.5,699.484375,94.5,,0,h
1760,699.578125,80.5,713.578125,94.5,,0,e
1761,712.828125,80.5,725.828125,100.5,,0,y
1762,725.328125,94.5,732.328125,94.5,,0, 
1763,731.984375,80.5,751.984375,94.5,,0,w
1764,752.078125,80.5,766.078125,94.5,,0,e
1765,766.40625,80.5,776.40625,94.5,,0,r
1766,776.0,80.5,790.0,94.5,,0,e
1767,789.5,94.5,796.5,94.5,,0, 
1768,796.53125,80.5,810.53125,94.5,,0,a
1769,809.125,75.5,819.125,94.5,,0,f
1770,819.453125,80.5,829.453125,94.5,,0,r
1771,828.984375,80.5,842.984375,94.5,,0,a
1772,843.4375,75.5,849.4375,94.5,,0,i
1773,849.8125,75.5,864.8125,94.5,,0,d
1774,864.3125,94.5,871.3125,94.5,,0, 
1775,871.4375,80.5,886.4375,94.5,,0,o
1776,885.03125,75.5,895.03125,94.5,,0,f
1777,894.53125,94.5,901.53125,94.5,,0, 
1778,901.984375,75.5,916.984375,94.5,,0,h
1779,917.078125,80.5,931.078125,94.5,,0,e
1780,931.40625,80.5,941.40625,94.5,,0,r
1781,937.109375,91.5,944.109375,94.5,,0,.
1782,943.609375,94.5,950.609375,94.5,,0, 
