index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,118.59375,80.5,128.59375,94.5,question,0,r
6,128.21875,80.5,143.21875,94.5,question,0,o
7,143.671875,75.5,149.671875,94.5,question,0,l
8,149.765625,80.5,163.765625,94.5,question,0,e
9,163.265625,94.5,170.265625,94.5,question,0, 
10,170.640625,75.5,185.640625,94.5,question,0,d
11,185.765625,80.5,200.765625,94.5,question,0,o
12,200.859375,80.5,214.859375,94.5,question,0,e
13,214.828125,80.5,226.828125,94.5,question,0,s
14,226.328125,94.5,233.328125,94.5,question,0, 
15,233.0,76.5,256.0,94.5,question,0,M
16,256.328125,80.5,266.328125,94.5,question,0,r
17,266.296875,80.5,278.296875,94.5,question,0,s
18,278.0,91.5,285.0,94.5,question,0,.
19,284.5,94.5,291.5,94.5,question,0, 
20,291.328125,76.5,298.328125,99.5,question,0,J
21,298.421875,80.5,312.421875,94.5,question,0,e
22,312.875,80.5,327.875,94.5,question,0,n
23,327.21875,75.5,341.21875,94.5,question,0,k
24,341.671875,75.5,347.671875,94.5,question,0,i
25,348.125,80.5,363.125,94.5,question,0,n
26,363.09375,80.5,375.09375,94.5,question,0,s
27,374.59375,94.5,381.59375,94.5,question,0, 
28,382.046875,80.5,397.046875,94.5,question,0,u
29,397.5,75.5,403.5,94.5,question,0,l
30,403.53125,77.5,412.53125,94.5,question,0,t
31,412.984375,75.5,418.984375,94.5,question,0,i
32,419.359375,80.5,442.359375,94.5,question,0,m
33,442.390625,80.5,456.390625,94.5,question,0,a
34,456.421875,77.5,465.421875,94.5,question,0,t
35,465.515625,80.5,479.515625,94.5,question,0,e
36,479.96875,75.5,485.96875,94.5,question,0,l
37,485.71875,80.5,498.71875,100.5,question,0,y
38,498.21875,94.5,505.21875,94.5,question,0, 
39,505.59375,80.5,520.59375,100.5,question,0,p
40,521.046875,75.5,527.046875,94.5,question,0,l
41,527.078125,80.5,541.078125,94.5,question,0,a
42,540.828125,80.5,553.828125,100.5,question,0,y
43,553.328125,94.5,560.328125,94.5,question,0, 
44,560.78125,75.5,566.78125,94.5,question,0,i
45,567.234375,80.5,582.234375,94.5,question,0,n
46,581.734375,94.5,588.734375,94.5,question,0, 
47,588.765625,77.5,597.765625,94.5,question,0,t
48,598.21875,75.5,613.21875,94.5,question,0,h
49,613.3125,80.5,627.3125,94.5,question,0,e
50,626.8125,94.5,633.8125,94.5,question,0, 
51,633.78125,80.5,645.78125,94.5,question,0,s
52,645.8125,77.5,654.8125,94.5,question,0,t
53,654.9375,80.5,669.9375,94.5,question,0,o
54,670.265625,80.5,680.265625,94.5,question,0,r
55,680.015625,80.5,693.015625,100.5,question,0,y
56,693.359375,76.5,704.359375,94.5,question,0,?
57,99.96875,216.5,115.96875,234.5,option:0,0,A
58,115.46875,234.5,122.46875,234.5,option:0,0, 
59,122.171875,220.5,135.171875,234.5,option:0,0,v
60,135.625,215.5,141.625,234.5,option:0,0,i
61,141.625,220.5,153.625,234.5,option:0,0,c
62,153.65625,217.5,162.65625,234.5,option:0,0,t
63,163.109375,215.5,169.109375,234.5,option:0,0,i
64,169.484375,220.5,192.484375,234.5,option:0,0,m
65,191.984375,234.5,198.984375,234.5,option:0,0, 
66,199.109375,220.5,214.109375,234.5,option:0,0,o
67,212.703125,215.5,222.703125,234.5,option:0,0,f
68,222.203125,234.5,229.203125,234.5,option:0,0, 
69,229.234375,217.5,238.234375,234.5,option:0,0,t
70,238.6875,215.5,253.6875,234.5,option:0,0,h
71,253.78125,220.5,267.78125,234.5,option:0,0,e
72,267.28125,234.5,274.28125,234.5,option:0,0, 
73,274.65625,215.5,289.65625,234.5,option:0,0,b
74,290.109375,215.5,296.109375,234.5,option:0,0,l
75,296.140625,220.5,310.140625,234.5,option:0,0,a
76,310.140625,220.5,322.140625,234.5,option:0,0,c
77,321.484375,215.5,335.484375,234.5,option:0,0,k
78,335.609375,220.5,350.609375,234.5,option:0,0,o
79,351.0625,220.5,366.0625,234.5,option:0,0,u
80,366.09375,217.5,375.09375,234.5,option:0,0,t
81,99.96875,286.5,115.96875,304.5,option:1,0,A
82,115.46875,304.5,122.46875,304.5,option:1,0, 
83,122.921875,290.5,137.921875,304.5,option:1,0,n
84,138.046875,290.5,153.046875,304.5,option:1,0,o
85,153.015625,290.5,165.015625,304.5,option:1,0,s
86,164.765625,290.5,177.765625,310.5,option:1,0,y
87,177.265625,304.5,184.265625,304.5,option:1,0, 
88,184.71875,290.5,199.71875,304.5,option:1,0,n
89,199.8125,290.5,213.8125,304.5,option:1,0,e
90,214.265625,285.5,220.265625,304.5,option:1,0,i
91,220.640625,290.5,235.640625,310.5,option:1,0,g
92,236.09375,285.5,251.09375,304.5,option:1,0,h
93,251.46875,285.5,266.46875,304.5,option:1,0,b
