index,left,top,right,bottom,section,line,content
0,43.75,50,115.1796875,120.0,question,0,What
1,115.1796875,50,167.203125,120.0,question,0,role
2,167.203125,50,229.9140625,120.0,question,0,does
3,229.9140625,50,288.1640625,120.0,question,0,Mrs.
4,288.1640625,50,378.5703125,120.0,question,0,Jenkins
5,378.5703125,50,502.15625,120.0,question,0,ultimately
6,502.15625,50,557.3046875,120.0,question,0,play
7,557.3046875,50,585.5,120.0,question,0,in
8,585.5,50,630.546875,120.0,question,0,the
9,630.546875,50,710.859375,120.0,question,0,story?
10,93.46875,190.0,119.0703125,260.0,option:0,0,A
11,119.0703125,190.0,195.796875,260.0,option:0,0,victim
12,195.796875,190.0,225.96875,260.0,option:0,0,of
13,225.96875,190.0,271.21875,260.0,option:0,0,the
14,271.21875,190.0,381.59375,260.0,option:0,0,blackout
15,93.46875,260.0,119.4453125,330.0,option:1,0,A
16,119.4453125,260.0,181.2421875,330.0,option:1,0,nosy
17,181.2421875,260.0,298.421875,330.0,option:1,0,neighbor
18,93.46875,330.0,119.40625,400.0,option:2,0,A
19,119.40625,330.0,239.359375,400.0,option:2,0,prankster
20,239.359375,330.0,327.890625,400.0,option:2,0,behind
21,327.890625,330.0,373.1796875,400.0,option:2,0,the
22,373.1796875,330.0,447.4375,400.0,option:2,0,lights
23,93.46875,400.0,119.203125,470.0,option:3,0,A
24,119.203125,400.0,277.40625,470.0,option:3,0,supernatural
25,277.40625,400.0,392.96875,470.0,option:3,0,guardian
