index,left,top,right,bottom,section,line,content
1761,49.90625,76.5,63.90625,94.5,,0,T
1762,64.359375,75.5,79.359375,94.5,,0,h
1763,79.453125,80.5,93.453125,94.5,,0,e
1764,92.953125,94.5,99.953125,94.5,,0, 
1765,99.953125,80.5,111.953125,94.5,,0,c
1766,112.078125,80.5,127.078125,94.5,,0,o
1767,127.53125,80.5,142.53125,94.5,,0,u
1768,142.90625,80.5,157.90625,100.5,,0,p
1769,158.359375,75.5,164.359375,94.5,,0,l
1770,164.453125,80.5,178.453125,94.5,,0,e
1771,177.828125,76.5,183.828125,94.5,,0,'
1772,183.046875,80.5,195.046875,94.5,,0,s
1773,194.546875,94.5,201.546875,94.5,,0, 
1774,200.140625,75.5,210.140625,94.5,,0,f
1775,210.234375,80.5,224.234375,94.5,,0,e
1776,224.265625,80.5,238.265625,94.5,,0,a
1777,238.59375,80.5,248.59375,94.5,,0,r
1778,248.09375,94.5,255.09375,94.5,,0, 
1779,255.46875,75.5,270.46875,94.5,,0,d
1780,270.921875,75.5,276.921875,94.5,,0,i
1781,276.890625,80.5,288.890625,94.5,,0,s
1782,288.859375,80.5,300.859375,94.5,,0,s
1783,301.3125,75.5,307.3125,94.5,,0,i
1784,307.6875,80.5,322.6875,100.5,,0,p
1785,322.71875,80.5,336.71875,94.5,,0,a
1786,336.75,77.5,345.75,94.5,,0,t
1787,345.84375,80.5,359.84375,94.5,,0,e
1788,360.21875,75.5,375.21875,94.5,,0,d
1789,374.921875,91.5,381.921875,97.5,,0,","
1790,381.421875,94.5,388.421875,94.5,,0, 
1791,388.75,80.5,398.75,94.5,,0,r
1792,398.34375,80.5,412.34375,94.5,,0,e
1793,412.71875,80.5,427.71875,100.5,,0,p
1794,428.171875,75.5,434.171875,94.5,,0,l
1795,434.203125,80.5,448.203125,94.5,,0,a
1796,448.203125,80.5,460.203125,94.5,,0,c
1797,460.296875,80.5,474.296875,94.5,,0,e
1798,474.671875,75.5,489.671875,94.5,,0,d
1799,489.171875,94.5,496.171875,94.5,,0, 
1800,496.546875,75.5,511.546875,94.5,,0,b
1801,510.796875,80.5,523.796875,100.5,,0,y
1802,523.296875,94.5,530.296875,94.5,,0, 
1803,530.296875,80.5,542.296875,94.5,,0,c
1804,542.75,80.5,557.75,94.5,,0,u
1805,558.078125,80.5,568.078125,94.5,,0,r
1806,568.53125,75.5,574.53125,94.5,,0,i
1807,574.65625,80.5,589.65625,94.5,,0,o
1808,589.625,80.5,601.625,94.5,,0,s
1809,602.078125,75.5,608.078125,94.5,,0,i
1810,608.109375,77.5,617.109375,94.5,,0,t
1811,616.859375,80.5,629.859375,100.5,,0,y
1812,628.5625,91.5,635.5625,94.5,,0,.
1813,635.0625,94.5,642.0625,94.5,,0, 
1814,642.265625,76.5,652.265625,94.5,,0,""""
1815,652.171875,76.5,666.171875,94.5,,0,E
1816,666.390625,80.5,679.390625,94.5,,0,x
1817,679.765625,80.5,694.765625,100.5,,0,p
1818,694.859375,80.5,708.859375,94.5,,0,e
1819,708.859375,80.5,720.859375,94.5,,0,c
1820,720.890625,77.5,729.890625,94.5,,0,t
1821,730.34375,75.5,736.34375,94.5,,0,i
1822,736.796875,80.5,751.796875,94.5,,0,n
1823,752.171875,80.5,767.171875,100.5,,0,g
1824,766.671875,94.5,773.671875,94.5,,0, 
1825,774.125,80.5,789.125,94.5,,0,u
1826,789.09375,80.5,801.09375,94.5,,0,s
1827,800.9375,76.5,811.9375,94.5,,0,?
1828,812.140625,76.5,822.140625,94.5,,0,""""
1829,821.640625,94.5,828.640625,94.5,,0, 
1830,828.671875,77.5,837.671875,94.5,,0,t
1831,838.125,75.5,853.125,94.5,,0,h
1832,853.21875,80.5,867.21875,94.5,,0,e
1833,866.46875,80.5,879.46875,100.5,,0,y
1834,878.96875,94.5,885.96875,94.5,,0, 
1835,886.296875,80.5,896.296875,94.5,,0,r
1836,895.890625,80.5,909.890625,94.5,,0,e
1837,910.265625,80.5,925.265625,100.5,,0,p
1838,925.359375,80.5,939.359375,94.5,,0,e
1839,939.390625,80.5,953.390625,94.5,,0,a
1840,953.421875,77.5,962.421875,94.5,,0,t
1841,962.515625,80.5,976.515625,94.5,,0,e
1842,976.890625,75.5,991.890625,94.5,,0,d
1843,991.59375,91.5,998.59375,97.5,,0,","
1844,50.03125,147.5,59.03125,164.5,,1,t
1845,59.484375,145.5,74.484375,164.5,,1,h
1846,74.578125,150.5,88.578125,164.5,,1,e
1847,89.03125,145.5,95.03125,164.5,,1,i
1848,95.359375,150.5,105.359375,164.5,,1,r
1849,104.859375,164.5,111.859375,164.5,,1, 
1850,111.5625,150.5,124.5625,164.5,,1,v
1851,124.6875,150.5,139.6875,164.5,,1,o
1852,140.140625,145.5,146.140625,164.5,,1,i
1853,146.140625,150.5,158.140625,164.5,,1,c
1854,158.234375,150.5,172.234375,164.5,,1,e
1855,172.203125,150.5,184.203125,164.5,,1,s
1856,183.703125,164.5,190.703125,164.5,,1, 
1857,191.078125,145.5,206.078125,164.5,,1,b
1858,206.109375,150.5,220.109375,164.5,,1,a
1859,220.4375,150.5,230.4375,164.5,,1,r
1860,230.03125,150.5,244.03125,164.5,,1,e
1861,244.484375,145.5,250.484375,164.5,,1,l
1862,250.234375,150.5,263.234375,170.5,,1,y
1863,262.734375,164.5,269.734375,164.5,,1, 
1864,269.765625,150.5,283.765625,164.5,,1,a
1865,284.140625,145.5,299.140625,164.5,,1,b
1866,299.265625,150.5,314.265625,164.5,,1,o
1867,313.46875,150.5,326.46875,164.5,,1,v
1868,326.5625,150.5,340.5625,164.5,,1,e
1869,340.0625,164.5,347.0625,164.5,,1, 
1870,347.09375,150.5,361.09375,164.5,,1,a
