index,left,top,right,bottom,section,line,content
361,43.40625,50,96.703125,120.0,,0,The
362,96.703125,50,181.890625,120.0,,0,couple
363,181.890625,50,302.625,120.0,,0,"departed,"
364,302.625,50,364.65625,120.0,,0,their
365,364.65625,50,443.78125,120.0,,0,minds
366,443.78125,50,541.53125,120.0,,0,buzzing
367,541.53125,50,598.984375,120.0,,0,with
368,598.984375,50,727.109375,120.0,,0,"questions,"
369,727.109375,50,773.1171875,120.0,,0,but
370,773.1171875,50,831.3671875,120.0,,0,Mrs.
371,831.3671875,50,921.7109375,120.0,,0,Jenkins
372,921.7109375,50,1050.703125,120.0,,0,"remained,"
373,43.15625,120.0,160.71875,190.0,,1,watching
374,160.71875,120.0,205.96875,190.0,,1,the
375,205.96875,120.0,319.0078125,190.0,,1,darkness
376,319.0078125,120.0,411.7578125,190.0,,1,"recede,"
377,411.7578125,120.0,458.09375,190.0,,1,her
378,458.09375,120.0,546.5078125,190.0,,1,golden
379,546.5078125,120.0,605.734375,190.0,,1,light
380,605.734375,120.0,706.125,190.0,,1,burning
381,706.125,120.0,808.890625,190.0,,1,brighter
382,808.890625,120.0,869.390625,190.0,,1,than
383,869.390625,120.0,932.515625,190.0,,1,ever.
