index,left,top,right,bottom,section,line,content
0,49.90625,76.5,63.90625,94.5,,0,T
1,64.359375,75.5,79.359375,94.5,,0,h
2,79.453125,80.5,93.453125,94.5,,0,e
3,92.953125,94.5,99.953125,94.5,,0, 
4,100.046875,76.5,113.046875,94.5,,0,L
5,113.078125,80.5,127.078125,94.5,,0,a
6,127.046875,80.5,139.046875,94.5,,0,s
7,139.078125,77.5,148.078125,94.5,,0,t
8,147.578125,94.5,154.578125,94.5,,0, 
9,154.671875,76.5,167.671875,94.5,,0,L
10,168.125,75.5,174.125,94.5,,0,i
11,174.5,80.5,189.5,100.5,,0,g
12,189.953125,75.5,204.953125,94.5,,0,h
13,204.984375,77.5,213.984375,94.5,,0,t
14,213.484375,94.5,220.484375,94.5,,0, 
15,220.015625,76.5,240.015625,94.5,,0,O
16,240.46875,80.5,255.46875,94.5,,0,n
17,49.90625,216.5,63.90625,234.5,,2,T
18,64.359375,215.5,79.359375,234.5,,2,h
19,79.453125,220.5,93.453125,234.5,,2,e
20,92.953125,234.5,99.953125,234.5,,2, 
21,100.328125,215.5,115.328125,234.5,,2,d
22,115.359375,220.5,129.359375,234.5,,2,a
23,129.6875,220.5,139.6875,234.5,,2,r
24,139.03125,215.5,153.03125,234.5,,2,k
25,153.484375,220.5,168.484375,234.5,,2,n
26,168.578125,220.5,182.578125,234.5,,2,e
27,182.546875,220.5,194.546875,234.5,,2,s
28,194.515625,220.5,206.515625,234.5,,2,s
29,206.015625,234.5,213.015625,234.5,,2, 
30,212.671875,220.5,232.671875,234.5,,2,w
31,232.703125,220.5,246.703125,234.5,,2,a
32,246.671875,220.5,258.671875,234.5,,2,s
33,258.171875,234.5,265.171875,234.5,,2, 
34,265.546875,220.5,280.546875,240.5,,2,p
35,280.578125,220.5,294.578125,234.5,,2,a
36,295.03125,215.5,301.03125,234.5,,2,l
37,301.40625,220.5,316.40625,240.5,,2,p
38,316.4375,220.5,330.4375,234.5,,2,a
39,330.8125,215.5,345.8125,234.5,,2,b
40,346.265625,215.5,352.265625,234.5,,2,l
41,352.359375,220.5,366.359375,234.5,,2,e
42,366.0625,231.5,373.0625,237.5,,2,","
43,372.5625,234.5,379.5625,234.5,,2, 
44,379.59375,220.5,393.59375,234.5,,2,a
45,393.09375,234.5,400.09375,234.5,,2, 
46,400.546875,215.5,406.546875,234.5,,2,l
47,407.0,215.5,413.0,234.5,,2,i
48,412.703125,220.5,425.703125,234.5,,2,v
49,426.15625,215.5,432.15625,234.5,,2,i
50,432.609375,220.5,447.609375,234.5,,2,n
51,447.984375,220.5,462.984375,240.5,,2,g
52,462.6875,231.5,469.6875,237.5,,2,","
53,469.1875,234.5,476.1875,234.5,,2, 
54,476.5625,215.5,491.5625,234.5,,2,b
55,491.890625,220.5,501.890625,234.5,,2,r
56,501.484375,220.5,515.484375,234.5,,2,e
57,515.515625,220.5,529.515625,234.5,,2,a
58,529.546875,217.5,538.546875,234.5,,2,t
59,539.0,215.5,554.0,234.5,,2,h
60,554.453125,215.5,560.453125,234.5,,2,i
61,560.90625,220.5,575.90625,234.5,,2,n
62,576.28125,220.5,591.28125,240.5,,2,g
63,590.78125,234.5,597.78125,234.5,,2, 
64,597.875,220.5,611.875,234.5,,2,e
65,612.328125,220.5,627.328125,234.5,,2,n
66,627.359375,217.5,636.359375,234.5,,2,t
67,636.8125,215.5,642.8125,234.5,,2,i
68,642.84375,217.5,651.84375,234.5,,2,t
69,651.59375,220.5,664.59375,240.5,,2,y
70,664.09375,234.5,671.09375,234.5,,2, 
71,671.125,217.5,680.125,234.5,,2,t
72,680.578125,215.5,695.578125,234.5,,2,h
73,695.609375,220.5,709.609375,234.5,,2,a
74,709.640625,217.5,718.640625,234.5,,2,t
75,718.140625,234.5,725.140625,234.5,,2, 
76,724.796875,220.5,744.796875,234.5,,2,w
77,745.125,220.5,755.125,234.5,,2,r
78,754.65625,220.5,768.65625,234.5,,2,a
79,769.03125,220.5,784.03125,240.5,,2,p
80,784.40625,220.5,799.40625,240.5,,2,p
81,799.5,220.5,813.5,234.5,,2,e
82,813.875,215.5,828.875,234.5,,2,d
83,828.375,234.5,835.375,234.5,,2, 
84,835.828125,215.5,841.828125,234.5,,2,i
85,841.859375,217.5,850.859375,234.5,,2,t
86,850.828125,220.5,862.828125,234.5,,2,s
87,862.921875,220.5,876.921875,234.5,,2,e
88,877.375,215.5,883.375,234.5,,2,l
89,881.96875,215.5,891.96875,234.5,,2,f
90,891.46875,234.5,898.46875,234.5,,2, 
91,898.5,220.5,912.5,234.5,,2,a
92,912.828125,220.5,922.828125,234.5,,2,r
93,922.453125,220.5,937.453125,234.5,,2,o
94,937.90625,220.5,952.90625,234.5,,2,u
95,953.359375,220.5,968.359375,234.5,,2,n
96,968.734375,215.5,983.734375,234.5,,2,d
97,983.234375,234.5,990.234375,234.5,,2, 
98,990.265625,217.5,999.265625,234.5,,2,t
99,999.71875,215.5,1014.71875,234.5,,2,h
100,1014.8125,220.5,1028.8125,234.5,,2,e
101,50.453125,290.5,65.453125,304.5,,3,n
102,65.546875,290.5,79.546875,304.5,,3,e
103,80.0,285.5,86.0,304.5,,3,i
104,86.375,290.5,101.375,310.5,,3,g
105,101.828125,285.5,116.828125,304.5,,3,h
106,117.203125,285.5,132.203125,304.5,,3,b
107,132.328125,290.5,147.328125,304.5,,3,o
108,147.65625,290.5,157.65625,304.5,,3,r
109,158.109375,285.5,173.109375,304.5,,3,h
110,173.234375,290.5,188.234375,304.5,,3,o
111,188.359375,290.5,203.359375,304.5,,3,o
112,203.734375,285.5,218.734375,304.5,,3,d
113,218.234375,304.5,225.234375,304.5,,3, 
114,225.6875,285.5,231.6875,304.5,,3,l
115,232.140625,285.5,238.140625,304.5,,3,i
116,237.484375,285.5,251.484375,304.5,,3,k
117,251.578125,290.5,265.578125,304.5,,3,e
118,265.078125,304.5,272.078125,304.5,,3, 
119,272.109375,290.5,286.109375,304.5,,3,a
120,285.609375,304.5,292.609375,304.5,,3, 
121,292.578125,290.5,304.578125,304.5,,3,s
122,305.03125,285.5,320.03125,304.5,,3,h
123,320.359375,290.5,330.359375,304.5,,3,r
124,329.984375,290.5,344.984375,304.5,,3,o
125,345.4375,290.5,360.4375,304.5,,3,u
126,360.8125,285.5,375.8125,304.5,,3,d
127,375.515625,301.5,382.515625,304.5,,3,.
128,382.015625,304.5,389.015625,304.5,,3, 
129,389.484375,286.5,397.484375,304.5,,3,I
130,397.515625,287.5,406.515625,304.5,,3,t
131,406.015625,304.5,413.015625,304.5,,3, 
132,412.671875,290.5,432.671875,304.5,,3,w
133,432.703125,290.5,446.703125,304.5,,3,a
134,446.671875,290.5,458.671875,304.5,,3,s
135,458.171875,304.5,465.171875,304.5,,3, 
136,465.203125,290.5,479.203125,304.5,,3,a
137,479.171875,290.5,491.171875,304.5,,3,s
138,490.671875,304.5,497.671875,304.5,,3, 
139,498.125,285.5,504.125,304.5,,3,i
140,502.71875,285.5,512.71875,304.5,,3,f
141,512.21875,304.5,519.21875,304.5,,3, 
142,519.25,287.5,528.25,304.5,,3,t
143,528.703125,285.5,543.703125,304.5,,3,h
144,543.796875,290.5,557.796875,304.5,,3,e
