index,left,top,right,bottom,section,line,content
202,43.03125,50,102.515625,120.0,,0,One
203,102.515625,50,174.84375,120.0,,0,brave
204,174.84375,50,237.078125,120.0,,0,"soul,"
205,237.078125,50,257.46875,120.0,,0,a
206,257.46875,50,338.078125,120.0,,0,young
207,338.078125,50,432.6171875,120.0,,0,woman
208,432.6171875,50,521.078125,120.0,,0,named
209,521.078125,50,601.671875,120.0,,0,"Sarah,"
210,601.671875,50,700.765625,120.0,,0,decided
211,700.765625,50,731.6328125,120.0,,0,to
212,731.6328125,50,865.890625,120.0,,0,investigate
213,865.890625,50,958.9375,120.0,,0,further.
214,958.9375,50,1012.09375,120.0,,0,She
215,43.875,120.0,141.03125,190.0,,1,pushed
216,141.03125,120.0,207.53125,190.0,,1,open
217,207.53125,120.0,252.59375,190.0,,1,the
218,252.59375,120.0,334.4375,190.0,,1,creaky
219,334.4375,120.0,399.859375,190.0,,1,front
220,399.859375,120.0,462.140625,190.0,,1,door
221,462.140625,120.0,513.46875,190.0,,1,and
222,513.46875,120.0,615.5234375,190.0,,1,stepped
223,615.5234375,120.0,698.5234375,190.0,,1,"inside,"
224,698.5234375,120.0,744.8984375,190.0,,1,her
225,744.8984375,120.0,814.296875,190.0,,1,heart
226,814.296875,120.0,934.8984375,190.0,,1,pounding
227,934.8984375,120.0,963.3046875,190.0,,1,in
228,963.3046875,120.0,1012.703125,190.0,,1,her
229,43.5,190.0,122.453125,260.0,,2,chest.
230,122.453125,190.0,172.46875,260.0,,2,The
231,172.46875,190.0,209.9921875,260.0,,2,air
232,209.9921875,190.0,285.890625,260.0,,2,inside
233,285.890625,190.0,338.203125,260.0,,2,was
234,338.203125,190.0,400.3125,260.0,,2,stale
235,400.3125,190.0,451.84375,260.0,,2,and
236,451.84375,190.0,536.453125,260.0,,2,"musty,"
237,536.453125,190.0,587.8125,260.0,,2,and
238,587.8125,190.0,632.9375,260.0,,2,the
239,632.9375,190.0,689.140625,260.0,,2,only
240,689.140625,190.0,768.859375,260.0,,2,sound
241,768.859375,190.0,821.203125,260.0,,2,was
242,821.203125,190.0,866.265625,260.0,,2,the
243,866.265625,190.0,973.40625,260.0,,2,creaking
244,973.40625,190.0,1003.578125,260.0,,2,of
245,1003.578125,190.0,1051.890625,260.0,,2,the
