index,left,top,right,bottom,section,line,content
106,43.46875,50,81.421875,120.0,,0,As
107,81.421875,50,95.984375,120.0,,0,I
108,95.984375,50,180.59375,120.0,,0,waited
109,180.59375,50,222.03125,120.0,,0,for
110,222.03125,50,263.765625,120.0,,0,my
111,263.765625,50,325.203125,120.0,,0,food
112,325.203125,50,355.859375,120.0,,0,to
113,355.859375,50,437.21875,120.0,,0,"arrive,"
114,437.21875,50,451.96875,120.0,,0,I
115,451.96875,50,511.09375,120.0,,0,took
116,511.09375,50,531.59375,120.0,,0,a
117,531.59375,50,571.96875,120.0,,0,sip
118,571.96875,50,602.3125,120.0,,0,of
119,602.3125,50,644.75,120.0,,0,my
120,644.75,50,723.78125,120.0,,0,coffee
121,723.78125,50,775.3125,120.0,,0,and
122,775.3125,50,854.890625,120.0,,0,pulled
123,854.890625,50,901.125,120.0,,0,out
124,901.125,50,943.75,120.0,,0,my
125,943.75,50,1028.8125,120.0,,0,phone
126,43.53125,120.0,77.40625,190.0,,1,to
127,77.40625,120.0,150.8125,190.0,,1,check
128,150.8125,120.0,195.890625,190.0,,1,the
129,195.890625,120.0,262.265625,190.0,,1,time.
130,262.265625,120.0,277.2265625,190.0,,1,I
131,277.2265625,120.0,328.375,190.0,,1,had
132,328.375,120.0,349.078125,190.0,,1,a
133,349.078125,120.0,392.78125,190.0,,1,big
134,392.78125,120.0,441.265625,190.0,,1,day
135,441.265625,120.0,520.796875,190.0,,1,ahead
136,520.796875,120.0,551.140625,190.0,,1,of
137,551.140625,120.0,601.640625,190.0,,1,"me,"
138,601.640625,120.0,653.21875,190.0,,1,and
139,653.21875,120.0,668.1796875,190.0,,1,I
140,668.1796875,120.0,762.953125,190.0,,1,needed
141,762.953125,120.0,793.78125,190.0,,1,to
142,793.78125,120.0,864.953125,190.0,,1,make
143,864.953125,120.0,910.203125,190.0,,1,the
144,910.203125,120.0,976.078125,190.0,,1,most
145,976.078125,120.0,1006.4609375,190.0,,1,of
146,1006.4609375,120.0,1038.171875,190.0,,1,it.
147,43.328125,190.0,96.546875,260.0,,2,Just
148,96.546875,190.0,129.265625,260.0,,2,as
149,129.265625,190.0,143.828125,260.0,,2,I
150,143.828125,190.0,196.140625,260.0,,2,was
151,196.140625,190.0,294.34375,260.0,,2,starting
152,294.34375,190.0,324.28125,260.0,,2,to
153,324.28125,190.0,374.9453125,260.0,,2,feel
154,374.9453125,190.0,421.796875,260.0,,2,like
155,421.796875,190.0,436.359375,260.0,,2,I
156,436.359375,190.0,488.875,260.0,,2,was
157,488.875,190.0,562.984375,260.0,,2,going
158,562.984375,190.0,593.8515625,260.0,,2,to
159,593.8515625,190.0,656.421875,260.0,,2,have
160,656.421875,190.0,686.890625,260.0,,2,to
161,686.890625,190.0,742.75,260.0,,2,wait
162,742.75,190.0,763.453125,260.0,,2,a
163,763.453125,190.0,800.8515625,260.0,,2,bit
164,800.8515625,190.0,883.25,260.0,,2,longer
165,883.25,190.0,924.6875,260.0,,2,for
166,924.6875,190.0,966.421875,260.0,,2,my
167,966.421875,190.0,1037.796875,260.0,,2,"food,"
168,43.53125,260.0,91.65625,330.0,,3,the
169,91.65625,260.0,195.5234375,330.0,,3,waitress
170,195.5234375,260.0,305.34375,330.0,,3,returned
171,305.34375,260.0,362.625,330.0,,3,with
172,362.625,260.0,383.328125,330.0,,3,a
173,383.328125,260.0,448.8515625,330.0,,3,plate
174,448.8515625,260.0,476.328125,330.0,,3,in
175,476.328125,260.0,541.625,330.0,,3,front
176,541.625,260.0,571.96875,330.0,,3,of
177,571.96875,260.0,625.703125,330.0,,3,me.
178,43.75,400.0,94.0,470.0,,5,But
179,94.0,400.0,126.71875,470.0,,5,as
180,126.71875,400.0,141.6796875,470.0,,5,I
181,141.6796875,400.0,227.65625,470.0,,5,looked
182,227.65625,400.0,299.09375,470.0,,5,down
183,299.09375,400.0,328.65625,470.0,,5,at
184,328.65625,400.0,373.90625,470.0,,5,the
185,373.90625,400.0,446.09375,470.0,,5,"plate,"
186,446.09375,400.0,488.7578125,470.0,,5,my
187,488.7578125,400.0,557.953125,470.0,,5,heart
188,557.953125,400.0,626.203125,470.0,,5,sank.
189,626.203125,400.0,720.953125,470.0,,5,Instead
190,720.953125,400.0,751.125,470.0,,5,of
191,751.125,400.0,796.234375,470.0,,5,the
192,796.234375,400.0,859.515625,470.0,,5,eggs
193,859.515625,400.0,910.875,470.0,,5,and
194,910.875,400.0,976.78125,470.0,,5,toast
195,976.78125,400.0,991.7421875,470.0,,5,I
196,991.7421875,400.0,1046.125,470.0,,5,had
197,43.625,470.0,153.6875,540.0,,6,"ordered,"
198,153.6875,470.0,222.5,540.0,,6,there
199,222.5,470.0,274.84375,540.0,,6,was
200,274.84375,470.0,295.546875,540.0,,6,a
201,295.546875,470.0,360.90625,540.0,,6,plate
202,360.90625,470.0,391.125,540.0,,6,of
203,391.125,470.0,493.9296875,540.0,,6,oatmeal
204,493.9296875,470.0,521.40625,540.0,,6,in
205,521.40625,470.0,586.703125,540.0,,6,front
206,586.703125,470.0,617.046875,540.0,,6,of
207,617.046875,470.0,667.546875,540.0,,6,"me,"
208,667.546875,470.0,758.234375,540.0,,6,topped
209,758.234375,470.0,814.796875,540.0,,6,with
