index,left,top,right,bottom,section,line,content
0,50.25,76.5,66.25,94.5,,0,B
1,66.578125,80.5,76.578125,94.5,,0,r
2,76.171875,80.5,90.171875,94.5,,0,e
3,90.203125,80.5,104.203125,94.5,,0,a
4,103.546875,75.5,117.546875,94.5,,0,k
5,116.140625,75.5,126.140625,94.5,,0,f
6,126.171875,80.5,140.171875,94.5,,0,a
7,140.140625,80.5,152.140625,94.5,,0,s
8,152.171875,77.5,161.171875,94.5,,0,t
9,160.671875,94.5,167.671875,94.5,,0, 
10,167.328125,80.5,187.328125,94.5,,0,w
11,187.78125,75.5,193.78125,94.5,,0,i
12,193.8125,77.5,202.8125,94.5,,0,t
13,203.265625,75.5,218.265625,94.5,,0,h
14,217.765625,94.5,224.765625,94.5,,0, 
15,224.796875,80.5,238.796875,94.5,,0,a
16,238.296875,94.5,245.296875,94.5,,0, 
17,245.015625,76.5,259.015625,94.5,,0,S
18,259.046875,77.5,268.046875,94.5,,0,t
19,268.375,80.5,278.375,94.5,,0,r
20,277.90625,80.5,291.90625,94.5,,0,a
21,292.359375,80.5,307.359375,94.5,,0,n
22,307.734375,80.5,322.734375,100.5,,0,g
23,322.828125,80.5,336.828125,94.5,,0,e
24,337.15625,80.5,347.15625,94.5,,0,r
25,49.90625,216.5,63.90625,234.5,,2,T
26,64.359375,215.5,79.359375,234.5,,2,h
27,79.453125,220.5,93.453125,234.5,,2,e
28,92.953125,234.5,99.953125,234.5,,2, 
29,100.328125,215.5,115.328125,234.5,,2,d
30,115.78125,215.5,121.78125,234.5,,2,i
31,122.234375,220.5,137.234375,234.5,,2,n
32,137.328125,220.5,151.328125,234.5,,2,e
33,151.65625,220.5,161.65625,234.5,,2,r
34,162.28125,216.5,168.28125,234.5,,2,'
35,167.5,220.5,179.5,234.5,,2,s
36,179.0,234.5,186.0,234.5,,2, 
37,184.59375,215.5,194.59375,234.5,,2,f
38,195.046875,215.5,201.046875,234.5,,2,l
39,201.5,220.5,216.5,234.5,,2,u
40,216.625,220.5,231.625,234.5,,2,o
41,231.953125,220.5,241.953125,234.5,,2,r
42,241.546875,220.5,255.546875,234.5,,2,e
43,255.515625,220.5,267.515625,234.5,,2,s
44,267.515625,220.5,279.515625,234.5,,2,c
45,279.609375,220.5,293.609375,234.5,,2,e
46,294.0625,220.5,309.0625,234.5,,2,n
