index,left,top,right,bottom,section,line,content
299,43.59375,50,186.8046875,120.0,,0,expression.
300,186.8046875,50,271.3359375,120.0,,0,Rachel
301,271.3359375,50,394.0703125,120.0,,0,"hesitated,"
302,394.0703125,50,482.8203125,120.0,,0,unsure
303,482.8203125,50,538.84375,120.0,,0,how
304,538.84375,50,569.671875,120.0,,0,to
305,569.671875,50,657.8125,120.0,,0,broach
306,657.8125,50,702.859375,120.0,,0,the
307,702.859375,50,800.578125,120.0,,0,subject.
308,800.578125,50,876.734375,120.0,,0,"Darla,"
309,876.734375,50,977.265625,120.0,,0,sensing
310,43.953125,120.0,145.2734375,190.0,,1,"unease,"
311,145.2734375,120.0,242.328125,190.0,,1,nodded
312,242.328125,120.0,437.8984375,190.0,,1,sympathetically.
313,437.8984375,120.0,517.609375,190.0,,1,"""Don't"
314,517.609375,120.0,567.390625,190.0,,1,you
315,567.390625,120.0,642.0625,190.0,,1,worry
316,642.0625,120.0,709.5859375,190.0,,1,'bout
317,709.5859375,120.0,738.03125,190.0,,1,"it,"
318,738.03125,120.0,840.4765625,190.0,,1,sweetie.
319,840.4765625,120.0,953.953125,190.0,,1,Mistakes
320,43.953125,190.0,149.6484375,260.0,,2,happen.
321,149.6484375,190.0,199.5625,260.0,,2,Just
322,199.5625,190.0,269.265625,260.0,,2,enjoy
323,269.265625,190.0,531.265625,260.0,,2,"your...uh...pancakes?"""
324,43.046875,330.0,130.125,400.0,,4,Rachel
325,130.125,330.0,212.359375,400.0,,4,forced
326,212.359375,330.0,232.859375,400.0,,4,a
327,232.859375,330.0,308.4375,400.0,,4,"smile,"
328,308.4375,330.0,402.046875,400.0,,4,tucking
329,402.046875,330.0,447.3359375,400.0,,4,the
330,447.3359375,330.0,507.5,400.0,,4,note
331,507.5,330.0,597.3984375,400.0,,4,deeper
332,597.3984375,330.0,649.9609375,400.0,,4,into
333,649.9609375,330.0,696.296875,400.0,,4,her
334,696.296875,330.0,788.3828125,400.0,,4,pocket.
335,788.3828125,330.0,868.4375,400.0,,4,"""Yeah,"
336,868.4375,330.0,961.03125,400.0,,4,"thanks,"
337,961.03125,330.0,1050.65625,400.0,,4,"Darla."""
338,43.40625,400.0,96.53125,470.0,,5,The
339,96.53125,400.0,200.421875,470.0,,5,waitress
340,200.421875,400.0,321.3671875,470.0,,5,"departed,"
341,321.3671875,400.0,411.9765625,470.0,,5,leaving
342,411.9765625,400.0,496.296875,470.0,,5,Rachel
343,496.296875,400.0,527.125,470.0,,5,to
344,527.125,400.0,619.203125,470.0,,5,ponder
345,619.203125,400.0,664.3125,470.0,,5,the
346,664.3125,400.0,787.21875,470.0,,5,enigmatic
347,787.21875,400.0,905.09375,470.0,,5,message.
348,905.09375,400.0,955.28125,470.0,,5,The
349,955.28125,400.0,1044.390625,470.0,,5,diner's
350,43.875,470.0,125.7890625,540.0,,6,bustle
351,125.7890625,470.0,233.8515625,540.0,,6,"receded,"
352,233.8515625,470.0,341.625,540.0,,6,replaced
353,341.625,470.0,375.578125,540.0,,6,by
354,375.578125,470.0,411.7734375,540.0,,6,an
355,411.7734375,470.0,536.796875,540.0,,6,unsettling
356,536.796875,470.0,643.8125,540.0,,6,stillness.
357,643.8125,470.0,693.109375,540.0,,6,The
358,693.109375,470.0,832.6328125,540.0,,6,fluorescent
359,832.6328125,470.0,903.8671875,540.0,,6,lights
360,903.8671875,470.0,1020.515625,540.0,,6,hummed
361,43.625,540.0,90.53125,610.0,,7,"on,"
362,90.53125,540.0,181.359375,610.0,,7,casting
363,181.359375,540.0,217.375,610.0,,7,an
364,217.375,540.0,283.078125,610.0,,7,eerie
365,283.078125,540.0,345.5625,610.0,,7,glow
366,345.5625,540.0,403.765625,610.0,,7,over
367,403.765625,540.0,448.875,610.0,,7,the
368,448.875,540.0,567.421875,610.0,,7,emptying
369,567.421875,540.0,662.2890625,610.0,,7,booths.
370,662.2890625,540.0,763.625,610.0,,7,Rachel's
371,763.625,540.0,887.0,610.0,,7,"breakfast,"
372,887.0,540.0,950.125,610.0,,7,once
373,950.125,540.0,973.890625,610.0,,7,a
374,43.875,610.0,166.6484375,680.0,,8,mundane
375,166.6484375,610.0,265.3515625,680.0,,8,"routine,"
376,265.3515625,610.0,320.65625,680.0,,8,now
377,320.65625,610.0,366.2578125,680.0,,8,felt
378,366.2578125,610.0,412.890625,680.0,,8,like
379,412.890625,610.0,433.6328125,680.0,,8,a
380,433.6328125,610.0,556.859375,680.0,,8,harbinger
381,556.859375,610.0,587.0,680.0,,8,of
382,587.0,610.0,720.03125,680.0,,8,something
383,720.03125,610.0,819.078125,680.0,,8,greater.
