index,left,top,right,bottom,section,line,content
539,50.03125,77.5,59.03125,94.5,,0,t
540,59.484375,75.5,74.484375,94.5,,0,h
541,74.578125,80.5,88.578125,94.5,,0,e
542,88.078125,94.5,95.078125,94.5,,0, 
543,95.453125,80.5,118.453125,94.5,,0,m
544,118.546875,80.5,132.546875,94.5,,0,e
545,133.0,80.5,148.0,94.5,,0,n
546,148.453125,80.5,163.453125,94.5,,0,u
547,162.953125,94.5,169.953125,94.5,,0, 
548,170.078125,80.5,185.078125,94.5,,0,o
549,185.53125,80.5,200.53125,94.5,,0,n
550,200.625,80.5,214.625,94.5,,0,e
551,214.125,94.5,221.125,94.5,,0, 
552,221.578125,75.5,227.578125,94.5,,0,l
553,227.609375,80.5,241.609375,94.5,,0,a
554,241.578125,80.5,253.578125,94.5,,0,s
555,253.609375,77.5,262.609375,94.5,,0,t
556,262.109375,94.5,269.109375,94.5,,0, 
557,269.140625,77.5,278.140625,94.5,,0,t
558,278.59375,75.5,284.59375,94.5,,0,i
559,284.96875,80.5,307.96875,94.5,,0,m
560,308.0625,80.5,322.0625,94.5,,0,e
561,321.765625,91.5,328.765625,94.5,,0,.
562,49.71875,216.5,63.71875,234.5,,2,S
563,64.171875,215.5,79.171875,234.5,,2,h
564,79.265625,220.5,93.265625,234.5,,2,e
565,92.765625,234.5,99.765625,234.5,,2, 
566,100.21875,220.5,115.21875,234.5,,2,n
567,115.34375,220.5,130.34375,234.5,,2,o
568,130.71875,215.5,145.71875,234.5,,2,d
569,146.09375,215.5,161.09375,234.5,,2,d
570,161.1875,220.5,175.1875,234.5,,2,e
571,175.5625,215.5,190.5625,234.5,,2,d
572,190.0625,234.5,197.0625,234.5,,2, 
573,197.09375,220.5,211.09375,234.5,,2,a
574,211.546875,220.5,226.546875,234.5,,2,n
575,226.921875,215.5,241.921875,234.5,,2,d
576,241.421875,234.5,248.421875,234.5,,2, 
577,248.390625,220.5,260.390625,234.5,,2,s
578,260.390625,220.5,272.390625,234.5,,2,c
579,272.71875,220.5,282.71875,234.5,,2,r
580,283.171875,215.5,289.171875,234.5,,2,i
581,289.546875,215.5,304.546875,234.5,,2,b
582,304.921875,215.5,319.921875,234.5,,2,b
