index,left,top,right,bottom,section,line,content
102,43.53125,50,92.015625,120.0,,0,the
103,92.015625,50,166.765625,120.0,,0,menu
104,166.765625,50,218.1015625,120.0,,0,one
105,218.1015625,50,265.875,120.0,,0,last
106,265.875,50,335.265625,120.0,,0,time.
107,43.21875,190.0,96.7421875,260.0,,2,She
108,96.7421875,190.0,193.828125,260.0,,2,nodded
109,193.828125,190.0,245.15625,260.0,,2,and
110,245.15625,190.0,359.28125,260.0,,2,scribbled
111,359.28125,190.0,430.890625,260.0,,2,down
112,430.890625,190.0,473.390625,260.0,,2,my
113,473.390625,190.0,547.3828125,260.0,,2,order.
114,547.3828125,190.0,645.7265625,260.0,,2,"""Comin'"
115,645.7265625,190.0,708.9296875,260.0,,2,right
116,708.9296875,190.0,762.9375,260.0,,2,"up!"""
117,762.9375,190.0,810.953125,260.0,,2,she
118,810.953125,190.0,872.1875,260.0,,2,"said,"
119,872.1875,190.0,1036.0625,260.0,,2,disappearing
120,43.953125,260.0,99.328125,330.0,,3,into
121,99.328125,260.0,144.0625,330.0,,3,the
122,144.0625,260.0,246.671875,330.0,,3,kitchen.
123,43.46875,400.0,68.515625,470.0,,5,A
124,68.515625,400.0,117.75,470.0,,5,few
125,117.75,400.0,220.1171875,470.0,,5,minutes
126,220.1171875,400.0,283.015625,470.0,,5,"later,"
127,283.015625,400.0,331.2109375,470.0,,5,she
128,331.2109375,400.0,441.03125,470.0,,5,returned
129,441.03125,400.0,498.3125,470.0,,5,with
130,498.3125,400.0,519.015625,470.0,,5,a
131,519.015625,400.0,584.5,470.0,,5,plate
132,584.5,400.0,648.7890625,470.0,,5,piled
133,648.7890625,400.0,707.625,470.0,,5,high
134,707.625,400.0,764.875,470.0,,5,with
135,764.875,400.0,893.9375,470.0,,5,scrambled
136,893.9375,400.0,963.90625,470.0,,5,"eggs,"
137,963.90625,400.0,1042.03125,470.0,,5,crispy
138,43.875,470.0,131.953125,540.0,,6,"bacon,"
139,131.953125,470.0,183.3125,540.0,,6,and
140,183.3125,470.0,203.8125,540.0,,6,a
141,203.8125,470.0,261.359375,540.0,,6,slice
142,261.359375,470.0,291.53125,540.0,,6,of
143,291.53125,470.0,364.140625,540.0,,6,toast.
144,364.140625,470.0,379.0625,540.0,,6,I
145,379.0625,470.0,431.8046875,540.0,,6,dug
146,431.8046875,470.0,466.671875,540.0,,6,"in,"
147,466.671875,470.0,574.640625,540.0,,6,savoring
148,574.640625,470.0,619.0,540.0,,6,the
149,619.0,470.0,705.421875,540.0,,6,flavors
150,705.421875,470.0,756.78125,540.0,,6,and
151,756.78125,470.0,866.3125,540.0,,6,textures.
152,866.3125,470.0,913.4375,540.0,,6,But
153,913.4375,470.0,946.15625,540.0,,6,as
154,946.15625,470.0,964.140625,540.0,,6,I
155,43.828125,540.0,147.421875,610.0,,7,reached
156,147.421875,540.0,188.859375,610.0,,7,for
157,188.859375,540.0,231.296875,610.0,,7,my
158,231.296875,540.0,317.25,610.0,,7,"coffee,"
159,317.25,540.0,332.2109375,610.0,,7,I
160,332.2109375,540.0,426.0,610.0,,7,noticed
161,426.0,540.0,558.90625,610.0,,7,something
162,558.90625,540.0,611.2421875,610.0,,7,odd
163,611.2421875,540.0,625.78125,610.0,,7,-
164,625.78125,540.0,646.28125,610.0,,7,a
165,646.28125,540.0,715.265625,610.0,,7,small
166,715.265625,540.0,783.65625,610.0,,7,piece
167,783.65625,540.0,814.0,610.0,,7,of
168,814.0,540.0,889.53125,610.0,,7,paper
169,889.53125,540.0,975.5390625,610.0,,7,tucked
170,975.5390625,540.0,1055.765625,610.0,,7,under
171,43.875,610.0,89.5625,680.0,,8,my
172,89.5625,610.0,164.8125,680.0,,8,plate.
173,43.296875,750.0,150.765625,820.0,,10,"Curious,"
174,150.765625,750.0,165.6875,820.0,,10,I
175,165.6875,750.0,248.8671875,820.0,,10,picked
176,248.8671875,750.0,270.8515625,820.0,,10,it
177,270.8515625,750.0,314.671875,820.0,,10,"up,"
178,314.671875,750.0,366.203125,820.0,,10,and
179,366.203125,750.0,408.8671875,820.0,,10,my
180,408.8671875,750.0,478.0625,820.0,,10,heart
181,478.0625,750.0,576.578125,820.0,,10,skipped
182,576.578125,750.0,597.28125,820.0,,10,a
183,597.28125,750.0,656.140625,820.0,,10,beat
184,656.140625,750.0,688.859375,820.0,,10,as
185,688.859375,750.0,703.7578125,820.0,,10,I
186,703.7578125,750.0,763.4375,820.0,,10,read
187,763.4375,750.0,808.484375,820.0,,10,the
188,808.484375,750.0,892.90625,820.0,,10,simple
189,892.90625,750.0,1007.375,820.0,,10,message
