index,left,top,right,bottom,section,line,content
0,43.75,50,148.28125,120.0,,0,Delayed
1,148.28125,50,223.78125,120.0,,0,Flight
2,43.46875,190.0,81.203125,260.0,,2,As
3,81.203125,190.0,126.25,260.0,,2,the
4,126.25,190.0,202.7578125,260.0,,2,storm
5,202.7578125,190.0,276.6484375,260.0,,2,rolled
6,276.6484375,190.0,311.546875,260.0,,2,"in,"
7,311.546875,190.0,356.625,260.0,,2,the
8,356.625,190.0,443.609375,260.0,,2,airport
9,443.609375,190.0,495.953125,260.0,,2,was
10,495.953125,190.0,649.8671875,260.0,,2,transformed
11,649.8671875,190.0,702.21875,260.0,,2,into
12,702.21875,190.0,722.71875,260.0,,2,a
13,722.71875,190.0,796.140625,260.0,,2,scene
14,796.140625,190.0,860.28125,260.0,,2,from
15,860.28125,190.0,880.984375,260.0,,2,a
16,880.984375,190.0,932.265625,260.0,,2,bad
17,932.265625,190.0,1019.78125,260.0,,2,movie.
18,43.40625,260.0,96.9296875,330.0,,3,The
19,96.9296875,260.0,196.5,330.0,,3,howling
20,196.5,260.0,260.125,330.0,,3,wind
21,260.125,260.0,311.6953125,330.0,,3,and
22,311.6953125,260.0,403.3203125,330.0,,3,lashing
23,403.3203125,260.0,455.609375,330.0,,3,rain
24,455.609375,260.0,529.0234375,330.0,,3,made
25,529.0234375,260.0,550.96875,330.0,,3,it
26,550.96875,260.0,645.71875,330.0,,3,difficult
27,645.71875,260.0,676.34375,330.0,,3,to
28,676.34375,260.0,723.203125,330.0,,3,see
29,723.203125,260.0,791.953125,330.0,,3,more
30,791.953125,260.0,852.421875,330.0,,3,than
31,852.421875,260.0,872.234375,330.0,,3,a
32,872.234375,260.0,920.578125,330.0,,3,few
33,920.578125,260.0,973.8203125,330.0,,3,feet
34,973.8203125,260.0,1005.25,330.0,,3,in
35,42.09375,330.0,111.34375,400.0,,4,front
36,111.34375,330.0,141.375,400.0,,4,of
37,141.375,330.0,198.046875,400.0,,4,"you,"
38,198.046875,330.0,249.40625,400.0,,4,and
39,249.40625,330.0,294.453125,400.0,,4,the
40,294.453125,330.0,374.40625,400.0,,4,sound
41,374.40625,330.0,404.578125,400.0,,4,of
42,404.578125,330.0,506.4375,400.0,,4,thunder
43,506.4375,330.0,611.234375,400.0,,4,boomed
44,611.234375,330.0,713.453125,400.0,,4,through
45,713.453125,330.0,758.53125,400.0,,4,the
46,758.53125,330.0,796.0546875,400.0,,4,air
47,796.0546875,330.0,842.6875,400.0,,4,like
48,842.6875,330.0,863.4296875,400.0,,4,a
49,863.4296875,330.0,1029.375,400.0,,4,never-ending
50,43.875,400.0,176.875,470.0,,5,drumbeat.
51,176.875,400.0,250.8046875,470.0,,5,Sarah
52,250.8046875,400.0,354.8828125,470.0,,5,huddled
53,354.8828125,400.0,383.2890625,470.0,,5,in
54,383.2890625,400.0,429.6640625,470.0,,5,her
55,429.6640625,400.0,511.609375,470.0,,5,"jacket,"
56,511.609375,400.0,587.5,470.0,,5,trying
57,587.5,400.0,618.125,470.0,,5,to
58,618.125,400.0,672.25,470.0,,5,stay
59,672.25,400.0,746.328125,470.0,,5,warm
60,746.328125,400.0,778.796875,470.0,,5,as
61,778.796875,400.0,826.65625,470.0,,5,she
62,826.65625,400.0,911.265625,470.0,,5,waited
63,911.265625,400.0,952.7421875,470.0,,5,for
64,952.7421875,400.0,1002.140625,470.0,,5,her
65,42.09375,470.0,114.625,540.0,,6,flight
66,114.625,470.0,145.453125,540.0,,6,to
67,145.453125,470.0,181.234375,540.0,,6,be
68,181.234375,470.0,262.703125,540.0,,6,called.
69,262.703125,470.0,312.8359375,540.0,,6,She
70,312.8359375,470.0,364.15625,540.0,,6,had
71,364.15625,470.0,429.46875,540.0,,6,been
72,429.46875,470.0,498.0078125,540.0,,6,stuck
73,498.0078125,470.0,526.203125,540.0,,6,in
74,526.203125,470.0,571.28125,540.0,,6,the
75,571.28125,470.0,657.734375,540.0,,6,airport
76,657.734375,470.0,699.2109375,540.0,,6,for
77,699.2109375,470.0,780.53125,540.0,,6,"hours,"
78,780.53125,470.0,831.859375,540.0,,6,and
79,831.859375,470.0,879.71875,540.0,,6,she
80,879.71875,470.0,932.03125,540.0,,6,was
81,932.03125,470.0,1033.46875,540.0,,6,starting
82,43.53125,540.0,77.6328125,610.0,,7,to
83,77.6328125,540.0,131.7734375,610.0,,7,lose
84,131.7734375,540.0,208.046875,610.0,,7,hope.
85,43.328125,680.0,96.546875,750.0,,9,Just
86,96.546875,680.0,129.015625,750.0,,9,as
87,129.015625,680.0,176.875,750.0,,9,she
88,176.875,680.0,229.1875,750.0,,9,was
89,229.1875,680.0,327.390625,750.0,,9,starting
90,327.390625,680.0,357.328125,750.0,,9,to
91,357.328125,680.0,407.9921875,750.0,,9,feel
92,407.9921875,680.0,454.59375,750.0,,9,like
93,454.59375,680.0,502.453125,750.0,,9,she
94,502.453125,680.0,554.796875,750.0,,9,was
95,554.796875,680.0,599.921875,750.0,,9,the
96,599.921875,680.0,656.203125,750.0,,9,only
97,656.203125,680.0,707.5390625,750.0,,9,one
98,707.5390625,680.0,752.2109375,750.0,,9,left
99,752.2109375,680.0,780.40625,750.0,,9,in
100,780.40625,680.0,825.296875,750.0,,9,the
101,825.296875,680.0,905.59375,750.0,,9,"world,"
102,905.59375,680.0,953.8515625,750.0,,9,she
103,953.8515625,680.0,1028.921875,750.0,,9,heard
104,1028.921875,680.0,1052.6875,750.0,,9,a
105,43.203125,750.0,113.8125,820.0,,10,voice
106,113.8125,750.0,202.5546875,820.0,,10,behind
107,202.5546875,750.0,254.65625,820.0,,10,her.
