index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,118.640625,75.5,133.640625,94.5,question,0,b
6,133.734375,80.5,147.734375,94.5,question,0,e
7,147.703125,80.5,159.703125,94.5,question,0,s
8,159.734375,77.5,168.734375,94.5,question,0,t
9,168.234375,94.5,175.234375,94.5,question,0, 
10,175.609375,75.5,190.609375,94.5,question,0,d
11,190.703125,80.5,204.703125,94.5,question,0,e
12,204.671875,80.5,216.671875,94.5,question,0,s
13,216.671875,80.5,228.671875,94.5,question,0,c
14,229.0,80.5,239.0,94.5,question,0,r
15,239.453125,75.5,245.453125,94.5,question,0,i
16,245.828125,75.5,260.828125,94.5,question,0,b
17,260.921875,80.5,274.921875,94.5,question,0,e
18,274.890625,80.5,286.890625,94.5,question,0,s
19,286.390625,94.5,293.390625,94.5,question,0, 
20,293.421875,77.5,302.421875,94.5,question,0,t
21,302.875,75.5,317.875,94.5,question,0,h
22,317.96875,80.5,331.96875,94.5,question,0,e
23,331.46875,94.5,338.46875,94.5,question,0, 
24,338.796875,80.5,348.796875,94.5,question,0,r
25,348.390625,80.5,362.390625,94.5,question,0,e
26,362.84375,75.5,368.84375,94.5,question,0,l
27,368.875,80.5,382.875,94.5,question,0,a
28,382.90625,77.5,391.90625,94.5,question,0,t
29,392.359375,75.5,398.359375,94.5,question,0,i
30,398.484375,80.5,413.484375,94.5,question,0,o
31,413.9375,80.5,428.9375,94.5,question,0,n
32,428.90625,80.5,440.90625,94.5,question,0,s
33,441.359375,75.5,456.359375,94.5,question,0,h
34,456.8125,75.5,462.8125,94.5,question,0,i
35,463.1875,80.5,478.1875,100.5,question,0,p
36,477.6875,94.5,484.6875,94.5,question,0, 
37,485.0625,75.5,500.0625,94.5,question,0,b
38,500.15625,80.5,514.15625,94.5,question,0,e
39,514.1875,77.5,523.1875,94.5,question,0,t
40,522.84375,80.5,542.84375,94.5,question,0,w
41,542.9375,80.5,556.9375,94.5,question,0,e
42,557.03125,80.5,571.03125,94.5,question,0,e
43,571.484375,80.5,586.484375,94.5,question,0,n
44,585.984375,94.5,592.984375,94.5,question,0, 
45,592.53125,76.5,608.53125,94.5,question,0,R
46,608.5625,80.5,622.5625,94.5,question,0,a
47,622.5625,80.5,634.5625,94.5,question,0,c
48,635.015625,75.5,650.015625,94.5,question,0,h
49,650.109375,80.5,664.109375,94.5,question,0,e
50,664.5625,75.5,670.5625,94.5,question,0,l
51,670.0625,94.5,677.0625,94.5,question,0, 
52,677.09375,80.5,691.09375,94.5,question,0,a
53,691.546875,80.5,706.546875,94.5,question,0,n
54,706.921875,75.5,721.921875,94.5,question,0,d
55,721.421875,94.5,728.421875,94.5,question,0, 
56,728.25,76.5,735.25,99.5,question,0,J
57,735.28125,80.5,749.28125,94.5,question,0,a
58,749.28125,80.5,761.28125,94.5,question,0,c
59,760.625,75.5,774.625,94.5,question,0,k
60,774.46875,76.5,785.46875,94.5,question,0,?
61,99.90625,216.5,113.90625,234.5,option:0,0,T
62,114.359375,215.5,129.359375,234.5,option:0,0,h
63,129.453125,220.5,143.453125,234.5,option:0,0,e
64,142.703125,220.5,155.703125,240.5,option:0,0,y
65,155.203125,234.5,162.203125,234.5,option:0,0, 
66,162.578125,220.5,185.578125,234.5,option:0,0,m
67,185.671875,220.5,199.671875,234.5,option:0,0,e
68,199.703125,217.5,208.703125,234.5,option:0,0,t
69,208.203125,234.5,215.203125,234.5,option:0,0, 
70,215.578125,215.5,230.578125,234.5,option:0,0,d
71,231.03125,220.5,246.03125,234.5,option:0,0,u
72,246.359375,220.5,256.359375,234.5,option:0,0,r
73,256.8125,215.5,262.8125,234.5,option:0,0,i
74,263.265625,220.5,278.265625,234.5,option:0,0,n
75,278.640625,220.5,293.640625,240.5,option:0,0,g
76,293.140625,234.5,300.140625,234.5,option:0,0, 
77,300.171875,220.5,314.171875,234.5,option:0,0,a
78,313.671875,234.5,320.671875,234.5,option:0,0, 
79,320.640625,220.5,332.640625,234.5,option:0,0,s
80,332.671875,217.5,341.671875,234.5,option:0,0,t
81,341.796875,220.5,356.796875,234.5,option:0,0,o
82,357.125,220.5,367.125,234.5,option:0,0,r
83,367.5,220.5,390.5,234.5,option:0,0,m
84,390.0,234.5,397.0,234.5,option:0,0, 
85,397.03125,220.5,411.03125,234.5,option:0,0,a
86,411.484375,220.5,426.484375,234.5,option:0,0,n
87,426.859375,215.5,441.859375,234.5,option:0,0,d
88,441.359375,234.5,448.359375,234.5,option:0,0, 
89,448.734375,215.5,463.734375,234.5,option:0,0,b
90,463.828125,220.5,477.828125,234.5,option:0,0,e
91,477.828125,220.5,489.828125,234.5,option:0,0,c
92,489.859375,220.5,503.859375,234.5,option:0,0,a
93,504.234375,220.5,527.234375,234.5,option:0,0,m
94,527.328125,220.5,541.328125,234.5,option:0,0,e
