index,left,top,right,bottom,section,line,content
0,50.25,76.5,68.25,94.5,,0,D
1,68.34375,80.5,82.34375,94.5,,0,e
2,82.796875,75.5,88.796875,94.5,,0,l
3,88.828125,80.5,102.828125,94.5,,0,a
4,102.578125,80.5,115.578125,100.5,,0,y
5,115.671875,80.5,129.671875,94.5,,0,e
6,130.046875,75.5,145.046875,94.5,,0,d
7,144.546875,94.5,151.546875,94.5,,0, 
8,151.515625,76.5,164.515625,94.5,,0,F
9,164.96875,75.5,170.96875,94.5,,0,l
10,171.421875,75.5,177.421875,94.5,,0,i
11,177.796875,80.5,192.796875,100.5,,0,g
12,193.25,75.5,208.25,94.5,,0,h
13,208.28125,77.5,217.28125,94.5,,0,t
14,49.90625,216.5,63.90625,234.5,,2,T
15,64.359375,215.5,79.359375,234.5,,2,h
16,79.453125,220.5,93.453125,234.5,,2,e
17,92.953125,234.5,99.953125,234.5,,2, 
18,99.921875,220.5,111.921875,234.5,,2,s
19,111.953125,217.5,120.953125,234.5,,2,t
20,121.078125,220.5,136.078125,234.5,,2,o
21,136.40625,220.5,146.40625,234.5,,2,r
22,146.78125,220.5,169.78125,234.5,,2,m
23,169.28125,234.5,176.28125,234.5,,2, 
24,176.609375,220.5,186.609375,234.5,,2,r
25,186.140625,220.5,200.140625,234.5,,2,a
26,200.515625,220.5,215.515625,240.5,,2,g
27,215.609375,220.5,229.609375,234.5,,2,e
28,229.984375,215.5,244.984375,234.5,,2,d
29,244.484375,234.5,251.484375,234.5,,2, 
30,251.609375,220.5,266.609375,234.5,,2,o
31,267.0625,220.5,282.0625,234.5,,2,u
32,282.09375,217.5,291.09375,234.5,,2,t
33,291.0625,220.5,303.0625,234.5,,2,s
34,303.515625,215.5,309.515625,234.5,,2,i
35,309.890625,215.5,324.890625,234.5,,2,d
36,324.984375,220.5,338.984375,234.5,,2,e
37,338.6875,231.5,345.6875,237.5,,2,","
38,345.1875,234.5,352.1875,234.5,,2, 
39,352.640625,215.5,358.640625,234.5,,2,i
40,358.671875,217.5,367.671875,234.5,,2,t
41,367.640625,220.5,379.640625,234.5,,2,s
42,379.140625,234.5,386.140625,234.5,,2, 
43,384.734375,215.5,394.734375,234.5,,2,f
44,395.1875,220.5,410.1875,234.5,,2,u
45,410.515625,220.5,420.515625,234.5,,2,r
46,420.265625,220.5,433.265625,240.5,,2,y
47,432.765625,234.5,439.765625,234.5,,2, 
48,440.21875,220.5,455.21875,234.5,,2,u
49,455.671875,220.5,470.671875,234.5,,2,n
50,471.0,220.5,481.0,234.5,,2,r
51,480.59375,220.5,494.59375,234.5,,2,e
52,495.046875,215.5,501.046875,234.5,,2,l
53,501.140625,220.5,515.140625,234.5,,2,e
54,515.59375,220.5,530.59375,234.5,,2,n
55,530.625,217.5,539.625,234.5,,2,t
56,540.078125,215.5,546.078125,234.5,,2,i
57,546.53125,220.5,561.53125,234.5,,2,n
58,561.90625,220.5,576.90625,240.5,,2,g
59,576.40625,234.5,583.40625,234.5,,2, 
60,583.4375,220.5,597.4375,234.5,,2,a
61,597.40625,220.5,609.40625,234.5,,2,s
62,608.90625,234.5,615.90625,234.5,,2, 
63,615.9375,217.5,624.9375,234.5,,2,t
64,625.390625,215.5,640.390625,234.5,,2,h
65,640.484375,220.5,654.484375,234.5,,2,e
66,653.984375,234.5,660.984375,234.5,,2, 
67,661.015625,220.5,675.015625,234.5,,2,a
68,675.46875,215.5,681.46875,234.5,,2,i
69,681.796875,220.5,691.796875,234.5,,2,r
70,692.171875,220.5,707.171875,240.5,,2,p
71,707.296875,220.5,722.296875,234.5,,2,o
72,722.625,220.5,732.625,234.5,,2,r
73,732.65625,217.5,741.65625,234.5,,2,t
74,741.78125,216.5,747.78125,234.5,,2,'
75,747.0,220.5,759.0,234.5,,2,s
76,758.5,234.5,765.5,234.5,,2, 
77,764.09375,215.5,774.09375,234.5,,2,f
78,774.546875,215.5,780.546875,234.5,,2,l
79,781.0,220.5,796.0,234.5,,2,u
80,796.125,220.5,811.125,234.5,,2,o
81,811.453125,220.5,821.453125,234.5,,2,r
82,821.046875,220.5,835.046875,234.5,,2,e
83,835.015625,220.5,847.015625,234.5,,2,s
84,847.015625,220.5,859.015625,234.5,,2,c
85,859.109375,220.5,873.109375,234.5,,2,e
86,873.5625,220.5,888.5625,234.5,,2,n
87,888.59375,217.5,897.59375,234.5,,2,t
88,897.09375,234.5,904.09375,234.5,,2, 
89,904.546875,215.5,910.546875,234.5,,2,l
90,911.0,215.5,917.0,234.5,,2,i
91,917.375,220.5,932.375,240.5,,2,g
92,932.828125,215.5,947.828125,234.5,,2,h
93,947.859375,217.5,956.859375,234.5,,2,t
94,956.828125,220.5,968.828125,234.5,,2,s
95,48.59375,285.5,58.59375,304.5,,3,f
96,59.046875,285.5,65.046875,304.5,,3,l
97,65.5,285.5,71.5,304.5,,3,i
98,71.5,290.5,83.5,304.5,,3,c
99,82.84375,285.5,96.84375,304.5,,3,k
100,96.9375,290.5,110.9375,304.5,,3,e
101,111.265625,290.5,121.265625,304.5,,3,r
102,120.859375,290.5,134.859375,304.5,,3,e
103,135.234375,285.5,150.234375,304.5,,3,d
104,149.734375,304.5,156.734375,304.5,,3, 
105,156.859375,290.5,171.859375,304.5,,3,o
106,172.234375,290.5,195.234375,304.5,,3,m
107,195.6875,285.5,201.6875,304.5,,3,i
108,202.140625,290.5,217.140625,304.5,,3,n
109,217.265625,290.5,232.265625,304.5,,3,o
110,232.71875,290.5,247.71875,304.5,,3,u
111,247.6875,290.5,259.6875,304.5,,3,s
112,260.140625,285.5,266.140625,304.5,,3,l
113,265.890625,290.5,278.890625,310.5,,3,y
114,277.59375,301.5,284.59375,304.5,,3,.
115,284.09375,304.5,291.09375,304.5,,3, 
116,290.640625,286.5,306.640625,304.5,,3,R
117,306.671875,290.5,320.671875,304.5,,3,a
118,320.671875,290.5,332.671875,304.5,,3,c
119,333.125,285.5,348.125,304.5,,3,h
120,348.21875,290.5,362.21875,304.5,,3,e
121,362.671875,285.5,368.671875,304.5,,3,l
122,368.171875,304.5,375.171875,304.5,,3, 
123,375.625,285.5,390.625,304.5,,3,h
124,391.078125,290.5,406.078125,304.5,,3,u
125,406.453125,285.5,421.453125,304.5,,3,d
126,421.828125,285.5,436.828125,304.5,,3,d
127,437.28125,285.5,443.28125,304.5,,3,l
128,443.375,290.5,457.375,304.5,,3,e
129,457.75,285.5,472.75,304.5,,3,d
130,472.25,304.5,479.25,304.5,,3, 
131,479.703125,290.5,494.703125,304.5,,3,u
132,495.15625,290.5,510.15625,304.5,,3,n
133,510.53125,285.5,525.53125,304.5,,3,d
134,525.625,290.5,539.625,304.5,,3,e
135,539.953125,290.5,549.953125,304.5,,3,r
136,549.453125,304.5,556.453125,304.5,,3, 
137,556.484375,290.5,570.484375,304.5,,3,a
138,569.984375,304.5,576.984375,304.5,,3, 
139,577.359375,285.5,592.359375,304.5,,3,d
140,592.6875,290.5,602.6875,304.5,,3,r
141,603.140625,285.5,609.140625,304.5,,3,i
142,609.515625,290.5,624.515625,310.5,,3,p
143,624.890625,290.5,639.890625,310.5,,3,p
144,640.34375,285.5,646.34375,304.5,,3,i
145,646.796875,290.5,661.796875,304.5,,3,n
146,662.171875,290.5,677.171875,310.5,,3,g
147,676.671875,304.5,683.671875,304.5,,3, 
148,684.125,290.5,699.125,304.5,,3,u
149,699.5,290.5,722.5,304.5,,3,m
150,722.875,285.5,737.875,304.5,,3,b
151,738.203125,290.5,748.203125,304.5,,3,r
152,747.796875,290.5,761.796875,304.5,,3,e
153,762.25,285.5,768.25,304.5,,3,l
154,768.703125,285.5,774.703125,304.5,,3,l
155,774.734375,290.5,788.734375,304.5,,3,a
156,788.4375,301.5,795.4375,307.5,,3,","
157,794.9375,304.5,801.9375,304.5,,3, 
158,801.90625,290.5,813.90625,304.5,,3,s
159,813.90625,290.5,825.90625,304.5,,3,c
160,825.9375,290.5,839.9375,304.5,,3,a
161,840.390625,290.5,855.390625,304.5,,3,n
162,855.84375,290.5,870.84375,304.5,,3,n
163,871.296875,285.5,877.296875,304.5,,3,i
164,877.75,290.5,892.75,304.5,,3,n
165,893.125,290.5,908.125,310.5,,3,g
166,907.625,304.5,914.625,304.5,,3, 
167,914.65625,287.5,923.65625,304.5,,3,t
168,924.109375,285.5,939.109375,304.5,,3,h
169,939.203125,290.5,953.203125,304.5,,3,e
170,50.375,355.5,65.375,374.5,,4,d
171,65.46875,360.5,79.46875,374.5,,4,e
172,79.84375,360.5,94.84375,380.5,,4,p
173,94.875,360.5,108.875,374.5,,4,a
174,109.203125,360.5,119.203125,374.5,,4,r
175,119.234375,357.5,128.234375,374.5,,4,t
176,128.6875,360.5,143.6875,374.5,,4,u
177,144.015625,360.5,154.015625,374.5,,4,r
178,153.609375,360.5,167.609375,374.5,,4,e
179,167.578125,360.5,179.578125,374.5,,4,s
180,179.078125,374.5,186.078125,374.5,,4, 
181,186.453125,355.5,201.453125,374.5,,4,b
182,201.578125,360.5,216.578125,374.5,,4,o
183,216.609375,360.5,230.609375,374.5,,4,a
184,230.9375,360.5,240.9375,374.5,,4,r
185,240.8125,355.5,255.8125,374.5,,4,d
186,255.3125,374.5,262.3125,374.5,,4, 
187,261.96875,360.5,281.96875,374.5,,4,w
188,282.421875,355.5,288.421875,374.5,,4,i
189,288.453125,357.5,297.453125,374.5,,4,t
190,297.90625,355.5,312.90625,374.5,,4,h
191,312.40625,374.5,319.40625,374.5,,4, 
192,319.78125,360.5,334.78125,380.5,,4,g
193,335.109375,360.5,345.109375,374.5,,4,r
194,344.734375,360.5,359.734375,374.5,,4,o
195,358.890625,360.5,378.890625,374.5,,4,w
196,379.34375,355.5,385.34375,374.5,,4,i
197,385.796875,360.5,400.796875,374.5,,4,n
198,401.171875,360.5,416.171875,380.5,,4,g
199,415.671875,374.5,422.671875,374.5,,4, 
200,423.046875,355.5,438.046875,374.5,,4,d
201,438.140625,360.5,452.140625,374.5,,4,e
202,452.109375,360.5,464.109375,374.5,,4,s
203,464.484375,360.5,479.484375,380.5,,4,p
204,479.578125,360.5,493.578125,374.5,,4,e
205,493.90625,360.5,503.90625,374.5,,4,r
206,503.4375,360.5,517.4375,374.5,,4,a
207,517.46875,357.5,526.46875,374.5,,4,t
208,526.921875,355.5,532.921875,374.5,,4,i
209,533.046875,360.5,548.046875,374.5,,4,o
