index,left,top,right,bottom,section,line,content
71,43.46875,50,81.203125,120.0,,0,As
72,81.203125,50,126.25,120.0,,0,the
73,126.25,50,202.8203125,120.0,,0,storm
74,202.8203125,50,339.234375,120.0,,0,"intensified,"
75,339.234375,50,384.3125,120.0,,0,the
76,384.3125,50,488.796875,120.0,,0,airport's
77,488.796875,50,600.515625,120.0,,0,speakers
78,600.515625,50,704.15625,120.0,,0,crackled
79,704.15625,50,735.0234375,120.0,,0,to
80,735.0234375,50,783.609375,120.0,,0,"life,"
81,783.609375,50,930.21875,120.0,,0,announcing
82,930.21875,50,975.96875,120.0,,0,yet
83,43.53125,120.0,146.953125,190.0,,1,another
84,146.953125,120.0,333.2421875,190.0,,1,postponement.
85,333.2421875,120.0,434.4375,190.0,,1,Rachel's
86,434.4375,120.0,493.484375,190.0,,1,eyes
87,493.484375,120.0,546.2109375,190.0,,1,met
88,546.2109375,120.0,622.5625,190.0,,1,"Jack's,"
89,622.5625,120.0,673.921875,190.0,,1,and
90,673.921875,120.0,731.28125,190.0,,1,they
91,731.28125,120.0,865.84375,190.0,,1,exchanged
92,865.84375,120.0,889.609375,190.0,,1,a
93,43.5,190.0,230.0,260.0,,2,commiserating
94,230.0,190.0,320.5234375,260.0,,2,glance.
95,320.5234375,190.0,411.375,260.0,,2,"""Tough"
96,411.375,190.0,491.2890625,260.0,,2,"break,"
97,491.2890625,190.0,564.8828125,260.0,,2,"huh?"""
98,564.8828125,190.0,617.5234375,260.0,,2,Jack
99,617.5234375,190.0,737.09375,260.0,,2,"ventured,"
100,737.09375,190.0,847.375,260.0,,2,breaking
101,847.375,190.0,892.421875,260.0,,2,the
102,892.421875,190.0,989.40625,260.0,,2,silence.
103,43.046875,330.0,131.0546875,400.0,,4,Rachel
104,131.0546875,330.0,234.84375,400.0,,4,"nodded,"
105,234.84375,330.0,328.453125,400.0,,4,tucking
106,328.453125,330.0,348.953125,400.0,,4,a
107,348.953125,330.0,431.21875,400.0,,4,strand
108,431.21875,330.0,461.203125,400.0,,4,of
109,461.203125,330.0,510.8828125,400.0,,4,wet
110,510.8828125,330.0,563.609375,400.0,,4,hair
111,563.609375,330.0,652.3515625,400.0,,4,behind
112,652.3515625,330.0,698.546875,400.0,,4,her
113,698.546875,330.0,746.2578125,400.0,,4,ear.
114,746.2578125,330.0,826.53125,400.0,,4,"""Yeah,"
115,826.53125,330.0,873.875,400.0,,4,I've
116,873.875,330.0,939.1875,400.0,,4,been
117,939.1875,330.0,1010.75,400.0,,4,stuck
118,43.953125,400.0,106.015625,470.0,,5,here
119,106.015625,400.0,147.4921875,470.0,,5,for
120,147.4921875,400.0,228.75,470.0,,5,hours.
121,228.75,400.0,283.0625,470.0,,5,This
122,283.0625,400.0,359.6328125,470.0,,5,storm
123,359.6328125,400.0,384.4921875,470.0,,5,is
124,384.4921875,400.0,521.0859375,470.0,,5,"relentless."""
125,521.0859375,400.0,574.1015625,470.0,,5,Jack
126,574.1015625,400.0,671.15625,470.0,,5,nodded
127,671.15625,400.0,866.8515625,470.0,,5,"sympathetically,"
128,866.8515625,400.0,907.046875,470.0,,5,his
129,907.046875,400.0,969.15625,470.0,,5,eyes
130,43.5,470.0,154.578125,540.0,,6,crinkling
131,154.578125,470.0,184.140625,540.0,,6,at
132,184.140625,470.0,229.203125,540.0,,6,the
133,229.203125,470.0,334.953125,540.0,,6,corners.
134,43.40625,610.0,113.484375,680.0,,8,Their
135,113.484375,610.0,271.046875,680.0,,8,conversation
136,271.046875,610.0,357.09375,680.0,,8,flowed
137,357.09375,610.0,498.546875,680.0,,8,"effortlessly,"
138,498.546875,610.0,603.0,680.0,,8,weaving
139,603.0,610.0,712.0,680.0,,8,together
140,712.0,610.0,797.546875,680.0,,8,stories
141,797.546875,610.0,827.890625,680.0,,8,of
142,827.890625,610.0,920.6875,680.0,,8,missed
143,43.5,680.0,202.109375,750.0,,9,"connections,"
144,202.109375,680.0,317.859375,750.0,,9,cancelled
145,317.859375,680.0,405.109375,750.0,,9,"flights,"
146,405.109375,680.0,456.640625,750.0,,9,and
147,456.640625,680.0,555.3125,750.0,,9,delayed
148,555.3125,680.0,656.7734375,750.0,,9,dreams.
149,656.7734375,680.0,747.796875,750.0,,9,"Rachel,"
150,747.796875,680.0,767.609375,750.0,,9,a
151,767.609375,680.0,883.28125,750.0,,9,freelance
152,883.28125,680.0,962.53125,750.0,,9,"writer,"
153,962.53125,680.0,1042.203125,750.0,,9,spoke
154,43.625,750.0,77.1953125,820.0,,10,of
155,77.1953125,750.0,123.328125,820.0,,10,her
156,123.328125,750.0,207.4375,820.0,,10,stalled
157,207.4375,750.0,353.75,820.0,,10,"manuscript,"
158,353.75,750.0,422.4453125,820.0,,10,while
159,422.4453125,750.0,481.953125,820.0,,10,"Jack,"
160,481.953125,750.0,502.453125,820.0,,10,a
161,502.453125,750.0,611.34375,820.0,,10,software
162,611.34375,750.0,726.0703125,820.0,,10,"engineer,"
163,726.0703125,750.0,844.4765625,820.0,,10,lamented
164,844.4765625,750.0,884.609375,820.0,,10,his
165,884.609375,750.0,971.78125,820.0,,10,stalled
