index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,116.859375,75.5,126.859375,94.5,question,0,f
6,127.3125,75.5,133.3125,94.5,question,0,i
7,133.640625,80.5,143.640625,94.5,question,0,r
8,143.609375,80.5,155.609375,94.5,question,0,s
9,155.640625,77.5,164.640625,94.5,question,0,t
10,164.140625,94.5,171.140625,94.5,question,0, 
11,171.140625,80.5,183.140625,94.5,question,0,c
12,183.265625,80.5,198.265625,94.5,question,0,o
13,198.71875,80.5,213.71875,94.5,question,0,n
14,214.171875,80.5,229.171875,94.5,question,0,n
15,229.265625,80.5,243.265625,94.5,question,0,e
16,243.265625,80.5,255.265625,94.5,question,0,c
17,255.296875,77.5,264.296875,94.5,question,0,t
18,264.390625,80.5,278.390625,94.5,question,0,e
19,278.765625,75.5,293.765625,94.5,question,0,d
20,293.265625,94.5,300.265625,94.5,question,0, 
21,299.8125,76.5,315.8125,94.5,question,0,R
22,315.84375,80.5,329.84375,94.5,question,0,a
23,329.84375,80.5,341.84375,94.5,question,0,c
24,342.296875,75.5,357.296875,94.5,question,0,h
25,357.390625,80.5,371.390625,94.5,question,0,e
26,371.84375,75.5,377.84375,94.5,question,0,l
27,377.34375,94.5,384.34375,94.5,question,0, 
28,384.375,80.5,398.375,94.5,question,0,a
29,398.828125,80.5,413.828125,94.5,question,0,n
30,414.203125,75.5,429.203125,94.5,question,0,d
31,428.703125,94.5,435.703125,94.5,question,0, 
32,435.375,76.5,458.375,94.5,question,0,M
33,458.40625,80.5,472.40625,94.5,question,0,a
34,472.625,80.5,485.625,94.5,question,0,x
35,485.125,94.5,492.125,94.5,question,0, 
36,492.5,75.5,507.5,94.5,question,0,d
37,507.953125,80.5,522.953125,94.5,question,0,u
38,523.28125,80.5,533.28125,94.5,question,0,r
39,533.734375,75.5,539.734375,94.5,question,0,i
40,540.1875,80.5,555.1875,94.5,question,0,n
41,555.5625,80.5,570.5625,100.5,question,0,g
42,570.0625,94.5,577.0625,94.5,question,0, 
43,577.09375,77.5,586.09375,94.5,question,0,t
44,586.546875,75.5,601.546875,94.5,question,0,h
45,601.640625,80.5,615.640625,94.5,question,0,e
46,616.09375,75.5,622.09375,94.5,question,0,i
47,622.421875,80.5,632.421875,94.5,question,0,r
48,631.921875,94.5,638.921875,94.5,question,0, 
49,639.296875,75.5,654.296875,94.5,question,0,d
50,654.390625,80.5,668.390625,94.5,question,0,e
51,668.84375,75.5,674.84375,94.5,question,0,l
52,674.875,80.5,688.875,94.5,question,0,a
53,688.625,80.5,701.625,100.5,question,0,y
54,701.125,94.5,708.125,94.5,question,0, 
55,708.15625,80.5,722.15625,94.5,question,0,a
56,722.1875,77.5,731.1875,94.5,question,0,t
57,730.6875,94.5,737.6875,94.5,question,0, 
58,737.71875,77.5,746.71875,94.5,question,0,t
59,747.171875,75.5,762.171875,94.5,question,0,h
60,762.265625,80.5,776.265625,94.5,question,0,e
61,775.765625,94.5,782.765625,94.5,question,0, 
62,782.796875,80.5,796.796875,94.5,question,0,a
63,797.25,75.5,803.25,94.5,question,0,i
64,803.578125,80.5,813.578125,94.5,question,0,r
65,813.953125,80.5,828.953125,100.5,question,0,p
66,829.078125,80.5,844.078125,94.5,question,0,o
67,844.40625,80.5,854.40625,94.5,question,0,r
68,854.4375,77.5,863.4375,94.5,question,0,t
69,863.28125,76.5,874.28125,94.5,question,0,?
70,99.90625,216.5,113.90625,234.5,option:0,0,T
71,114.359375,215.5,129.359375,234.5,option:0,0,h
72,129.453125,220.5,143.453125,234.5,option:0,0,e
73,143.90625,215.5,149.90625,234.5,option:0,0,i
74,150.234375,220.5,160.234375,234.5,option:0,0,r
75,159.734375,234.5,166.734375,234.5,option:0,0, 
76,167.109375,220.5,182.109375,240.5,option:0,0,p
77,182.5625,215.5,188.5625,234.5,option:0,0,l
78,188.59375,220.5,202.59375,234.5,option:0,0,a
79,203.046875,220.5,218.046875,234.5,option:0,0,n
80,218.015625,220.5,230.015625,234.5,option:0,0,s
81,229.515625,234.5,236.515625,234.5,option:0,0, 
82,236.546875,217.5,245.546875,234.5,option:0,0,t
83,245.671875,220.5,260.671875,234.5,option:0,0,o
84,260.171875,234.5,267.171875,234.5,option:0,0, 
85,266.875,220.5,279.875,234.5,option:0,0,v
86,280.328125,215.5,286.328125,234.5,option:0,0,i
87,286.296875,220.5,298.296875,234.5,option:0,0,s
88,298.75,215.5,304.75,234.5,option:0,0,i
89,304.78125,217.5,313.78125,234.5,option:0,0,t
90,313.28125,234.5,320.28125,234.5,option:0,0, 
91,320.078125,216.5,336.078125,234.5,option:0,0,C
92,336.53125,215.5,351.53125,234.5,option:0,0,h
93,351.984375,215.5,357.984375,234.5,option:0,0,i
94,357.984375,220.5,369.984375,234.5,option:0,0,c
95,370.015625,220.5,384.015625,234.5,option:0,0,a
