index,left,top,right,bottom,section,line,content
108,43.703125,50,123.6328125,120.0,,0,"""Mind"
109,123.6328125,50,145.1875,120.0,,0,if
110,145.1875,50,160.1484375,120.0,,0,I
111,160.1484375,50,209.78125,120.0,,0,join
112,209.78125,50,280.765625,120.0,,0,"you?"""
113,280.765625,50,328.8125,120.0,,0,she
114,328.8125,50,411.0390625,120.0,,0,"asked,"
115,411.0390625,50,515.9375,120.0,,0,nodding
116,515.9375,50,616.953125,120.0,,0,towards
117,616.953125,50,662.0625,120.0,,0,the
118,662.0625,50,743.140625,120.0,,0,empty
119,743.140625,50,807.921875,120.0,,0,chair
120,807.921875,50,888.625,120.0,,0,across
121,888.625,50,952.9765625,120.0,,0,from
122,952.9765625,50,1014.484375,120.0,,0,him.
123,43.03125,190.0,86.1015625,260.0,,2,He
124,86.1015625,190.0,172.1171875,260.0,,2,looked
125,172.1171875,190.0,215.90625,260.0,,2,"up,"
126,215.90625,190.0,319.453125,260.0,,2,"startled,"
127,319.453125,190.0,370.8125,260.0,,2,and
128,370.8125,190.0,431.3125,260.0,,2,then
129,431.3125,190.0,515.375,260.0,,2,smiled
130,515.375,190.0,608.1796875,260.0,,2,weakly.
131,608.1796875,190.0,667.953125,260.0,,2,"""Not"
132,667.953125,190.0,697.515625,260.0,,2,at
133,697.515625,190.0,737.875,260.0,,2,all.
134,737.875,190.0,780.6953125,260.0,,2,I'm
135,780.6953125,190.0,857.4375,260.0,,2,"Max."""
136,43.703125,330.0,157.921875,400.0,,4,"""Rachel,"""
137,157.921875,330.0,206.1171875,400.0,,4,she
138,206.1171875,330.0,300.84375,400.0,,4,"replied,"
139,300.84375,330.0,381.03125,400.0,,4,taking
140,381.03125,330.0,401.53125,400.0,,4,a
141,401.53125,330.0,467.125,400.0,,4,seat.
142,43.46875,470.0,81.203125,540.0,,6,As
143,81.203125,470.0,138.7421875,540.0,,6,they
144,138.7421875,470.0,273.21875,540.0,,6,introduced
145,273.21875,470.0,419.65625,540.0,,6,"themselves,"
146,419.65625,470.0,464.703125,540.0,,6,the
147,464.703125,470.0,541.2109375,540.0,,6,storm
148,541.2109375,470.0,616.3125,540.0,,6,raged
149,616.3125,470.0,653.390625,540.0,,6,on
150,653.390625,470.0,754.03125,540.0,,6,"outside,"
151,754.03125,470.0,851.28125,540.0,,6,causing
152,851.28125,470.0,896.359375,540.0,,6,the
153,896.359375,470.0,983.53125,540.0,,6,airport
154,983.53125,470.0,1017.421875,540.0,,6,to
155,43.875,540.0,112.9609375,610.0,,7,grow
156,112.9609375,540.0,259.546875,610.0,,7,increasingly
157,259.546875,540.0,356.90625,610.0,,7,chaotic.
158,356.90625,540.0,497.734375,610.0,,7,Passengers
159,497.734375,540.0,626.765625,610.0,,7,scrambled
160,626.765625,540.0,656.703125,610.0,,7,to
161,656.703125,540.0,709.765625,610.0,,7,find
162,709.765625,540.0,800.421875,610.0,,7,"shelter,"
163,800.421875,540.0,851.78125,610.0,,7,and
164,851.78125,540.0,896.828125,610.0,,7,the
165,896.828125,540.0,976.78125,610.0,,7,sound
166,976.78125,540.0,1010.1875,610.0,,7,of
167,43.953125,610.0,146.546875,680.0,,8,howling
168,146.546875,610.0,210.171875,680.0,,8,wind
169,210.171875,610.0,261.515625,680.0,,8,and
170,261.515625,610.0,368.78125,680.0,,8,creaking
171,368.78125,610.0,441.375,680.0,,8,metal
172,441.375,610.0,506.015625,680.0,,8,filled
173,506.015625,610.0,551.09375,680.0,,8,the
174,551.09375,610.0,594.34375,680.0,,8,air.
175,43.703125,750.0,98.828125,820.0,,10,"""So,"
176,98.828125,750.0,163.859375,820.0,,10,what
177,163.859375,750.0,245.0,820.0,,10,brings
178,245.0,750.0,294.96875,820.0,,10,you
179,294.96875,750.0,325.5078125,820.0,,10,to
180,325.5078125,750.0,447.1640625,820.0,,10,"Chicago?"""
181,447.1640625,750.0,531.484375,820.0,,10,Rachel
182,531.484375,750.0,613.5,820.0,,10,"asked,"
183,613.5,750.0,689.390625,820.0,,10,trying
184,689.390625,750.0,720.21875,820.0,,10,to
185,720.21875,750.0,793.21875,820.0,,10,break
186,793.21875,750.0,838.5078125,820.0,,10,the
187,838.5078125,750.0,887.28125,820.0,,10,ice.
