index,left,top,right,bottom,section,line,content
0,49.53125,76.5,68.53125,94.5,question,0,H
1,68.65625,80.5,83.65625,94.5,question,0,o
2,82.8125,80.5,102.8125,94.5,question,0,w
3,102.3125,94.5,109.3125,94.5,question,0, 
4,109.765625,75.5,115.765625,94.5,question,0,i
5,116.21875,80.5,131.21875,94.5,question,0,n
6,131.25,77.5,140.25,94.5,question,0,t
7,140.34375,80.5,154.34375,94.5,question,0,e
8,154.671875,80.5,164.671875,94.5,question,0,r
9,164.265625,80.5,178.265625,94.5,question,0,e
10,178.234375,80.5,190.234375,94.5,question,0,s
11,190.265625,77.5,199.265625,94.5,question,0,t
12,199.71875,75.5,205.71875,94.5,question,0,i
13,206.171875,80.5,221.171875,94.5,question,0,n
14,221.546875,80.5,236.546875,100.5,question,0,g
15,236.046875,94.5,243.046875,94.5,question,0, 
16,243.421875,75.5,258.421875,94.5,question,0,d
17,258.875,75.5,264.875,94.5,question,0,i
18,265.25,75.5,280.25,94.5,question,0,d
19,279.75,94.5,286.75,94.5,question,0, 
20,286.5,80.5,299.5,100.5,question,0,y
21,299.625,80.5,314.625,94.5,question,0,o
22,315.078125,80.5,330.078125,94.5,question,0,u
23,329.578125,94.5,336.578125,94.5,question,0, 
24,335.171875,75.5,345.171875,94.5,question,0,f
25,345.625,75.5,351.625,94.5,question,0,i
26,352.078125,80.5,367.078125,94.5,question,0,n
27,367.453125,75.5,382.453125,94.5,question,0,d
28,381.953125,94.5,388.953125,94.5,question,0, 
29,388.984375,77.5,397.984375,94.5,question,0,t
30,398.4375,75.5,413.4375,94.5,question,0,h
31,413.890625,75.5,419.890625,94.5,question,0,i
32,419.859375,80.5,431.859375,94.5,question,0,s
33,431.359375,94.5,438.359375,94.5,question,0, 
34,438.390625,77.5,447.390625,94.5,question,0,t
35,447.484375,80.5,461.484375,94.5,question,0,e
36,461.203125,80.5,474.203125,94.5,question,0,x
37,474.234375,77.5,483.234375,94.5,question,0,t
38,483.078125,76.5,494.078125,94.5,question,0,?
39,100.296875,216.5,114.296875,234.5,option:0,0,4
40,113.796875,234.5,120.796875,234.5,option:0,0, 
41,120.296875,226.5,133.296875,234.5,option:0,0,–
42,132.796875,234.5,139.796875,234.5,option:0,0, 
43,139.5,220.5,152.5,234.5,option:0,0,v
44,152.59375,220.5,166.59375,234.5,option:0,0,e
45,166.921875,220.5,176.921875,234.5,option:0,0,r
46,176.671875,220.5,189.671875,240.5,option:0,0,y
47,189.171875,234.5,196.171875,234.5,option:0,0, 
48,196.625,215.5,202.625,234.5,option:0,0,i
49,203.078125,220.5,218.078125,234.5,option:0,0,n
50,218.109375,217.5,227.109375,234.5,option:0,0,t
51,227.203125,220.5,241.203125,234.5,option:0,0,e
52,241.53125,220.5,251.53125,234.5,option:0,0,r
53,251.125,220.5,265.125,234.5,option:0,0,e
54,265.09375,220.5,277.09375,234.5,option:0,0,s
55,277.125,217.5,286.125,234.5,option:0,0,t
56,286.578125,215.5,292.578125,234.5,option:0,0,i
57,293.03125,220.5,308.03125,234.5,option:0,0,n
58,308.40625,220.5,323.40625,240.5,option:0,0,g
59,100.296875,286.5,114.296875,304.5,option:1,0,3
60,113.796875,304.5,120.796875,304.5,option:1,0, 
61,120.296875,296.5,133.296875,304.5,option:1,0,–
62,132.796875,304.5,139.796875,304.5,option:1,0, 
63,140.125,290.5,150.125,304.5,option:1,0,r
64,149.65625,290.5,163.65625,304.5,option:1,0,a
65,163.6875,287.5,172.6875,304.5,option:1,0,t
66,173.140625,285.5,188.140625,304.5,option:1,0,h
67,188.234375,290.5,202.234375,304.5,option:1,0,e
68,202.5625,290.5,212.5625,304.5,option:1,0,r
69,212.0625,304.5,219.0625,304.5,option:1,0, 
70,219.515625,285.5,225.515625,304.5,option:1,0,i
71,225.96875,290.5,240.96875,304.5,option:1,0,n
72,241.0,287.5,250.0,304.5,option:1,0,t
73,250.09375,290.5,264.09375,304.5,option:1,0,e
74,264.421875,290.5,274.421875,304.5,option:1,0,r
75,274.015625,290.5,288.015625,304.5,option:1,0,e
76,287.984375,290.5,299.984375,304.5,option:1,0,s
77,300.015625,287.5,309.015625,304.5,option:1,0,t
78,309.46875,285.5,315.46875,304.5,option:1,0,i
79,315.921875,290.5,330.921875,304.5,option:1,0,n
80,331.296875,290.5,346.296875,310.5,option:1,0,g
81,100.296875,356.5,114.296875,374.5,option:2,0,2
82,113.796875,374.5,120.796875,374.5,option:2,0, 
83,120.296875,366.5,133.296875,374.5,option:2,0,–
84,132.796875,374.5,139.796875,374.5,option:2,0, 
85,140.125,360.5,150.125,374.5,option:2,0,r
86,149.65625,360.5,163.65625,374.5,option:2,0,a
87,163.6875,357.5,172.6875,374.5,option:2,0,t
88,173.140625,355.5,188.140625,374.5,option:2,0,h
89,188.234375,360.5,202.234375,374.5,option:2,0,e
90,202.5625,360.5,212.5625,374.5,option:2,0,r
91,212.0625,374.5,219.0625,374.5,option:2,0, 
92,219.4375,355.5,234.4375,374.5,option:2,0,b
93,234.5625,360.5,249.5625,374.5,option:2,0,o
94,249.890625,360.5,259.890625,374.5,option:2,0,r
95,260.34375,355.5,266.34375,374.5,option:2,0,i
96,266.796875,360.5,281.796875,374.5,option:2,0,n
97,282.171875,360.5,297.171875,380.5,option:2,0,g
98,100.296875,426.5,114.296875,444.5,option:3,0,1
99,113.796875,444.5,120.796875,444.5,option:3,0, 
100,120.296875,436.5,133.296875,444.5,option:3,0,–
101,132.796875,444.5,139.796875,444.5,option:3,0, 
102,139.5,430.5,152.5,444.5,option:3,0,v
103,152.59375,430.5,166.59375,444.5,option:3,0,e
104,166.921875,430.5,176.921875,444.5,option:3,0,r
105,176.671875,430.5,189.671875,450.5,option:3,0,y
106,189.171875,444.5,196.171875,444.5,option:3,0, 
107,196.546875,425.5,211.546875,444.5,option:3,0,b
108,211.671875,430.5,226.671875,444.5,option:3,0,o
109,227.0,430.5,237.0,444.5,option:3,0,r
110,237.453125,425.5,243.453125,444.5,option:3,0,i
111,243.90625,430.5,258.90625,444.5,option:3,0,n
112,259.28125,430.5,274.28125,450.5,option:3,0,g
