index,left,top,right,bottom,section,line,content
527,49.53125,76.5,69.53125,94.5,,0,O
528,69.984375,80.5,84.984375,94.5,,0,n
529,85.078125,80.5,99.078125,94.5,,0,e
530,98.578125,94.5,105.578125,94.5,,0, 
531,105.671875,80.5,119.671875,94.5,,0,e
532,118.875,80.5,131.875,94.5,,0,v
533,131.96875,80.5,145.96875,94.5,,0,e
534,146.421875,80.5,161.421875,94.5,,0,n
535,161.875,75.5,167.875,94.5,,0,i
536,168.328125,80.5,183.328125,94.5,,0,n
537,183.703125,80.5,198.703125,100.5,,0,g
538,198.40625,91.5,205.40625,97.5,,0,","
539,204.90625,94.5,211.90625,94.5,,0, 
540,211.9375,80.5,225.9375,94.5,,0,a
541,225.90625,80.5,237.90625,94.5,,0,s
542,237.40625,94.5,244.40625,94.5,,0, 
543,244.375,80.5,256.375,94.5,,0,s
544,256.828125,75.5,271.828125,94.5,,0,h
545,271.921875,80.5,285.921875,94.5,,0,e
546,285.421875,94.5,292.421875,94.5,,0, 
547,292.390625,80.5,304.390625,94.5,,0,s
548,304.421875,80.5,318.421875,94.5,,0,a
549,318.453125,77.5,327.453125,94.5,,0,t
550,326.953125,94.5,333.953125,94.5,,0, 
551,334.328125,75.5,349.328125,94.5,,0,b
552,348.578125,80.5,361.578125,100.5,,0,y
553,361.078125,94.5,368.078125,94.5,,0, 
554,368.109375,77.5,377.109375,94.5,,0,t
555,377.5625,75.5,392.5625,94.5,,0,h
556,392.65625,80.5,406.65625,94.5,,0,e
557,406.15625,94.5,413.15625,94.5,,0, 
558,413.1875,77.5,422.1875,94.5,,0,t
559,422.21875,80.5,436.21875,94.5,,0,a
560,436.671875,80.5,451.671875,94.5,,0,n
561,451.015625,75.5,465.015625,94.5,,0,k
562,464.71875,91.5,471.71875,97.5,,0,","
563,471.21875,94.5,478.21875,94.5,,0, 
564,478.1875,76.5,491.1875,94.5,,0,F
565,491.640625,75.5,497.640625,94.5,,0,i
566,498.09375,80.5,513.09375,94.5,,0,n
567,513.546875,75.5,519.546875,94.5,,0,l
568,519.640625,80.5,533.640625,94.5,,0,e
569,532.890625,80.5,545.890625,100.5,,0,y
570,545.390625,94.5,552.390625,94.5,,0, 
571,552.359375,80.5,564.359375,94.5,,0,s
572,564.015625,80.5,584.015625,94.5,,0,w
573,584.046875,80.5,598.046875,94.5,,0,a
574,598.421875,80.5,621.421875,94.5,,0,m
575,620.921875,94.5,627.921875,94.5,,0, 
576,628.375,80.5,643.375,94.5,,0,u
577,643.75,80.5,658.75,100.5,,0,p
578,658.25,94.5,665.25,94.5,,0, 
579,665.28125,77.5,674.28125,94.5,,0,t
580,674.40625,80.5,689.40625,94.5,,0,o
581,688.90625,94.5,695.90625,94.5,,0, 
582,695.9375,77.5,704.9375,94.5,,0,t
583,705.390625,75.5,720.390625,94.5,,0,h
584,720.484375,80.5,734.484375,94.5,,0,e
585,733.984375,94.5,740.984375,94.5,,0, 
586,741.359375,80.5,756.359375,100.5,,0,g
587,756.8125,75.5,762.8125,94.5,,0,l
588,762.84375,80.5,776.84375,94.5,,0,a
589,776.8125,80.5,788.8125,94.5,,0,s
590,788.78125,80.5,800.78125,94.5,,0,s
591,800.28125,94.5,807.28125,94.5,,0, 
592,807.3125,80.5,821.3125,94.5,,0,a
593,821.765625,80.5,836.765625,94.5,,0,n
594,837.140625,75.5,852.140625,94.5,,0,d
595,851.640625,94.5,858.640625,94.5,,0, 
596,859.09375,75.5,865.09375,94.5,,0,l
597,865.21875,80.5,880.21875,94.5,,0,o
598,880.34375,80.5,895.34375,94.5,,0,o
599,894.6875,75.5,908.6875,94.5,,0,k
600,908.78125,80.5,922.78125,94.5,,0,e
601,923.15625,75.5,938.15625,94.5,,0,d
602,937.65625,94.5,944.65625,94.5,,0, 
603,944.6875,80.5,958.6875,94.5,,0,a
604,958.71875,77.5,967.71875,94.5,,0,t
605,967.21875,94.5,974.21875,94.5,,0, 
606,974.671875,75.5,989.671875,94.5,,0,h
607,989.765625,80.5,1003.765625,94.5,,0,e
608,1004.09375,80.5,1014.09375,94.5,,0,r
609,49.65625,150.5,69.65625,164.5,,1,w
610,70.109375,145.5,76.109375,164.5,,1,i
611,76.140625,147.5,85.140625,164.5,,1,t
612,85.59375,145.5,100.59375,164.5,,1,h
613,100.09375,164.5,107.09375,164.5,,1, 
614,107.546875,145.5,122.546875,164.5,,1,h
615,123.0,145.5,129.0,164.5,,1,i
616,128.96875,150.5,140.96875,164.5,,1,s
617,140.46875,164.5,147.46875,164.5,,1, 
618,147.84375,145.5,162.84375,164.5,,1,b
619,163.296875,145.5,169.296875,164.5,,1,i
620,169.671875,150.5,184.671875,170.5,,1,g
621,184.375,161.5,191.375,167.5,,1,","
622,190.875,164.5,197.875,164.5,,1, 
623,198.203125,150.5,208.203125,164.5,,1,r
624,207.828125,150.5,222.828125,164.5,,1,o
625,223.28125,150.5,238.28125,164.5,,1,u
626,238.734375,150.5,253.734375,164.5,,1,n
627,254.109375,145.5,269.109375,164.5,,1,d
628,268.609375,164.5,275.609375,164.5,,1, 
629,275.703125,150.5,289.703125,164.5,,1,e
630,288.953125,150.5,301.953125,170.5,,1,y
631,302.046875,150.5,316.046875,164.5,,1,e
632,316.015625,150.5,328.015625,164.5,,1,s
633,327.71875,161.5,334.71875,164.5,,1,.
634,334.21875,164.5,341.21875,164.5,,1, 
635,341.6875,146.5,349.6875,164.5,,1,I
636,349.71875,147.5,358.71875,164.5,,1,t
637,358.21875,164.5,365.21875,164.5,,1, 
638,364.875,150.5,384.875,164.5,,1,w
639,384.90625,150.5,398.90625,164.5,,1,a
640,398.875,150.5,410.875,164.5,,1,s
641,410.375,164.5,417.375,164.5,,1, 
642,417.40625,150.5,431.40625,164.5,,1,a
643,431.375,150.5,443.375,164.5,,1,s
644,442.875,164.5,449.875,164.5,,1, 
645,450.328125,145.5,456.328125,164.5,,1,i
646,454.921875,145.5,464.921875,164.5,,1,f
647,464.421875,164.5,471.421875,164.5,,1, 
648,471.875,145.5,486.875,164.5,,1,h
649,486.96875,150.5,500.96875,164.5,,1,e
650,500.46875,164.5,507.46875,164.5,,1, 
651,507.125,150.5,527.125,164.5,,1,w
652,527.15625,150.5,541.15625,164.5,,1,a
653,541.125,150.5,553.125,164.5,,1,s
654,552.625,164.5,559.625,164.5,,1, 
655,559.65625,147.5,568.65625,164.5,,1,t
656,568.984375,150.5,578.984375,164.5,,1,r
657,578.734375,150.5,591.734375,170.5,,1,y
658,592.1875,145.5,598.1875,164.5,,1,i
659,598.640625,150.5,613.640625,164.5,,1,n
660,614.015625,150.5,629.015625,170.5,,1,g
661,628.515625,164.5,635.515625,164.5,,1, 
662,635.546875,147.5,644.546875,164.5,,1,t
663,644.671875,150.5,659.671875,164.5,,1,o
664,659.171875,164.5,666.171875,164.5,,1, 
665,666.203125,147.5,675.203125,164.5,,1,t
666,675.296875,150.5,689.296875,164.5,,1,e
667,689.75,145.5,695.75,164.5,,1,l
