index,left,top,right,bottom,section,line,content
376,43.53125,50,91.9921875,120.0,,0,the
377,91.9921875,50,161.609375,120.0,,0,room
378,161.609375,50,226.140625,120.0,,0,were
379,226.140625,50,329.234375,120.0,,0,growing
380,329.234375,50,358.796875,120.0,,0,at
381,358.796875,50,394.78125,120.0,,0,an
382,394.78125,50,506.9296875,120.0,,0,alarming
383,506.9296875,50,566.96875,120.0,,0,"rate,"
384,566.96875,50,618.328125,120.0,,0,and
385,618.328125,50,663.40625,120.0,,0,the
386,663.40625,50,700.53125,120.0,,0,air
387,700.53125,50,752.15625,120.0,,0,was
388,752.15625,50,816.609375,120.0,,0,filled
389,816.609375,50,873.890625,120.0,,0,with
390,873.890625,50,918.9375,120.0,,0,the
391,918.9375,50,997.546875,120.0,,0,sweet
392,43.46875,120.0,115.859375,190.0,,1,scent
393,115.859375,120.0,146.203125,190.0,,1,of
394,146.203125,120.0,264.546875,190.0,,1,blooming
395,264.546875,120.0,364.40625,190.0,,1,flowers.
396,364.40625,120.0,388.0,190.0,,1,It
397,388.0,120.0,440.34375,190.0,,1,was
398,440.34375,120.0,473.0546875,190.0,,1,as
399,473.0546875,120.0,494.359375,190.0,,1,if
400,494.359375,120.0,586.21875,190.0,,1,Finley's
401,586.21875,120.0,646.6484375,190.0,,1,wish
402,646.6484375,120.0,697.96875,190.0,,1,had
403,697.96875,120.0,800.1484375,190.0,,1,brought
404,800.1484375,120.0,855.3515625,190.0,,1,new
405,855.3515625,120.0,897.234375,190.0,,1,life
406,897.234375,120.0,927.890625,190.0,,1,to
407,927.890625,120.0,972.78125,190.0,,1,the
408,972.78125,120.0,1049.640625,190.0,,1,world
409,43.53125,190.0,138.7421875,260.0,,2,around
410,138.7421875,190.0,190.84375,260.0,,2,her.
411,43.46875,330.0,100.0625,400.0,,4,And
412,100.0625,330.0,167.34375,400.0,,4,"then,"
413,167.34375,330.0,218.640625,400.0,,4,one
414,218.640625,330.0,333.265625,400.0,,4,"morning,"
415,333.265625,330.0,378.296875,400.0,,4,Lily
416,378.296875,330.0,447.4140625,400.0,,4,woke
417,447.4140625,330.0,484.53125,400.0,,4,up
418,484.53125,330.0,514.46875,400.0,,4,to
419,514.46875,330.0,567.5625,400.0,,4,find
420,567.5625,330.0,588.0625,400.0,,4,a
421,588.0625,330.0,657.0859375,400.0,,4,small
422,657.0859375,330.0,717.125,400.0,,4,note
423,717.125,330.0,754.3671875,400.0,,4,on
424,754.3671875,330.0,800.703125,400.0,,4,her
425,800.703125,330.0,899.765625,400.0,,4,bedside
426,899.765625,330.0,972.171875,400.0,,4,table.
427,972.171875,330.0,995.765625,400.0,,4,It
428,995.765625,330.0,1051.34375,400.0,,4,was
429,43.53125,400.0,91.8125,470.0,,5,the
430,91.8125,400.0,162.0234375,470.0,,5,same
431,162.0234375,400.0,221.984375,470.0,,5,note
432,221.984375,400.0,270.2421875,470.0,,5,she
433,270.2421875,400.0,321.359375,470.0,,5,had
434,321.359375,400.0,383.546875,470.0,,5,seen
435,383.546875,400.0,420.578125,470.0,,5,on
436,420.578125,400.0,465.6875,470.0,,5,the
437,465.6875,400.0,531.140625,470.0,,5,edge
438,531.140625,400.0,561.3125,470.0,,5,of
439,561.3125,400.0,606.390625,470.0,,5,the
440,606.390625,400.0,671.625,470.0,,5,"tank,"
441,671.625,400.0,717.8125,470.0,,5,but
442,717.8125,400.0,767.21875,470.0,,5,this
443,767.21875,400.0,833.5859375,470.0,,5,"time,"
444,833.5859375,400.0,855.5703125,470.0,,5,it
445,855.5703125,400.0,906.71875,470.0,,5,had
446,906.71875,400.0,927.4609375,470.0,,5,a
447,927.4609375,400.0,985.6875,470.0,,5,new
448,43.875,470.0,164.9609375,540.0,,6,message:
449,164.9609375,470.0,218.5078125,540.0,,6,"""I'm"
450,218.5078125,470.0,264.6171875,540.0,,6,not
451,264.6171875,470.0,313.8125,540.0,,6,just
452,313.8125,470.0,333.625,540.0,,6,a
453,333.625,470.0,390.234375,540.0,,6,"fish,"
454,390.234375,470.0,433.234375,540.0,,6,I'm
455,433.234375,470.0,477.96875,540.0,,6,the
456,477.96875,470.0,524.5,540.0,,6,key
457,524.5,470.0,555.15625,540.0,,6,to
458,555.15625,470.0,575.8984375,540.0,,6,a
459,575.8984375,470.0,630.703125,540.0,,6,new
460,630.703125,470.0,724.46875,540.0,,6,"world."""
461,43.46875,610.0,81.234375,680.0,,8,As
462,81.234375,610.0,126.6640625,680.0,,8,Lily
463,126.6640625,610.0,212.46875,680.0,,8,looked
464,212.46875,610.0,242.03125,680.0,,8,at
465,242.03125,610.0,287.3203125,680.0,,8,the
466,287.3203125,610.0,353.984375,680.0,,8,"note,"
467,353.984375,610.0,402.1796875,680.0,,8,she
468,402.1796875,610.0,500.609375,680.0,,8,realized
469,500.609375,610.0,554.625,680.0,,8,that
470,554.625,610.0,646.484375,680.0,,8,Finley's
471,646.484375,610.0,706.9140625,680.0,,8,wish
