index,left,top,right,bottom,section,line,content
977,49.90625,76.5,63.90625,94.5,,0,E
978,64.28125,80.5,87.28125,94.5,,0,m
979,87.65625,80.5,110.65625,94.5,,0,m
980,110.6875,80.5,124.6875,94.5,,0,a
981,124.0625,76.5,130.0625,94.5,,0,'
982,129.28125,80.5,141.28125,94.5,,0,s
983,140.78125,94.5,147.78125,94.5,,0, 
984,147.875,80.5,161.875,94.5,,0,e
985,161.125,80.5,174.125,100.5,,0,y
986,174.21875,80.5,188.21875,94.5,,0,e
987,188.1875,80.5,200.1875,94.5,,0,s
988,199.6875,94.5,206.6875,94.5,,0, 
989,206.65625,80.5,218.65625,94.5,,0,s
990,219.03125,80.5,234.03125,100.5,,0,p
991,234.0625,80.5,248.0625,94.5,,0,a
992,248.390625,80.5,258.390625,94.5,,0,r
993,257.734375,75.5,271.734375,94.5,,0,k
994,272.1875,75.5,278.1875,94.5,,0,l
995,278.28125,80.5,292.28125,94.5,,0,e
996,292.65625,75.5,307.65625,94.5,,0,d
997,307.359375,91.5,314.359375,94.5,,0,.
998,313.859375,94.5,320.859375,94.5,,0, 
999,321.0625,76.5,331.0625,94.5,,0,""""
1000,331.46875,76.5,345.46875,94.5,,0,T
1001,345.921875,75.5,360.921875,94.5,,0,h
1002,360.953125,80.5,374.953125,94.5,,0,a
1003,374.984375,77.5,383.984375,94.5,,0,t
1004,384.109375,76.5,390.109375,94.5,,0,'
1005,389.328125,80.5,401.328125,94.5,,0,s
1006,400.828125,94.5,407.828125,94.5,,0, 
1007,407.859375,80.5,421.859375,94.5,,0,a
1008,422.234375,80.5,445.234375,94.5,,0,m
1009,445.265625,80.5,459.265625,94.5,,0,a
1010,459.015625,80.5,471.015625,94.5,,0,z
1011,471.46875,75.5,477.46875,94.5,,0,i
1012,477.921875,80.5,492.921875,94.5,,0,n
1013,493.296875,80.5,508.296875,100.5,,0,g
1014,508.015625,76.5,515.015625,94.5,,0,!
1015,514.515625,94.5,521.515625,94.5,,0, 
1016,521.765625,76.5,544.765625,94.5,,0,W
1017,545.21875,75.5,560.21875,94.5,,0,h
1018,560.25,80.5,574.25,94.5,,0,a
1019,574.28125,77.5,583.28125,94.5,,0,t
1020,582.78125,94.5,589.78125,94.5,,0, 
1021,589.875,80.5,603.875,94.5,,0,e
1022,604.328125,75.5,610.328125,94.5,,0,l
1023,610.296875,80.5,622.296875,94.5,,0,s
1024,622.390625,80.5,636.390625,94.5,,0,e
1025,636.234375,76.5,647.234375,94.5,,0,?
1026,647.4375,76.5,657.4375,94.5,,0,""""
1027,49.53125,216.5,68.53125,234.5,,2,H
1028,68.625,220.5,82.625,234.5,,2,e
