index,left,top,right,bottom,section,line,content
152,43.40625,50,144.578125,120.0,,0,Emma's
153,144.578125,50,203.421875,120.0,,0,eyes
154,203.421875,50,317.7109375,120.0,,0,sparkled.
155,317.7109375,50,404.59375,120.0,,0,"""That's"
156,404.59375,50,518.390625,120.0,,0,amazing!
157,518.390625,50,586.578125,120.0,,0,What
158,586.578125,50,663.9375,120.0,,0,"else?"""
159,43.03125,190.0,96.390625,260.0,,2,Her
160,96.390625,190.0,278.0625,260.0,,2,grandmother's
161,278.0625,190.0,336.9375,260.0,,2,eyes
162,336.9375,190.0,443.46875,260.0,,2,twinkled
163,443.46875,190.0,619.3359375,260.0,,2,mischievously.
164,619.3359375,190.0,692.90625,260.0,,2,"""Well,"
165,692.90625,190.0,742.484375,260.0,,2,this
166,742.484375,190.0,857.296875,260.0,,2,"morning,"
167,857.296875,190.0,871.859375,260.0,,2,I
168,871.859375,190.0,960.828125,260.0,,2,wished
169,960.828125,190.0,1002.09375,260.0,,2,for
170,1002.09375,190.0,1025.859375,260.0,,2,a
171,42.09375,260.0,143.796875,330.0,,3,favorite
172,143.796875,260.0,267.125,330.0,,3,"breakfast,"
173,267.125,260.0,318.453125,330.0,,3,and
174,318.453125,260.0,437.609375,330.0,,3,"suddenly,"
175,437.609375,260.0,482.6875,330.0,,3,the
176,482.6875,260.0,565.625,330.0,,3,aroma
177,565.625,260.0,595.078125,330.0,,3,of
178,595.078125,260.0,681.609375,330.0,,3,freshly
179,681.609375,260.0,760.328125,330.0,,3,baked
180,760.328125,260.0,876.765625,330.0,,3,pancakes
181,876.765625,260.0,963.515625,330.0,,3,wafted
182,963.515625,260.0,1030.890625,330.0,,3,from
183,43.53125,330.0,91.5,400.0,,4,the
184,91.5,330.0,204.3125,400.0,,4,"kitchen."""
185,43.40625,470.0,144.7578125,540.0,,6,Emma's
186,144.7578125,470.0,251.296875,540.0,,6,laughter
187,251.296875,470.0,343.90625,540.0,,6,echoed
188,343.90625,470.0,446.125,540.0,,6,through
189,446.125,470.0,491.4140625,540.0,,6,the
190,491.4140625,470.0,591.7421875,540.0,,6,hospital
191,591.7421875,470.0,668.3359375,540.0,,6,room.
192,668.3359375,470.0,755.4296875,540.0,,6,"""That's"
193,755.4296875,470.0,884.0859375,540.0,,6,"incredible,"
194,884.0859375,470.0,1020.953125,540.0,,6,"Grandma!"""
195,43.46875,610.0,126.609375,680.0,,8,"Finley,"
196,126.609375,610.0,223.84375,680.0,,8,sensing
197,223.84375,610.0,321.71875,680.0,,8,Emma's
198,321.71875,610.0,464.90625,680.0,,8,"excitement,"
199,464.90625,610.0,549.46875,680.0,,8,darted
200,549.46875,610.0,641.4453125,680.0,,8,around
201,641.4453125,610.0,681.59375,680.0,,8,his
202,681.59375,610.0,802.9921875,680.0,,8,"container,"
203,802.9921875,610.0,842.4375,680.0,,8,his
204,842.4375,610.0,891.9375,680.0,,8,fins
205,891.9375,610.0,1002.453125,680.0,,8,wiggling
206,42.09375,680.0,161.484375,750.0,,9,furiously.
207,161.484375,680.0,242.90625,750.0,,9,Emma
208,242.90625,680.0,344.5859375,750.0,,9,"giggled,"
209,344.5859375,680.0,512.78125,750.0,,9,remembering
210,512.78125,680.0,557.84375,750.0,,9,the
211,557.84375,680.0,675.875,750.0,,9,countless
212,675.875,680.0,761.5859375,750.0,,9,stories
213,761.5859375,680.0,807.921875,750.0,,9,her
214,807.921875,680.0,971.71875,750.0,,9,grandmother
215,971.71875,680.0,1027.4375,750.0,,9,told
216,43.53125,750.0,122.25,820.0,,10,about
217,122.25,750.0,214.265625,820.0,,10,Finley's
218,214.265625,750.0,335.34375,820.0,,10,supposed
219,335.34375,750.0,504.609375,820.0,,10,wish-granting
220,504.609375,750.0,611.359375,820.0,,10,abilities.
