index,left,top,right,bottom,section,line,content
0,43.75,50,115.2421875,120.0,question,0,What
1,115.2421875,50,240.59375,120.0,question,0,happened
2,240.59375,50,311.875,120.0,question,0,when
3,311.875,50,393.296875,120.0,question,0,Emma
4,393.296875,50,466.3125,120.0,question,0,made
5,466.3125,50,552.59375,120.0,question,0,wishes
6,552.59375,50,615.140625,120.0,question,0,after
7,615.140625,50,689.328125,120.0,question,0,Finley
8,689.328125,50,759.515625,120.0,question,0,came
9,759.515625,50,820.59375,120.0,question,0,back
10,820.59375,50,851.4609375,120.0,question,0,to
11,851.4609375,50,907.421875,120.0,question,0,life?
12,93.46875,190.0,170.75,260.0,option:0,0,Finley
13,170.75,190.0,249.671875,260.0,option:0,0,would
14,249.671875,190.0,315.6953125,260.0,option:0,0,grow
15,315.6953125,190.0,398.28125,260.0,option:0,0,larger.
16,93.40625,260.0,177.765625,330.0,option:1,0,Emma
17,177.765625,260.0,255.796875,330.0,option:1,0,would
18,255.796875,260.0,335.5234375,330.0,option:1,0,forget
19,335.5234375,260.0,381.5,330.0,option:1,0,her
20,381.5,260.0,477.71875,330.0,option:1,0,wishes.
21,93.40625,330.0,177.765625,400.0,option:2,0,Emma
22,177.765625,330.0,256.328125,400.0,option:2,0,would
23,256.328125,330.0,324.3515625,400.0,option:2,0,wake
24,324.3515625,330.0,360.75,400.0,option:2,0,up
25,360.75,330.0,424.890625,400.0,option:2,0,from
26,424.890625,330.0,445.59375,400.0,option:2,0,a
27,445.59375,330.0,538.5625,400.0,option:2,0,dream.
28,93.46875,400.0,170.75,470.0,option:3,0,Finley
29,170.75,400.0,249.671875,470.0,option:3,0,would
30,249.671875,400.0,319.71875,470.0,option:3,0,grant
31,319.71875,400.0,388.34375,470.0,option:3,0,them
32,388.34375,400.0,514.53125,470.0,option:3,0,magically.
