index,left,top,right,bottom,section,line,content
1150,49.53125,76.5,69.53125,94.5,,0,O
1151,69.234375,80.5,82.234375,94.5,,0,v
1152,82.328125,80.5,96.328125,94.5,,0,e
1153,96.65625,80.5,106.65625,94.5,,0,r
1154,106.15625,94.5,113.15625,94.5,,0, 
1155,113.1875,77.5,122.1875,94.5,,0,t
1156,122.640625,75.5,137.640625,94.5,,0,h
1157,137.734375,80.5,151.734375,94.5,,0,e
1158,151.234375,94.5,158.234375,94.5,,0, 
1159,158.6875,80.5,173.6875,94.5,,0,n
1160,173.78125,80.5,187.78125,94.5,,0,e
1161,187.5,80.5,200.5,94.5,,0,x
1162,200.53125,77.5,209.53125,94.5,,0,t
1163,209.03125,94.5,216.03125,94.5,,0, 
1164,214.625,75.5,224.625,94.5,,0,f
1165,224.71875,80.5,238.71875,94.5,,0,e
1166,237.875,80.5,257.875,94.5,,0,w
1167,257.375,94.5,264.375,94.5,,0, 
1168,264.75,75.5,279.75,94.5,,0,d
1169,279.78125,80.5,293.78125,94.5,,0,a
1170,293.53125,80.5,306.53125,100.5,,0,y
1171,306.5,80.5,318.5,94.5,,0,s
1172,318.203125,91.5,325.203125,97.5,,0,","
1173,324.703125,94.5,331.703125,94.5,,0, 
1174,331.609375,76.5,345.609375,94.5,,0,E
1175,345.984375,80.5,368.984375,94.5,,0,m
1176,369.359375,80.5,392.359375,94.5,,0,m
1177,392.390625,80.5,406.390625,94.5,,0,a
1178,405.890625,94.5,412.890625,94.5,,0, 
1179,412.546875,80.5,432.546875,94.5,,0,w
1180,432.578125,80.5,446.578125,94.5,,0,a
1181,446.546875,80.5,458.546875,94.5,,0,s
1182,458.046875,94.5,465.046875,94.5,,0, 
1183,465.171875,80.5,480.171875,94.5,,0,o
1184,479.375,80.5,492.375,94.5,,0,v
1185,492.46875,80.5,506.46875,94.5,,0,e
1186,506.796875,80.5,516.796875,94.5,,0,r
1187,517.25,75.5,523.25,100.5,,0,j
1188,523.375,80.5,538.375,94.5,,0,o
1189,537.625,80.5,550.625,100.5,,0,y
1190,550.71875,80.5,564.71875,94.5,,0,e
1191,565.09375,75.5,580.09375,94.5,,0,d
1192,579.59375,94.5,586.59375,94.5,,0, 
1193,586.625,77.5,595.625,94.5,,0,t
1194,595.75,80.5,610.75,94.5,,0,o
1195,610.25,94.5,617.25,94.5,,0, 
1196,617.703125,75.5,632.703125,94.5,,0,h
1197,632.734375,80.5,646.734375,94.5,,0,a
1198,646.4375,80.5,659.4375,94.5,,0,v
1199,659.53125,80.5,673.53125,94.5,,0,e
1200,673.03125,94.5,680.03125,94.5,,0, 
1201,680.0,76.5,693.0,94.5,,0,F
1202,693.453125,75.5,699.453125,94.5,,0,i
1203,699.90625,80.5,714.90625,94.5,,0,n
1204,715.359375,75.5,721.359375,94.5,,0,l
1205,721.453125,80.5,735.453125,94.5,,0,e
1206,734.703125,80.5,747.703125,100.5,,0,y
1207,747.203125,94.5,754.203125,94.5,,0, 
1208,754.578125,75.5,769.578125,94.5,,0,b
1209,769.609375,80.5,783.609375,94.5,,0,a
1210,783.609375,80.5,795.609375,94.5,,0,c
1211,794.953125,75.5,808.953125,94.5,,0,k
1212,808.453125,94.5,815.453125,94.5,,0, 
1213,815.828125,75.5,830.828125,94.5,,0,b
1214,830.078125,80.5,843.078125,100.5,,0,y
1215,842.578125,94.5,849.578125,94.5,,0, 
1216,850.03125,75.5,865.03125,94.5,,0,h
1217,865.125,80.5,879.125,94.5,,0,e
1218,879.453125,80.5,889.453125,94.5,,0,r
1219,888.953125,94.5,895.953125,94.5,,0, 
1220,895.921875,80.5,907.921875,94.5,,0,s
1221,908.375,75.5,914.375,94.5,,0,i
1222,914.75,75.5,929.75,94.5,,0,d
1223,929.84375,80.5,943.84375,94.5,,0,e
1224,943.546875,91.5,950.546875,94.5,,0,.
1225,950.046875,94.5,957.046875,94.5,,0, 
1226,956.765625,76.5,970.765625,94.5,,0,S
1227,971.21875,75.5,986.21875,94.5,,0,h
1228,986.3125,80.5,1000.3125,94.5,,0,e
1229,999.8125,94.5,1006.8125,94.5,,0, 
1230,1005.40625,75.5,1015.40625,94.5,,0,f
1231,1015.5,80.5,1029.5,94.5,,0,e
1232,1029.875,75.5,1044.875,94.5,,0,d
1233,50.453125,145.5,65.453125,164.5,,1,h
1234,65.90625,145.5,71.90625,164.5,,1,i
1235,72.28125,150.5,95.28125,164.5,,1,m
1236,94.984375,161.5,101.984375,167.5,,1,","
1237,101.484375,164.5,108.484375,164.5,,1, 
1238,108.859375,150.5,123.859375,170.5,,1,p
1239,124.3125,145.5,130.3125,164.5,,1,l
1240,130.34375,150.5,144.34375,164.5,,1,a
1241,144.09375,150.5,157.09375,170.5,,1,y
1242,157.1875,150.5,171.1875,164.5,,1,e
1243,171.5625,145.5,186.5625,164.5,,1,d
