index,left,top,right,bottom,section,line,content
378,43.46875,50,146.4375,120.0,,0,"surface,"
379,146.4375,50,197.796875,120.0,,0,and
380,197.796875,50,218.5,120.0,,0,a
381,218.5,50,290.234375,120.0,,0,plane
382,290.234375,50,360.5,120.0,,0,ticket
383,360.5,50,439.421875,120.0,,0,would
384,439.421875,50,576.0546875,120.0,,0,materialize
385,576.0546875,50,603.53125,120.0,,0,in
386,603.53125,50,668.828125,120.0,,0,front
387,668.828125,50,699.2109375,120.0,,0,of
388,699.2109375,50,751.3125,120.0,,0,her.
389,43.46875,190.0,81.140625,260.0,,2,As
390,81.140625,190.0,178.796875,260.0,,2,Emma's
391,178.796875,190.0,265.25,260.0,,2,wishes
392,265.25,190.0,364.71875,260.0,,2,became
393,364.71875,190.0,433.46875,260.0,,2,more
394,433.46875,190.0,485.0,260.0,,2,and
395,485.0,190.0,553.796875,260.0,,2,more
396,553.796875,190.0,691.71875,260.0,,2,"outlandish,"
397,691.71875,190.0,739.9375,260.0,,2,she
398,739.9375,190.0,820.59375,260.0,,2,began
399,820.59375,190.0,851.3984375,260.0,,2,to
400,851.3984375,190.0,934.453125,260.0,,2,realize
401,934.453125,190.0,991.734375,260.0,,2,that
402,43.46875,260.0,138.953125,330.0,,3,Finley's
403,138.953125,260.0,216.5,330.0,,3,magic
404,216.5,260.0,286.328125,330.0,,3,came
405,286.328125,260.0,343.609375,330.0,,3,with
406,343.609375,260.0,364.3125,330.0,,3,a
407,364.3125,260.0,435.53125,330.0,,3,price.
408,435.53125,260.0,505.875,330.0,,3,Every
409,505.875,260.0,565.296875,330.0,,3,time
410,565.296875,260.0,613.515625,330.0,,3,she
411,613.515625,260.0,686.71875,330.0,,3,made
412,686.71875,260.0,707.0625,330.0,,3,a
413,707.0625,260.0,773.953125,330.0,,3,"wish,"
414,773.953125,260.0,821.28125,330.0,,3,she
415,821.28125,260.0,866.671875,330.0,,3,felt
416,866.671875,260.0,887.4140625,330.0,,3,a
417,887.4140625,260.0,945.390625,330.0,,3,little
418,945.390625,260.0,982.625,330.0,,3,bit
419,982.625,260.0,1016.03125,330.0,,3,of
420,43.953125,330.0,134.21875,400.0,,4,herself
421,134.21875,330.0,233.65625,400.0,,4,slipping
422,233.65625,330.0,306.171875,400.0,,4,away.
423,306.171875,330.0,355.375,400.0,,4,She
424,355.375,330.0,400.9765625,400.0,,4,felt
425,400.9765625,330.0,447.578125,400.0,,4,like
426,447.578125,330.0,495.4375,400.0,,4,she
427,495.4375,330.0,547.9921875,400.0,,4,was
428,547.9921875,330.0,625.09375,400.0,,4,losing
429,625.09375,330.0,721.5390625,400.0,,4,"control,"
