index,left,top,right,bottom,section,line,content
113,43.46875,50,156.578125,120.0,,0,standing
114,156.578125,50,190.53125,120.0,,0,by
115,190.53125,50,235.421875,120.0,,0,the
116,235.421875,50,309.234375,120.0,,0,water
117,309.234375,50,394.8125,120.0,,0,cooler.
118,43.46875,190.0,169.015625,260.0,,2,Apologies
119,169.015625,190.0,233.40625,260.0,,2,were
120,233.40625,190.0,374.671875,260.0,,2,"exchanged,"
121,374.671875,190.0,426.03125,260.0,,2,and
122,426.03125,190.0,470.390625,260.0,,2,the
123,470.390625,190.0,547.40625,260.0,,2,figure
124,547.40625,190.0,633.640625,260.0,,2,turned
125,633.640625,190.0,663.578125,260.0,,2,to
126,663.578125,190.0,719.7265625,260.0,,2,face
127,719.7265625,190.0,768.53125,260.0,,2,her.
128,768.53125,190.0,855.90625,260.0,,2,Emily's
129,855.90625,190.0,914.59375,260.0,,2,eyes
130,914.59375,190.0,1025.015625,260.0,,2,widened
131,43.53125,260.0,79.234375,330.0,,3,as
132,79.234375,260.0,127.28125,330.0,,3,she
133,127.28125,260.0,186.6171875,330.0,,3,took
134,186.6171875,260.0,214.8125,330.0,,3,in
135,214.8125,260.0,259.859375,330.0,,3,the
136,259.859375,260.0,324.71875,330.0,,3,sight
137,324.71875,260.0,354.890625,330.0,,3,of
138,354.890625,260.0,375.59375,330.0,,3,a
139,375.59375,260.0,434.59375,330.0,,3,man
140,434.59375,260.0,492.046875,330.0,,3,with
141,492.046875,260.0,593.578125,330.0,,3,piercing
142,593.578125,260.0,651.3125,330.0,,3,blue
143,651.3125,260.0,710.1875,330.0,,3,eyes
144,710.1875,260.0,761.53125,330.0,,3,and
145,761.53125,260.0,863.21875,330.0,,3,chiseled
146,863.21875,260.0,977.46875,330.0,,3,"features,"
147,43.875,330.0,146.1796875,400.0,,4,dressed
148,146.1796875,330.0,174.375,400.0,,4,in
149,174.375,330.0,194.90625,400.0,,4,a
150,194.90625,330.0,291.765625,400.0,,4,tailored
151,291.765625,330.0,341.203125,400.0,,4,suit
152,341.203125,330.0,395.21875,400.0,,4,that
153,395.21875,330.0,494.796875,400.0,,4,seemed
154,494.796875,330.0,540.90625,400.0,,4,out
155,540.90625,330.0,571.25,400.0,,4,of
156,571.25,330.0,639.7421875,400.0,,4,place
157,639.7421875,330.0,667.9375,400.0,,4,in
158,667.9375,330.0,713.1875,400.0,,4,the
159,713.1875,330.0,774.171875,400.0,,4,drab
160,774.171875,330.0,845.53125,400.0,,4,office
161,845.53125,330.0,1013.0,400.0,,4,environment.
162,43.703125,470.0,105.5703125,540.0,,6,"""Hi,"""
163,105.5703125,470.0,141.375,540.0,,6,he
164,141.375,470.0,202.6484375,540.0,,6,"said,"
165,202.6484375,470.0,242.984375,540.0,,6,his
166,242.984375,470.0,308.0859375,540.0,,6,deep
167,308.0859375,470.0,375.09375,540.0,,6,voice
168,375.09375,470.0,475.796875,540.0,,6,sending
169,475.796875,470.0,496.296875,540.0,,6,a
170,496.296875,470.0,574.0,540.0,,6,shiver
171,574.0,470.0,645.375,540.0,,6,down
172,645.375,470.0,732.6875,540.0,,6,Emily's
173,732.6875,470.0,812.5,540.0,,6,spine.
174,43.703125,610.0,105.328125,680.0,,8,"""Hi,"""
175,105.328125,610.0,153.5234375,680.0,,8,she
176,153.5234375,610.0,247.53125,680.0,,8,"replied,"
177,247.53125,610.0,335.265625,680.0,,8,feeling
178,335.265625,610.0,355.078125,680.0,,8,a
179,355.078125,610.0,420.3671875,680.0,,8,flush
180,420.3671875,610.0,469.5625,680.0,,8,rise
181,469.5625,610.0,500.4296875,680.0,,8,to
182,500.4296875,610.0,546.578125,680.0,,8,her
183,546.578125,610.0,640.8359375,680.0,,8,cheeks.
184,640.8359375,610.0,694.109375,680.0,,8,"""I'm"
185,694.109375,610.0,769.53125,680.0,,8,Emily.
186,769.53125,610.0,812.7421875,680.0,,8,I'm
187,812.7421875,610.0,867.9453125,680.0,,8,new
188,867.9453125,610.0,947.84375,680.0,,8,"here."""
