index,left,top,right,bottom,section,line,content
603,49.96875,76.5,65.96875,94.5,,0,A
604,65.9375,80.5,77.9375,94.5,,0,s
605,77.4375,94.5,84.4375,94.5,,0, 
606,84.40625,80.5,96.40625,94.5,,0,s
607,96.859375,75.5,111.859375,94.5,,0,h
608,111.953125,80.5,125.953125,94.5,,0,e
609,125.453125,94.5,132.453125,94.5,,0, 
610,132.828125,80.5,147.828125,100.5,,0,g
611,148.15625,80.5,158.15625,94.5,,0,r
612,157.75,80.5,171.75,94.5,,0,e
613,170.90625,80.5,190.90625,94.5,,0,w
614,190.40625,94.5,197.40625,94.5,,0, 
615,197.53125,80.5,212.53125,94.5,,0,o
616,212.984375,75.5,218.984375,94.5,,0,l
617,219.359375,75.5,234.359375,94.5,,0,d
618,234.453125,80.5,248.453125,94.5,,0,e
619,248.78125,80.5,258.78125,94.5,,0,r
620,254.484375,91.5,261.484375,97.5,,0,","
621,260.984375,94.5,267.984375,94.5,,0, 
622,268.015625,77.5,277.015625,94.5,,0,t
623,277.46875,75.5,292.46875,94.5,,0,h
624,292.5625,80.5,306.5625,94.5,,0,e
625,306.0625,94.5,313.0625,94.5,,0, 
626,311.65625,75.5,321.65625,94.5,,0,f
627,321.75,80.5,335.75,94.5,,0,e
628,335.84375,80.5,349.84375,94.5,,0,e
629,350.296875,75.5,356.296875,94.5,,0,l
630,356.75,75.5,362.75,94.5,,0,i
631,363.203125,80.5,378.203125,94.5,,0,n
632,378.578125,80.5,393.578125,100.5,,0,g
633,393.078125,94.5,400.078125,94.5,,0, 
634,400.203125,80.5,415.203125,94.5,,0,o
635,413.796875,75.5,423.796875,94.5,,0,f
636,423.296875,94.5,430.296875,94.5,,0, 
637,430.296875,80.5,442.296875,94.5,,0,c
638,442.421875,80.5,457.421875,94.5,,0,o
639,457.796875,80.5,480.796875,94.5,,0,m
640,481.25,75.5,487.25,94.5,,0,i
641,487.703125,80.5,502.703125,94.5,,0,n
642,503.078125,80.5,518.078125,100.5,,0,g
643,517.578125,94.5,524.578125,94.5,,0, 
644,525.03125,75.5,531.03125,94.5,,0,i
645,531.484375,80.5,546.484375,94.5,,0,n
646,545.984375,94.5,552.984375,94.5,,0, 
647,552.953125,80.5,564.953125,94.5,,0,s
648,565.046875,80.5,579.046875,94.5,,0,e
649,579.046875,80.5,591.046875,94.5,,0,c
650,591.171875,80.5,606.171875,94.5,,0,o
651,606.625,80.5,621.625,94.5,,0,n
652,622.0,75.5,637.0,94.5,,0,d
653,636.5,94.5,643.5,94.5,,0, 
654,643.875,80.5,658.875,100.5,,0,p
655,659.328125,75.5,665.328125,94.5,,0,l
656,665.359375,80.5,679.359375,94.5,,0,a
657,679.359375,80.5,691.359375,94.5,,0,c
658,691.453125,80.5,705.453125,94.5,,0,e
659,704.953125,94.5,711.953125,94.5,,0, 
660,712.328125,75.5,727.328125,94.5,,0,b
661,727.421875,80.5,741.421875,94.5,,0,e
662,741.796875,80.5,756.796875,100.5,,0,g
663,756.828125,80.5,770.828125,94.5,,0,a
664,771.28125,80.5,786.28125,94.5,,0,n
665,785.78125,94.5,792.78125,94.5,,0, 
666,792.8125,77.5,801.8125,94.5,,0,t
667,801.9375,80.5,816.9375,94.5,,0,o
668,816.4375,94.5,823.4375,94.5,,0, 
669,823.46875,77.5,832.46875,94.5,,0,t
670,832.5,80.5,846.5,94.5,,0,a
671,845.84375,75.5,859.84375,94.5,,0,k
672,859.9375,80.5,873.9375,94.5,,0,e
673,873.4375,94.5,880.4375,94.5,,0, 
674,880.46875,80.5,894.46875,94.5,,0,a
675,893.96875,94.5,900.96875,94.5,,0, 
676,901.0,77.5,910.0,94.5,,0,t
677,910.125,80.5,925.125,94.5,,0,o
678,925.578125,75.5,931.578125,94.5,,0,l
679,932.03125,75.5,938.03125,94.5,,0,l
680,937.53125,94.5,944.53125,94.5,,0, 
681,944.65625,80.5,959.65625,94.5,,0,o
682,960.109375,80.5,975.109375,94.5,,0,n
683,974.609375,94.5,981.609375,94.5,,0, 
684,982.0625,75.5,997.0625,94.5,,0,h
685,997.15625,80.5,1011.15625,94.5,,0,e
686,1011.484375,80.5,1021.484375,94.5,,0,r
687,1017.1875,91.5,1024.1875,94.5,,0,.
688,49.71875,146.5,63.71875,164.5,,1,S
689,64.171875,145.5,79.171875,164.5,,1,h
690,79.265625,150.5,93.265625,164.5,,1,e
691,92.765625,164.5,99.765625,164.5,,1, 
692,99.734375,150.5,111.734375,164.5,,1,s
693,111.765625,147.5,120.765625,164.5,,1,t
694,120.796875,150.5,134.796875,164.5,,1,a
695,135.125,150.5,145.125,164.5,,1,r
696,145.15625,147.5,154.15625,164.5,,1,t
697,154.25,150.5,168.25,164.5,,1,e
698,168.625,145.5,183.625,164.5,,1,d
699,183.125,164.5,190.125,164.5,,1, 
700,190.15625,147.5,199.15625,164.5,,1,t
701,199.28125,150.5,214.28125,164.5,,1,o
702,213.78125,164.5,220.78125,164.5,,1, 
703,219.375,145.5,229.375,164.5,,1,f
704,229.46875,150.5,243.46875,164.5,,1,e
705,243.5625,150.5,257.5625,164.5,,1,e
706,258.015625,145.5,264.015625,164.5,,1,l
707,263.515625,164.5,270.515625,164.5,,1, 
708,270.96875,145.5,276.96875,164.5,,1,l
709,277.421875,145.5,283.421875,164.5,,1,i
710,282.765625,145.5,296.765625,164.5,,1,k
711,296.859375,150.5,310.859375,164.5,,1,e
712,310.359375,164.5,317.359375,164.5,,1, 
713,317.328125,150.5,329.328125,164.5,,1,s
714,329.78125,145.5,344.78125,164.5,,1,h
715,344.875,150.5,358.875,164.5,,1,e
716,358.375,164.5,365.375,164.5,,1, 
717,365.03125,150.5,385.03125,164.5,,1,w
718,385.0625,150.5,399.0625,164.5,,1,a
719,399.03125,150.5,411.03125,164.5,,1,s
720,410.53125,164.5,417.53125,164.5,,1, 
721,417.5,150.5,429.5,164.5,,1,s
722,429.53125,147.5,438.53125,164.5,,1,t
723,438.984375,150.5,453.984375,164.5,,1,u
724,453.984375,150.5,465.984375,164.5,,1,c
725,465.328125,145.5,479.328125,164.5,,1,k
726,478.828125,164.5,485.828125,164.5,,1, 
727,486.28125,145.5,492.28125,164.5,,1,i
728,492.734375,150.5,507.734375,164.5,,1,n
729,507.234375,164.5,514.234375,164.5,,1, 
730,514.265625,150.5,528.265625,164.5,,1,a
731,527.765625,164.5,534.765625,164.5,,1, 
732,535.09375,150.5,545.09375,164.5,,1,r
733,545.546875,150.5,560.546875,164.5,,1,u
734,560.578125,147.5,569.578125,164.5,,1,t
735,569.28125,161.5,576.28125,167.5,,1,","
736,575.78125,164.5,582.78125,164.5,,1, 
737,583.234375,145.5,589.234375,164.5,,1,l
738,589.6875,145.5,595.6875,164.5,,1,i
739,595.03125,145.5,609.03125,164.5,,1,k
740,609.125,150.5,623.125,164.5,,1,e
741,622.625,164.5,629.625,164.5,,1, 
742,629.59375,150.5,641.59375,164.5,,1,s
743,642.046875,145.5,657.046875,164.5,,1,h
744,657.140625,150.5,671.140625,164.5,,1,e
745,670.640625,164.5,677.640625,164.5,,1, 
746,677.296875,150.5,697.296875,164.5,,1,w
747,697.328125,150.5,711.328125,164.5,,1,a
748,711.296875,150.5,723.296875,164.5,,1,s
749,722.796875,164.5,729.796875,164.5,,1, 
750,730.171875,145.5,745.171875,164.5,,1,d
751,745.265625,150.5,759.265625,164.5,,1,e
752,759.234375,150.5,771.234375,164.5,,1,s
753,771.265625,147.5,780.265625,164.5,,1,t
