index,left,top,right,bottom,section,line,content
121,43.46875,50,81.171875,120.0,,0,As
122,81.171875,50,129.390625,120.0,,0,she
123,129.390625,50,194.21875,120.0,,0,grew
124,194.21875,50,264.75,120.0,,0,"older,"
125,264.75,50,309.109375,120.0,,0,the
126,309.109375,50,396.890625,120.0,,0,feeling
127,396.890625,50,427.046875,120.0,,0,of
128,427.046875,50,521.5546875,120.0,,0,coming
129,521.5546875,50,549.71875,120.0,,0,in
130,549.71875,50,640.4375,120.0,,0,second
131,640.4375,50,708.890625,120.0,,0,place
132,708.890625,50,789.546875,120.0,,0,began
133,789.546875,50,820.203125,120.0,,0,to
134,820.203125,50,877.203125,120.0,,0,take
135,877.203125,50,897.734375,120.0,,0,a
136,897.734375,50,941.34375,120.0,,0,toll
137,941.34375,50,978.5859375,120.0,,0,on
138,978.5859375,50,1030.6875,120.0,,0,her.
139,43.21875,120.0,96.5,190.0,,1,She
140,96.5,120.0,186.890625,190.0,,1,started
141,186.890625,120.0,216.828125,190.0,,1,to
142,216.828125,120.0,267.4921875,190.0,,1,feel
143,267.4921875,120.0,314.09375,190.0,,1,like
144,314.09375,120.0,361.953125,190.0,,1,she
145,361.953125,120.0,414.265625,190.0,,1,was
146,414.265625,120.0,482.8046875,190.0,,1,stuck
147,482.8046875,120.0,511.0,190.0,,1,in
148,511.0,120.0,531.6796875,190.0,,1,a
149,531.6796875,120.0,579.7578125,190.0,,1,"rut,"
150,579.7578125,120.0,626.359375,190.0,,1,like
151,626.359375,120.0,674.21875,190.0,,1,she
152,674.21875,120.0,726.734375,190.0,,1,was
153,726.734375,120.0,834.90625,190.0,,1,destined
154,834.90625,120.0,865.5625,190.0,,1,to
155,865.5625,120.0,951.125,190.0,,1,always
156,951.125,120.0,986.921875,190.0,,1,be
157,986.921875,120.0,1035.234375,190.0,,1,the
158,43.875,190.0,186.09375,260.0,,2,bridesmaid
159,186.09375,190.0,237.6640625,260.0,,2,and
160,237.6640625,190.0,310.125,260.0,,2,never
161,310.125,190.0,355.375,260.0,,2,the
162,355.375,190.0,429.875,260.0,,2,bride.
163,429.875,190.0,479.96875,260.0,,2,She
164,479.96875,190.0,560.625,260.0,,2,began
165,560.625,190.0,591.09375,260.0,,2,to
166,591.09375,190.0,688.0234375,260.0,,2,wonder
167,688.0234375,190.0,709.328125,260.0,,2,if
168,709.328125,190.0,757.1875,260.0,,2,she
169,757.1875,190.0,809.7421875,260.0,,2,was
170,809.7421875,190.0,859.1484375,260.0,,2,just
171,859.1484375,190.0,905.21875,260.0,,2,not
172,905.21875,190.0,975.78125,260.0,,2,good
173,43.59375,260.0,151.1328125,330.0,,3,"enough,"
174,151.1328125,260.0,172.4375,330.0,,3,if
175,172.4375,260.0,220.296875,330.0,,3,she
176,220.296875,260.0,299.078125,330.0,,3,would
177,299.078125,260.0,356.4375,330.0,,3,ever
178,356.4375,260.0,392.234375,330.0,,3,be
179,392.234375,260.0,448.6875,330.0,,3,able
180,448.6875,260.0,479.515625,330.0,,3,to
181,479.515625,260.0,551.796875,330.0,,3,break
182,551.796875,260.0,604.90625,330.0,,3,free
183,604.90625,260.0,669.046875,330.0,,3,from
184,669.046875,260.0,714.109375,330.0,,3,the
185,714.109375,260.0,777.96875,330.0,,3,cycle
186,777.96875,260.0,808.109375,330.0,,3,of
187,808.109375,260.0,898.828125,330.0,,3,second
188,898.828125,260.0,977.046875,330.0,,3,place.
189,43.75,400.0,94.0,470.0,,5,But
190,94.0,400.0,161.28125,470.0,,5,"then,"
191,161.28125,400.0,212.578125,470.0,,5,one
192,212.578125,400.0,266.703125,470.0,,5,"day,"
193,266.703125,400.0,348.1015625,470.0,,5,Emma
194,348.1015625,400.0,453.09375,470.0,,5,received
195,453.09375,400.0,489.109375,470.0,,5,an
196,489.109375,400.0,559.984375,470.0,,5,email
197,559.984375,400.0,614.015625,470.0,,5,that
198,614.015625,400.0,722.34375,470.0,,5,changed
199,722.34375,400.0,860.59375,470.0,,5,everything.
200,860.59375,400.0,910.7265625,470.0,,5,She
201,910.7265625,400.0,965.109375,470.0,,5,had
202,43.59375,470.0,145.234375,540.0,,6,entered
203,145.234375,470.0,165.578125,540.0,,6,a
204,165.578125,470.0,255.0,540.0,,6,writing
205,255.0,470.0,347.5,540.0,,6,contest
206,347.5,470.0,388.765625,540.0,,6,for
207,388.765625,470.0,409.5078125,540.0,,6,a
208,409.5078125,470.0,479.09375,540.0,,6,novel
209,479.09375,470.0,527.3515625,540.0,,6,she
210,527.3515625,470.0,578.671875,540.0,,6,had
211,578.671875,470.0,643.828125,540.0,,6,been
212,643.828125,470.0,746.296875,540.0,,6,working
213,746.296875,470.0,782.609375,540.0,,6,on
214,782.609375,470.0,823.734375,540.0,,6,for
215,823.734375,470.0,900.25,540.0,,6,"years,"
216,900.25,470.0,951.609375,540.0,,6,and
217,951.609375,470.0,982.4765625,540.0,,6,to
218,982.4765625,470.0,1031.875,540.0,,6,her
219,43.46875,540.0,155.90625,610.0,,7,"surprise,"
220,155.90625,540.0,204.1640625,610.0,,7,she
221,204.1640625,540.0,255.125,610.0,,7,had
222,255.125,540.0,311.328125,610.0,,7,won
223,311.328125,540.0,365.09375,610.0,,7,first
224,365.09375,540.0,439.921875,610.0,,7,place.
225,439.921875,540.0,489.65625,610.0,,7,She
226,489.65625,540.0,542.046875,610.0,,7,was
227,542.046875,540.0,600.25,610.0,,7,over
228,600.25,540.0,645.5,610.0,,7,the
