index,left,top,right,bottom,section,line,content
0,43.75,50,115.203125,120.0,question,0,What
1,115.203125,50,178.03125,120.0,question,0,does
2,178.03125,50,259.4921875,120.0,question,0,Emma
3,259.4921875,50,383.078125,120.0,question,0,ultimately
4,383.078125,50,438.2421875,120.0,question,0,give
5,438.2421875,50,475.53125,120.0,question,0,up
6,475.53125,50,509.453125,120.0,question,0,by
7,509.453125,50,602.515625,120.0,question,0,signing
8,602.515625,50,647.578125,120.0,question,0,the
9,647.578125,50,764.671875,120.0,question,0,contract?
10,93.03125,190.0,146.3671875,260.0,option:0,0,Her
11,146.3671875,190.0,304.21875,260.0,option:0,0,relationships
12,304.21875,190.0,360.78125,260.0,option:0,0,with
13,360.78125,190.0,453.5,260.0,option:0,0,friends
14,93.03125,260.0,146.03125,330.0,option:1,0,Her
15,146.03125,260.0,246.828125,330.0,option:1,0,wooden
16,246.828125,260.0,349.484375,330.0,option:1,0,figurine
17,93.03125,330.0,146.203125,400.0,option:2,0,Her
18,146.203125,330.0,235.75,400.0,option:2,0,chance
19,235.75,330.0,265.125,400.0,option:2,0,at
20,265.125,330.0,365.390625,400.0,option:2,0,winning
21,365.390625,330.0,445.046875,400.0,option:2,0,future
22,445.046875,330.0,553.46875,400.0,option:2,0,contests
23,93.03125,400.0,146.265625,470.0,option:3,0,Her
24,146.265625,400.0,270.625,470.0,option:3,0,originality
25,270.625,400.0,322.1953125,470.0,option:3,0,and
26,322.1953125,400.0,474.15625,470.0,option:3,0,individuality
