index,left,top,right,bottom,section,line,content
626,49.96875,80.5,61.96875,94.5,,0,s
627,62.09375,80.5,77.09375,94.5,,0,o
628,77.46875,80.5,100.46875,94.5,,0,m
629,100.5625,80.5,114.5625,94.5,,0,e
630,114.6875,80.5,129.6875,94.5,,0,o
631,130.140625,80.5,145.140625,94.5,,0,n
632,145.234375,80.5,159.234375,94.5,,0,e
633,158.734375,94.5,165.734375,94.5,,0, 
634,166.109375,80.5,189.109375,94.5,,0,m
635,189.234375,80.5,204.234375,94.5,,0,o
636,204.5625,80.5,214.5625,94.5,,0,r
637,214.15625,80.5,228.15625,94.5,,0,e
638,227.65625,94.5,234.65625,94.5,,0, 
639,234.625,80.5,246.625,94.5,,0,s
640,247.078125,80.5,262.078125,94.5,,0,u
641,262.078125,80.5,274.078125,94.5,,0,c
642,274.078125,80.5,286.078125,94.5,,0,c
643,286.171875,80.5,300.171875,94.5,,0,e
644,300.140625,80.5,312.140625,94.5,,0,s
645,312.109375,80.5,324.109375,94.5,,0,s
646,322.703125,75.5,332.703125,94.5,,0,f
647,333.15625,80.5,348.15625,94.5,,0,u
648,348.609375,75.5,354.609375,94.5,,0,l
649,354.3125,91.5,361.3125,97.5,,0,","
650,360.8125,94.5,367.8125,94.5,,0, 
651,368.1875,80.5,391.1875,94.5,,0,m
652,391.3125,80.5,406.3125,94.5,,0,o
653,406.640625,80.5,416.640625,94.5,,0,r
654,416.234375,80.5,430.234375,94.5,,0,e
655,429.734375,94.5,436.734375,94.5,,0, 
656,436.734375,80.5,448.734375,94.5,,0,c
657,449.1875,75.5,464.1875,94.5,,0,h
658,464.21875,80.5,478.21875,94.5,,0,a
659,478.546875,80.5,488.546875,94.5,,0,r
660,488.921875,80.5,511.921875,94.5,,0,m
661,512.375,75.5,518.375,94.5,,0,i
662,518.828125,80.5,533.828125,94.5,,0,n
663,534.203125,80.5,549.203125,100.5,,0,g
664,548.90625,91.5,555.90625,97.5,,0,","
665,555.40625,94.5,562.40625,94.5,,0, 
666,562.53125,80.5,577.53125,94.5,,0,o
667,577.859375,80.5,587.859375,94.5,,0,r
668,587.359375,94.5,594.359375,94.5,,0, 
669,594.734375,80.5,617.734375,94.5,,0,m
670,617.859375,80.5,632.859375,94.5,,0,o
671,633.1875,80.5,643.1875,94.5,,0,r
672,642.78125,80.5,656.78125,94.5,,0,e
673,656.28125,94.5,663.28125,94.5,,0, 
674,663.40625,80.5,678.40625,94.5,,0,o
675,678.859375,80.5,693.859375,94.5,,0,u
676,693.890625,77.5,702.890625,94.5,,0,t
677,703.265625,80.5,718.265625,100.5,,0,g
678,718.390625,80.5,733.390625,94.5,,0,o
679,733.84375,75.5,739.84375,94.5,,0,i
680,740.296875,80.5,755.296875,94.5,,0,n
681,755.671875,80.5,770.671875,100.5,,0,g
682,770.375,91.5,777.375,94.5,,0,.
683,776.875,94.5,783.875,94.5,,0, 
684,783.78125,76.5,797.78125,94.5,,0,E
685,797.484375,80.5,810.484375,94.5,,0,v
686,810.578125,80.5,824.578125,94.5,,0,e
687,825.03125,80.5,840.03125,94.5,,0,n
688,839.53125,94.5,846.53125,94.5,,0, 
689,846.984375,75.5,861.984375,94.5,,0,h
690,862.078125,80.5,876.078125,94.5,,0,e
691,876.40625,80.5,886.40625,94.5,,0,r
692,885.90625,94.5,892.90625,94.5,,0, 
693,893.359375,75.5,908.359375,94.5,,0,h
694,908.484375,80.5,923.484375,94.5,,0,o
695,923.859375,75.5,938.859375,94.5,,0,b
696,939.234375,75.5,954.234375,94.5,,0,b
697,954.6875,75.5,960.6875,94.5,,0,i
698,960.78125,80.5,974.78125,94.5,,0,e
699,974.75,80.5,986.75,94.5,,0,s
700,986.453125,91.5,993.453125,97.5,,0,","
701,992.953125,94.5,999.953125,94.5,,0, 
702,1000.40625,75.5,1006.40625,94.5,,0,l
703,1006.859375,75.5,1012.859375,94.5,,0,i
704,1012.203125,75.5,1026.203125,94.5,,0,k
705,1026.296875,80.5,1040.296875,94.5,,0,e
706,50.375,150.5,65.375,170.5,,1,p
707,65.40625,150.5,79.40625,164.5,,1,a
708,79.859375,145.5,85.859375,164.5,,1,i
709,86.3125,150.5,101.3125,164.5,,1,n
710,101.34375,147.5,110.34375,164.5,,1,t
711,110.796875,145.5,116.796875,164.5,,1,i
712,117.25,150.5,132.25,164.5,,1,n
713,132.625,150.5,147.625,170.5,,1,g
714,147.125,164.5,154.125,164.5,,1, 
715,154.15625,150.5,168.15625,164.5,,1,a
716,168.609375,150.5,183.609375,164.5,,1,n
