index,left,top,right,bottom,section,line,content
269,43.703125,50,258.5390625,120.0,,0,"""Congratulations,"
270,258.5390625,50,407.390625,120.0,,0,"Runner-up,"""
271,407.390625,50,452.6171875,120.0,,0,the
272,452.6171875,50,598.0234375,120.0,,0,receptionist
273,598.0234375,50,717.2109375,120.0,,0,"repeated,"
274,717.2109375,50,763.2109375,120.0,,0,her
275,763.2109375,50,830.421875,120.0,,0,voice
276,830.421875,50,915.421875,120.0,,0,devoid
277,915.421875,50,948.828125,120.0,,0,of
278,43.953125,120.0,169.1640625,190.0,,1,inflection.
279,169.1640625,120.0,229.78125,190.0,,1,"""The"
280,229.78125,120.0,320.09375,190.0,,1,Pursuit
281,320.09375,120.0,350.203125,190.0,,1,of
282,350.203125,120.0,478.1796875,190.0,,1,Excellence
283,478.1796875,120.0,610.53125,190.0,,1,recognizes
284,610.53125,120.0,671.0,190.0,,1,your
285,671.0,120.0,807.59375,190.0,,1,"dedication,"
286,807.59375,120.0,978.1875,190.0,,1,"perseverance,"
287,978.1875,120.0,1032.78125,190.0,,1,and
288,43.953125,190.0,192.25,260.0,,2,unwavering
289,192.25,190.0,350.078125,260.0,,2,commitment
290,350.078125,190.0,380.90625,260.0,,2,to
291,380.90625,190.0,518.140625,260.0,,2,mediocrity.
292,518.140625,190.0,548.375,260.0,,2,In
293,548.375,190.0,666.84375,260.0,,2,exchange
294,666.84375,190.0,708.109375,260.0,,2,for
295,708.109375,190.0,757.6640625,260.0,,2,this
296,757.6640625,190.0,904.96875,260.0,,2,"recognition,"
297,904.96875,190.0,954.9375,260.0,,2,you
298,954.9375,190.0,1032.09375,260.0,,2,agree
299,43.53125,260.0,77.5703125,330.0,,3,to
300,77.5703125,260.0,200.90625,330.0,,3,relinquish
301,200.90625,260.0,234.328125,330.0,,3,all
302,234.328125,260.0,315.125,330.0,,3,claims
303,315.125,260.0,345.828125,330.0,,3,to
304,345.828125,260.0,475.875,330.0,,3,"originality,"
305,475.875,260.0,594.46875,330.0,,3,"creativity,"
306,594.46875,260.0,646.0390625,330.0,,3,and
307,646.0390625,260.0,800.03125,330.0,,3,individuality.
308,800.03125,260.0,850.265625,330.0,,3,You
309,850.265625,260.0,902.8828125,330.0,,3,"will,"
310,902.8828125,260.0,1048.734375,330.0,,3,"henceforth,"
311,43.625,330.0,144.8125,400.0,,4,operate
312,144.8125,330.0,218.0,400.0,,4,solely
313,218.0,330.0,297.359375,400.0,,4,within
314,297.359375,330.0,480.828125,400.0,,4,predetermined
315,480.828125,330.0,630.046875,400.0,,4,"parameters,"
316,630.046875,330.0,741.078125,400.0,,4,ensuring
317,741.078125,330.0,883.890625,400.0,,4,consistency
318,883.890625,330.0,938.484375,400.0,,4,and
319,43.875,400.0,206.1796875,470.0,,5,predictability
320,206.1796875,400.0,234.375,470.0,,5,in
321,234.375,400.0,267.8125,470.0,,5,all
322,267.8125,400.0,362.828125,470.0,,5,aspects
323,362.828125,400.0,392.859375,470.0,,5,of
324,392.859375,400.0,453.3671875,470.0,,5,your
325,453.3671875,400.0,515.390625,470.0,,5,"life."""
326,43.40625,540.0,144.71875,610.0,,7,Emma's
327,144.71875,540.0,211.8515625,610.0,,7,mind
328,211.8515625,540.0,292.140625,610.0,,7,reeled
329,292.140625,540.0,324.609375,610.0,,7,as
330,324.609375,540.0,372.8046875,610.0,,7,she
331,372.8046875,540.0,432.484375,610.0,,7,read
332,432.484375,540.0,477.546875,610.0,,7,the
333,477.546875,540.0,587.4765625,610.0,,7,"contract,"
334,587.4765625,540.0,633.671875,610.0,,7,her
335,633.671875,540.0,692.515625,610.0,,7,eyes
336,692.515625,540.0,804.515625,610.0,,7,scanning
337,804.515625,540.0,845.9921875,610.0,,7,for
338,845.9921875,540.0,967.5,610.0,,7,loopholes
339,967.5,540.0,1002.640625,610.0,,7,or
340,43.953125,610.0,135.453125,680.0,,8,hidden
341,135.453125,610.0,234.578125,680.0,,8,clauses.
342,234.578125,610.0,308.328125,680.0,,8,There
343,308.328125,610.0,372.8984375,680.0,,8,were
344,372.8984375,610.0,445.953125,680.0,,8,none.
345,445.953125,610.0,496.1171875,680.0,,8,The
346,496.1171875,610.0,658.75,680.0,,8,receptionist's
347,658.75,610.0,792.4453125,680.0,,8,expression
348,792.4453125,610.0,911.7109375,680.0,,8,remained
349,911.7109375,610.0,1044.359375,680.0,,8,"impassive,"
350,43.953125,680.0,186.515625,750.0,,9,unyielding.
