index,left,top,right,bottom,section,line,content
611,50.375,80.5,65.375,100.5,,0,p
612,65.40625,80.5,79.40625,94.5,,0,a
613,79.375,80.5,91.375,94.5,,0,s
614,91.34375,80.5,103.34375,94.5,,0,s
615,103.4375,80.5,117.4375,94.5,,0,e
616,117.8125,75.5,132.8125,94.5,,0,d
617,132.3125,94.5,139.3125,94.5,,0, 
618,139.4375,80.5,154.4375,94.5,,0,o
619,153.640625,80.5,166.640625,94.5,,0,v
620,166.734375,80.5,180.734375,94.5,,0,e
621,181.0625,80.5,191.0625,94.5,,0,r
622,190.5625,94.5,197.5625,94.5,,0, 
623,196.15625,75.5,206.15625,94.5,,0,f
624,206.28125,80.5,221.28125,94.5,,0,o
625,221.609375,80.5,231.609375,94.5,,0,r
626,231.109375,94.5,238.109375,94.5,,0, 
627,238.484375,80.5,253.484375,100.5,,0,p
628,253.8125,80.5,263.8125,94.5,,0,r
629,263.4375,80.5,278.4375,94.5,,0,o
630,278.8125,80.5,301.8125,94.5,,0,m
631,301.9375,80.5,316.9375,94.5,,0,o
632,316.96875,77.5,325.96875,94.5,,0,t
633,326.421875,75.5,332.421875,94.5,,0,i
634,332.546875,80.5,347.546875,94.5,,0,o
635,348.0,80.5,363.0,94.5,,0,n
636,362.5,94.5,369.5,94.5,,0, 
637,369.53125,80.5,383.53125,94.5,,0,a
638,382.125,75.5,392.125,94.5,,0,f
639,392.15625,77.5,401.15625,94.5,,0,t
640,401.25,80.5,415.25,94.5,,0,e
641,415.578125,80.5,425.578125,94.5,,0,r
642,425.078125,94.5,432.078125,94.5,,0, 
643,432.453125,80.5,447.453125,100.5,,0,p
644,447.78125,80.5,457.78125,94.5,,0,r
645,457.40625,80.5,472.40625,94.5,,0,o
646,472.78125,80.5,495.78125,94.5,,0,m
647,495.90625,80.5,510.90625,94.5,,0,o
648,510.9375,77.5,519.9375,94.5,,0,t
649,520.390625,75.5,526.390625,94.5,,0,i
650,526.515625,80.5,541.515625,94.5,,0,o
651,541.96875,80.5,556.96875,94.5,,0,n
652,556.671875,91.5,563.671875,94.5,,0,.
653,563.171875,94.5,570.171875,94.5,,0, 
654,570.640625,76.5,578.640625,94.5,,0,I
655,578.671875,77.5,587.671875,94.5,,0,t
656,587.171875,94.5,594.171875,94.5,,0, 
657,593.828125,80.5,613.828125,94.5,,0,w
658,613.859375,80.5,627.859375,94.5,,0,a
659,627.828125,80.5,639.828125,94.5,,0,s
660,639.328125,94.5,646.328125,94.5,,0, 
661,646.359375,80.5,660.359375,94.5,,0,a
662,660.328125,80.5,672.328125,94.5,,0,s
663,671.828125,94.5,678.828125,94.5,,0, 
664,679.28125,75.5,685.28125,94.5,,0,i
665,683.875,75.5,693.875,94.5,,0,f
666,693.375,94.5,700.375,94.5,,0, 
667,700.40625,77.5,709.40625,94.5,,0,t
668,709.859375,75.5,724.859375,94.5,,0,h
669,724.953125,80.5,738.953125,94.5,,0,e
670,738.453125,94.5,745.453125,94.5,,0, 
671,745.90625,80.5,760.90625,94.5,,0,u
