index,left,top,right,bottom,section,line,content
111,43.875,50,136.125,120.0,,0,passed
112,136.125,50,193.609375,120.0,,0,over
113,193.609375,50,235.046875,120.0,,0,for
114,235.046875,50,366.265625,120.0,,0,promotion
115,366.265625,50,429.015625,120.0,,0,after
116,429.015625,50,567.15625,120.0,,0,promotion.
117,567.15625,50,590.75,120.0,,0,It
118,590.75,50,643.09375,120.0,,0,was
119,643.09375,50,675.8046875,120.0,,0,as
120,675.8046875,50,697.140625,120.0,,0,if
121,697.140625,50,742.4296875,120.0,,0,the
122,742.4296875,50,849.078125,120.0,,0,universe
123,849.078125,50,901.40625,120.0,,0,was
124,901.40625,50,1035.140625,120.0,,0,conspiring
125,43.53125,120.0,139.8203125,190.0,,1,against
126,139.8203125,120.0,185.984375,190.0,,1,her
127,185.984375,120.0,216.296875,190.0,,1,to
128,216.296875,120.0,280.2578125,190.0,,1,keep
129,280.2578125,120.0,326.6328125,190.0,,1,her
130,326.6328125,120.0,354.796875,190.0,,1,in
131,354.796875,120.0,445.515625,190.0,,1,second
132,445.515625,120.0,523.734375,190.0,,1,place.
133,43.75,260.0,94.046875,330.0,,3,But
134,94.046875,260.0,145.34375,330.0,,3,one
135,145.34375,260.0,199.46875,330.0,,3,"day,"
136,199.46875,260.0,269.1171875,330.0,,3,Emily
137,269.1171875,260.0,374.109375,330.0,,3,received
138,374.109375,260.0,410.125,330.0,,3,an
139,410.125,260.0,481.0,330.0,,3,email
140,481.0,260.0,535.03125,330.0,,3,that
141,535.03125,260.0,643.359375,330.0,,3,changed
142,643.359375,260.0,781.609375,330.0,,3,everything.
143,781.609375,260.0,831.7421875,330.0,,3,She
144,831.7421875,260.0,882.921875,330.0,,3,had
145,882.921875,260.0,981.359375,330.0,,3,entered
146,981.359375,260.0,1005.125,330.0,,3,a
147,43.875,330.0,184.203125,400.0,,4,prestigious
148,184.203125,330.0,273.625,400.0,,4,writing
149,273.625,330.0,428.359375,400.0,,4,"competition,"
150,428.359375,330.0,479.71875,400.0,,4,and
151,479.71875,330.0,510.5859375,400.0,,4,to
152,510.5859375,330.0,556.71875,400.0,,4,her
153,556.71875,330.0,665.890625,400.0,,4,"surprise,"
154,665.890625,330.0,714.1484375,400.0,,4,she
155,714.1484375,330.0,765.109375,400.0,,4,had
156,765.109375,330.0,821.3125,400.0,,4,won
157,821.3125,330.0,875.078125,400.0,,4,first
158,875.078125,330.0,949.90625,400.0,,4,place.
159,949.90625,330.0,999.640625,400.0,,4,She
160,999.640625,330.0,1055.21875,400.0,,4,was
161,43.625,400.0,105.015625,470.0,,5,over
162,105.015625,400.0,150.265625,470.0,,5,the
163,150.265625,400.0,225.484375,470.0,,5,moon
164,225.484375,400.0,282.796875,470.0,,5,with
165,282.796875,400.0,425.8125,470.0,,5,"excitement,"
166,425.8125,400.0,476.453125,470.0,,5,and
167,476.453125,400.0,517.71875,470.0,,5,for
168,517.71875,400.0,562.078125,470.0,,5,the
169,562.078125,400.0,615.671875,470.0,,5,first
170,615.671875,400.0,675.3359375,470.0,,5,time
171,675.3359375,400.0,703.7421875,470.0,,5,in
172,703.7421875,400.0,750.1171875,470.0,,5,her
173,750.1171875,400.0,798.671875,470.0,,5,"life,"
174,798.671875,400.0,846.0,470.0,,5,she
175,846.0,400.0,891.6015625,470.0,,5,felt
176,891.6015625,400.0,938.203125,470.0,,5,like
177,938.203125,400.0,986.0625,470.0,,5,she
178,986.0625,400.0,1041.640625,470.0,,5,was
179,43.625,470.0,83.84375,540.0,,6,on
180,83.84375,470.0,129.921875,540.0,,6,top
181,129.921875,470.0,160.09375,540.0,,6,of
182,160.09375,470.0,204.984375,540.0,,6,the
183,204.984375,470.0,288.546875,540.0,,6,world.
184,43.46875,610.0,81.171875,680.0,,8,As
185,81.171875,610.0,129.21875,680.0,,8,she
186,129.21875,610.0,241.71875,680.0,,8,accepted
187,241.71875,610.0,286.796875,680.0,,8,the
188,286.796875,610.0,366.21875,680.0,,8,award
189,366.21875,610.0,417.75,680.0,,8,and
190,417.75,610.0,480.4921875,680.0,,8,gave
191,480.4921875,610.0,526.65625,680.0,,8,her
192,526.65625,610.0,665.234375,680.0,,8,acceptance
193,665.234375,610.0,761.390625,680.0,,8,"speech,"
194,761.390625,610.0,830.875,680.0,,8,Emily
195,830.875,610.0,931.8671875,680.0,,8,couldn't
196,931.8671875,610.0,989.703125,680.0,,8,help
197,989.703125,610.0,1039.125,680.0,,8,but
198,42.09375,680.0,96.5,750.0,,9,feel
199,96.5,680.0,117.0,750.0,,9,a
200,117.0,680.0,191.15625,750.0,,9,sense
201,191.15625,680.0,221.1640625,750.0,,9,of
202,221.1640625,680.0,363.03125,750.0,,9,vindication.
203,363.03125,680.0,398.4375,750.0,,9,All
204,398.4375,680.0,470.46875,750.0,,9,those
205,470.46875,680.0,540.328125,750.0,,9,years
206,540.328125,680.0,570.484375,750.0,,9,of
207,570.484375,680.0,664.9921875,750.0,,9,coming
208,664.9921875,680.0,693.15625,750.0,,9,in
209,693.15625,680.0,783.9140625,750.0,,9,second
210,783.9140625,680.0,834.34375,750.0,,9,had
211,834.34375,680.0,911.921875,750.0,,9,finally
212,911.921875,680.0,969.53125,750.0,,9,paid
213,969.53125,680.0,1017.75,750.0,,9,off.
214,43.75,750.0,94.0,820.0,,10,But
215,94.0,750.0,126.46875,820.0,,10,as
216,126.46875,750.0,174.7265625,820.0,,10,she
217,174.7265625,750.0,260.578125,820.0,,10,looked
218,260.578125,750.0,306.640625,820.0,,10,out
219,306.640625,750.0,336.203125,820.0,,10,at
220,336.203125,750.0,381.265625,820.0,,10,the
221,381.265625,750.0,465.9375,820.0,,10,"crowd,"
222,465.9375,750.0,514.1953125,820.0,,10,she
223,514.1953125,750.0,607.984375,820.0,,10,noticed
224,607.984375,750.0,740.8125,820.0,,10,something
225,740.8125,750.0,843.765625,820.0,,10,strange.
226,843.765625,750.0,958.59375,820.0,,10,Everyone
227,958.59375,750.0,1014.171875,820.0,,10,was
