index,left,top,right,bottom,section,line,content
101,43.40625,50,134.2578125,120.0,,0,Emily's
102,134.2578125,50,203.65625,120.0,,0,heart
103,203.65625,50,284.3125,120.0,,0,began
104,284.3125,50,315.140625,120.0,,0,to
105,315.140625,50,398.4609375,120.0,,0,pound
106,398.4609375,50,426.8671875,120.0,,0,in
107,426.8671875,50,473.015625,120.0,,0,her
108,473.015625,50,542.078125,120.0,,0,chest
109,542.078125,50,574.546875,120.0,,0,as
110,574.546875,50,622.8046875,120.0,,0,she
111,622.8046875,50,722.015625,120.0,,0,listened
112,722.015625,50,752.671875,120.0,,0,to
113,752.671875,50,797.921875,120.0,,0,the
114,797.921875,50,909.203125,120.0,,0,message
115,909.203125,50,967.40625,120.0,,0,over
116,967.40625,50,1022.0,120.0,,0,and
117,43.625,120.0,107.71875,190.0,,1,"over,"
118,107.71875,120.0,183.609375,190.0,,1,trying
119,183.609375,120.0,214.4375,190.0,,1,to
120,214.4375,120.0,285.578125,190.0,,1,make
121,285.578125,120.0,359.734375,190.0,,1,sense
122,359.734375,120.0,390.1171875,190.0,,1,of
123,390.1171875,120.0,418.703125,190.0,,1,it.
124,418.703125,120.0,478.734375,190.0,,1,Who
125,478.734375,120.0,531.078125,190.0,,1,was
126,531.078125,120.0,580.65625,190.0,,1,this
127,580.65625,120.0,680.28125,190.0,,1,person?
128,680.28125,120.0,748.609375,190.0,,1,What
129,748.609375,120.0,792.140625,190.0,,1,did
130,792.140625,120.0,849.640625,190.0,,1,they
131,849.640625,120.0,933.734375,190.0,,1,mean?
132,933.734375,120.0,986.875,190.0,,1,And
133,986.875,120.0,1047.03125,190.0,,1,who
134,43.15625,190.0,98.90625,260.0,,2,was
135,98.90625,190.0,192.484375,260.0,,2,coming
136,192.484375,190.0,233.9609375,260.0,,2,for
137,233.9609375,190.0,294.203125,260.0,,2,her?
138,43.21875,330.0,96.53125,400.0,,4,She
139,96.53125,330.0,158.3125,400.0,,4,tried
140,158.3125,330.0,188.9375,400.0,,4,to
141,188.9375,330.0,264.40625,400.0,,4,shake
142,264.40625,330.0,303.1875,400.0,,4,off
143,303.1875,330.0,347.546875,400.0,,4,the
144,347.546875,330.0,435.328125,400.0,,4,feeling
145,435.328125,330.0,465.7109375,400.0,,4,of
146,465.7109375,330.0,563.796875,400.0,,4,"unease,"
147,563.796875,330.0,643.8203125,400.0,,4,telling
148,643.8203125,330.0,731.3046875,400.0,,4,herself
149,731.3046875,330.0,752.890625,400.0,,4,it
150,752.890625,330.0,805.4453125,400.0,,4,was
151,805.4453125,330.0,854.640625,400.0,,4,just
152,854.640625,330.0,875.34375,400.0,,4,a
153,875.34375,330.0,949.75,400.0,,4,prank
154,949.75,330.0,981.65625,400.0,,4,or
155,981.65625,330.0,1005.421875,400.0,,4,a
156,43.15625,400.0,128.9140625,470.0,,5,wrong
157,128.9140625,400.0,232.09375,470.0,,5,number.
158,232.09375,400.0,279.21875,470.0,,5,But
159,279.21875,400.0,324.109375,470.0,,5,the
160,324.109375,400.0,402.40625,470.0,,5,words
161,402.40625,400.0,461.125,470.0,,5,kept
162,461.125,400.0,561.7578125,470.0,,5,echoing
163,561.7578125,400.0,590.1640625,470.0,,5,in
164,590.1640625,400.0,636.5,470.0,,5,her
165,636.5,400.0,710.2734375,470.0,,5,"mind,"
166,710.2734375,400.0,812.875,470.0,,5,"""They're"
167,812.875,400.0,906.453125,470.0,,5,coming
168,906.453125,400.0,947.578125,470.0,,5,for
169,947.578125,400.0,1004.3359375,470.0,,5,you.
170,1004.3359375,400.0,1055.3125,470.0,,5,Get
171,43.625,470.0,92.6875,540.0,,6,out
172,92.6875,470.0,161.34375,540.0,,6,while
173,161.34375,470.0,211.28125,540.0,,6,you
174,211.28125,470.0,258.15625,540.0,,6,still
175,258.15625,470.0,326.296875,540.0,,6,"can."""
176,43.46875,610.0,81.203125,680.0,,8,As
177,81.203125,610.0,126.453125,680.0,,8,the
178,126.453125,610.0,186.71875,680.0,,8,days
179,186.71875,610.0,251.8125,680.0,,8,went
180,251.8125,610.0,291.40625,680.0,,8,"by,"
181,291.40625,610.0,360.1875,680.0,,8,Emily
182,360.1875,610.0,437.6171875,680.0,,8,found
183,437.6171875,610.0,524.9375,680.0,,8,herself
184,524.9375,610.0,562.0,680.0,,8,on
185,562.0,610.0,633.953125,680.0,,8,edge.
186,633.953125,610.0,683.859375,680.0,,8,She
187,683.859375,610.0,784.609375,680.0,,8,couldn't
188,784.609375,610.0,860.03125,680.0,,8,shake
189,860.03125,610.0,904.390625,680.0,,8,the
190,904.390625,610.0,992.125,680.0,,8,feeling
191,992.125,610.0,1049.40625,680.0,,8,that
192,43.46875,680.0,162.3125,750.0,,9,someone
193,162.3125,680.0,214.46875,750.0,,9,was
194,214.46875,680.0,328.8203125,750.0,,9,watching
195,328.8203125,680.0,377.5,750.0,,9,"her,"
196,377.5,680.0,469.921875,750.0,,9,waiting
197,469.921875,680.0,511.3984375,750.0,,9,for
198,511.3984375,680.0,557.5625,750.0,,9,her
199,557.5625,680.0,588.390625,750.0,,9,to
200,588.390625,680.0,659.5625,750.0,,9,make
201,659.5625,680.0,679.90625,750.0,,9,a
202,679.90625,680.0,762.203125,750.0,,9,wrong
203,762.203125,680.0,839.875,750.0,,9,move.
204,839.875,680.0,889.765625,750.0,,9,She
205,889.765625,680.0,980.15625,750.0,,9,started
206,980.15625,680.0,1014.046875,750.0,,9,to
207,43.203125,750.0,103.2890625,820.0,,10,vary
208,103.2890625,750.0,149.6015625,820.0,,10,her
209,149.6015625,750.0,248.09375,820.0,,10,"routine,"
210,248.09375,750.0,328.453125,820.0,,10,taking
211,328.453125,750.0,436.4609375,820.0,,10,different
212,436.4609375,750.0,518.3125,820.0,,10,routes
213,518.3125,750.0,548.78125,820.0,,10,to
214,548.78125,750.0,613.921875,820.0,,10,work
215,613.921875,750.0,665.265625,820.0,,10,and
216,665.265625,750.0,781.5859375,820.0,,10,changing
217,781.5859375,750.0,827.921875,820.0,,10,her
218,827.921875,750.0,889.5234375,820.0,,10,daily
219,889.5234375,750.0,974.9375,820.0,,10,habits.
220,974.9375,750.0,1025.296875,820.0,,10,But
