index,left,top,right,bottom,section,line,content
0,49.53125,76.5,68.53125,94.5,question,0,H
1,68.65625,80.5,83.65625,94.5,question,0,o
2,82.8125,80.5,102.8125,94.5,question,0,w
3,102.3125,94.5,109.3125,94.5,question,0, 
4,109.6875,75.5,124.6875,94.5,question,0,d
5,125.140625,75.5,131.140625,94.5,question,0,i
6,129.734375,75.5,139.734375,94.5,question,0,f
7,138.34375,75.5,148.34375,94.5,question,0,f
8,148.796875,75.5,154.796875,94.5,question,0,i
9,154.796875,80.5,166.796875,94.5,question,0,c
10,167.25,80.5,182.25,94.5,question,0,u
11,182.703125,75.5,188.703125,94.5,question,0,l
12,188.734375,77.5,197.734375,94.5,question,0,t
13,197.234375,94.5,204.234375,94.5,question,0, 
14,203.890625,80.5,223.890625,94.5,question,0,w
15,223.921875,80.5,237.921875,94.5,question,0,a
16,237.890625,80.5,249.890625,94.5,question,0,s
17,249.390625,94.5,256.390625,94.5,question,0, 
18,256.421875,77.5,265.421875,94.5,question,0,t
19,265.875,75.5,280.875,94.5,question,0,h
20,281.328125,75.5,287.328125,94.5,question,0,i
21,287.296875,80.5,299.296875,94.5,question,0,s
22,298.796875,94.5,305.796875,94.5,question,0, 
23,305.828125,77.5,314.828125,94.5,question,0,t
24,314.921875,80.5,328.921875,94.5,question,0,e
25,328.640625,80.5,341.640625,94.5,question,0,x
26,341.671875,77.5,350.671875,94.5,question,0,t
27,350.171875,94.5,357.171875,94.5,question,0, 
28,355.765625,75.5,365.765625,94.5,question,0,f
29,365.890625,80.5,380.890625,94.5,question,0,o
30,381.21875,80.5,391.21875,94.5,question,0,r
31,390.71875,94.5,397.71875,94.5,question,0, 
32,397.46875,80.5,410.46875,100.5,question,0,y
33,410.59375,80.5,425.59375,94.5,question,0,o
34,426.046875,80.5,441.046875,94.5,question,0,u
35,440.546875,94.5,447.546875,94.5,question,0, 
36,447.578125,77.5,456.578125,94.5,question,0,t
37,456.703125,80.5,471.703125,94.5,question,0,o
38,471.203125,94.5,478.203125,94.5,question,0, 
39,478.53125,80.5,488.53125,94.5,question,0,r
40,488.125,80.5,502.125,94.5,question,0,e
41,502.15625,80.5,516.15625,94.5,question,0,a
42,516.53125,75.5,531.53125,94.5,question,0,d
43,531.03125,94.5,538.03125,94.5,question,0, 
44,538.0625,80.5,552.0625,94.5,question,0,a
45,552.515625,80.5,567.515625,94.5,question,0,n
46,567.890625,75.5,582.890625,94.5,question,0,d
47,582.390625,94.5,589.390625,94.5,question,0, 
48,589.84375,80.5,604.84375,94.5,question,0,u
49,605.296875,80.5,620.296875,94.5,question,0,n
50,620.671875,75.5,635.671875,94.5,question,0,d
51,635.765625,80.5,649.765625,94.5,question,0,e
52,650.09375,80.5,660.09375,94.5,question,0,r
53,660.0625,80.5,672.0625,94.5,question,0,s
54,672.09375,77.5,681.09375,94.5,question,0,t
55,681.125,80.5,695.125,94.5,question,0,a
56,695.578125,80.5,710.578125,94.5,question,0,n
57,710.953125,75.5,725.953125,94.5,question,0,d
58,725.796875,76.5,736.796875,94.5,question,0,?
59,100.296875,216.5,114.296875,234.5,option:0,0,4
60,113.796875,234.5,120.796875,234.5,option:0,0, 
61,120.296875,226.5,133.296875,234.5,option:0,0,–
62,132.796875,234.5,139.796875,234.5,option:0,0, 
63,139.5,220.5,152.5,234.5,option:0,0,v
64,152.59375,220.5,166.59375,234.5,option:0,0,e
65,166.921875,220.5,176.921875,234.5,option:0,0,r
66,176.671875,220.5,189.671875,240.5,option:0,0,y
67,189.171875,234.5,196.171875,234.5,option:0,0, 
68,196.546875,215.5,211.546875,234.5,option:0,0,d
69,212.0,215.5,218.0,234.5,option:0,0,i
70,216.59375,215.5,226.59375,234.5,option:0,0,f
71,225.203125,215.5,235.203125,234.5,option:0,0,f
72,235.65625,215.5,241.65625,234.5,option:0,0,i
73,241.65625,220.5,253.65625,234.5,option:0,0,c
74,254.109375,220.5,269.109375,234.5,option:0,0,u
75,269.5625,215.5,275.5625,234.5,option:0,0,l
76,275.59375,217.5,284.59375,234.5,option:0,0,t
77,100.296875,286.5,114.296875,304.5,option:1,0,3
78,113.796875,304.5,120.796875,304.5,option:1,0, 
79,120.296875,296.5,133.296875,304.5,option:1,0,–
80,132.796875,304.5,139.796875,304.5,option:1,0, 
81,140.125,290.5,150.125,304.5,option:1,0,r
82,149.65625,290.5,163.65625,304.5,option:1,0,a
83,163.6875,287.5,172.6875,304.5,option:1,0,t
84,173.140625,285.5,188.140625,304.5,option:1,0,h
85,188.234375,290.5,202.234375,304.5,option:1,0,e
86,202.5625,290.5,212.5625,304.5,option:1,0,r
87,212.0625,304.5,219.0625,304.5,option:1,0, 
88,219.4375,285.5,234.4375,304.5,option:1,0,d
89,234.890625,285.5,240.890625,304.5,option:1,0,i
90,239.484375,285.5,249.484375,304.5,option:1,0,f
91,248.09375,285.5,258.09375,304.5,option:1,0,f
92,258.546875,285.5,264.546875,304.5,option:1,0,i
93,264.546875,290.5,276.546875,304.5,option:1,0,c
94,277.0,290.5,292.0,304.5,option:1,0,u
95,292.453125,285.5,298.453125,304.5,option:1,0,l
96,298.484375,287.5,307.484375,304.5,option:1,0,t
97,100.296875,356.5,114.296875,374.5,option:2,0,2
98,113.796875,374.5,120.796875,374.5,option:2,0, 
99,120.296875,366.5,133.296875,374.5,option:2,0,–
100,132.796875,374.5,139.796875,374.5,option:2,0, 
101,140.125,360.5,150.125,374.5,option:2,0,r
102,149.65625,360.5,163.65625,374.5,option:2,0,a
103,163.6875,357.5,172.6875,374.5,option:2,0,t
104,173.140625,355.5,188.140625,374.5,option:2,0,h
105,188.234375,360.5,202.234375,374.5,option:2,0,e
106,202.5625,360.5,212.5625,374.5,option:2,0,r
107,212.0625,374.5,219.0625,374.5,option:2,0, 
108,219.15625,360.5,233.15625,374.5,option:2,0,e
109,233.1875,360.5,247.1875,374.5,option:2,0,a
110,247.15625,360.5,259.15625,374.5,option:2,0,s
111,258.90625,360.5,271.90625,380.5,option:2,0,y
112,100.296875,426.5,114.296875,444.5,option:3,0,1
113,113.796875,444.5,120.796875,444.5,option:3,0, 
114,120.296875,436.5,133.296875,444.5,option:3,0,–
115,132.796875,444.5,139.796875,444.5,option:3,0, 
116,139.5,430.5,152.5,444.5,option:3,0,v
117,152.59375,430.5,166.59375,444.5,option:3,0,e
118,166.921875,430.5,176.921875,444.5,option:3,0,r
119,176.671875,430.5,189.671875,450.5,option:3,0,y
120,189.171875,444.5,196.171875,444.5,option:3,0, 
121,196.265625,430.5,210.265625,444.5,option:3,0,e
122,210.296875,430.5,224.296875,444.5,option:3,0,a
123,224.265625,430.5,236.265625,444.5,option:3,0,s
124,236.015625,430.5,249.015625,450.5,option:3,0,y
