index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,118.359375,80.5,132.359375,94.5,question,0,e
6,130.953125,75.5,140.953125,94.5,question,0,f
7,139.5625,75.5,149.5625,94.5,question,0,f
8,149.65625,80.5,163.65625,94.5,question,0,e
9,163.65625,80.5,175.65625,94.5,question,0,c
10,175.6875,77.5,184.6875,94.5,question,0,t
11,184.1875,94.5,191.1875,94.5,question,0, 
12,191.5625,75.5,206.5625,94.5,question,0,d
13,207.015625,75.5,213.015625,94.5,question,0,i
14,213.390625,75.5,228.390625,94.5,question,0,d
15,227.890625,94.5,234.890625,94.5,question,0, 
16,234.921875,77.5,243.921875,94.5,question,0,t
17,244.375,75.5,259.375,94.5,question,0,h
18,259.46875,80.5,273.46875,94.5,question,0,e
19,272.96875,94.5,279.96875,94.5,question,0, 
20,280.34375,80.5,303.34375,94.5,question,0,m
21,303.09375,80.5,316.09375,100.5,question,0,y
22,316.0625,80.5,328.0625,94.5,question,0,s
23,328.09375,77.5,337.09375,94.5,question,0,t
24,337.1875,80.5,351.1875,94.5,question,0,e
25,351.515625,80.5,361.515625,94.5,question,0,r
26,361.96875,75.5,367.96875,94.5,question,0,i
27,368.09375,80.5,383.09375,94.5,question,0,o
28,383.546875,80.5,398.546875,94.5,question,0,u
29,398.515625,80.5,410.515625,94.5,question,0,s
30,410.015625,94.5,417.015625,94.5,question,0, 
31,416.71875,80.5,429.71875,94.5,question,0,v
32,429.84375,80.5,444.84375,94.5,question,0,o
33,445.296875,75.5,451.296875,94.5,question,0,i
34,451.296875,80.5,463.296875,94.5,question,0,c
35,463.390625,80.5,477.390625,94.5,question,0,e
36,477.765625,80.5,500.765625,94.5,question,0,m
37,500.796875,80.5,514.796875,94.5,question,0,a
38,515.25,75.5,521.25,94.5,question,0,i
39,521.703125,75.5,527.703125,94.5,question,0,l
40,527.203125,94.5,534.203125,94.5,question,0, 
41,534.65625,75.5,549.65625,94.5,question,0,h
42,549.6875,80.5,563.6875,94.5,question,0,a
43,563.390625,80.5,576.390625,94.5,question,0,v
44,576.484375,80.5,590.484375,94.5,question,0,e
45,589.984375,94.5,596.984375,94.5,question,0, 
46,597.109375,80.5,612.109375,94.5,question,0,o
47,612.5625,80.5,627.5625,94.5,question,0,n
48,627.0625,94.5,634.0625,94.5,question,0, 
49,634.09375,77.5,643.09375,94.5,question,0,t
50,643.546875,75.5,658.546875,94.5,question,0,h
51,658.640625,80.5,672.640625,94.5,question,0,e
52,672.140625,94.5,679.140625,94.5,question,0, 
53,679.59375,80.5,694.59375,94.5,question,0,n
54,694.625,80.5,708.625,94.5,question,0,a
55,708.953125,80.5,718.953125,94.5,question,0,r
56,719.28125,80.5,729.28125,94.5,question,0,r
57,728.8125,80.5,742.8125,94.5,question,0,a
58,742.84375,77.5,751.84375,94.5,question,0,t
59,751.96875,80.5,766.96875,94.5,question,0,o
60,767.296875,80.5,777.296875,94.5,question,0,r
61,777.140625,76.5,788.140625,94.5,question,0,?
62,99.90625,216.5,113.90625,234.5,option:0,0,T
63,114.359375,215.5,129.359375,234.5,option:0,0,h
64,129.453125,220.5,143.453125,234.5,option:0,0,e
65,142.703125,220.5,155.703125,240.5,option:0,0,y
66,155.203125,234.5,162.203125,234.5,option:0,0, 
67,162.578125,215.5,177.578125,234.5,option:0,0,d
68,177.671875,220.5,191.671875,234.5,option:0,0,e
69,192.125,215.5,198.125,234.5,option:0,0,l
70,198.21875,220.5,212.21875,234.5,option:0,0,e
71,212.25,217.5,221.25,234.5,option:0,0,t
72,221.34375,220.5,235.34375,234.5,option:0,0,e
73,235.71875,215.5,250.71875,234.5,option:0,0,d
74,250.21875,234.5,257.21875,234.5,option:0,0, 
75,257.671875,215.5,263.671875,234.5,option:0,0,i
76,263.703125,217.5,272.703125,234.5,option:0,0,t
77,272.203125,234.5,279.203125,234.5,option:0,0, 
78,279.65625,215.5,285.65625,234.5,option:0,0,i
79,286.03125,220.5,309.03125,234.5,option:0,0,m
80,309.40625,220.5,332.40625,234.5,option:0,0,m
81,332.5,220.5,346.5,234.5,option:0,0,e
82,346.875,215.5,361.875,234.5,option:0,0,d
83,362.328125,215.5,368.328125,234.5,option:0,0,i
84,368.359375,220.5,382.359375,234.5,option:0,0,a
85,382.390625,217.5,391.390625,234.5,option:0,0,t
86,391.484375,220.5,405.484375,234.5,option:0,0,e
87,405.9375,215.5,411.9375,234.5,option:0,0,l
88,411.6875,220.5,424.6875,240.5,option:0,0,y
89,423.390625,231.5,430.390625,234.5,option:0,0,.
90,99.90625,286.5,113.90625,304.5,option:1,0,T
91,114.359375,285.5,129.359375,304.5,option:1,0,h
92,129.453125,290.5,143.453125,304.5,option:1,0,e
93,142.703125,290.5,155.703125,310.5,option:1,0,y
94,155.203125,304.5,162.203125,304.5,option:1,0, 
