index,left,top,right,bottom,section,line,content
0,49.90625,76.5,63.90625,94.5,,0,T
1,64.359375,75.5,79.359375,94.5,,0,h
2,79.453125,80.5,93.453125,94.5,,0,e
3,92.953125,94.5,99.953125,94.5,,0, 
4,99.921875,76.5,112.921875,94.5,,0,F
5,113.046875,80.5,128.046875,94.5,,0,o
6,128.375,80.5,138.375,94.5,,0,r
7,138.5,80.5,153.5,100.5,,0,g
8,153.625,80.5,168.625,94.5,,0,o
9,168.65625,77.5,177.65625,94.5,,0,t
10,177.6875,77.5,186.6875,94.5,,0,t
11,186.78125,80.5,200.78125,94.5,,0,e
12,201.234375,80.5,216.234375,94.5,,0,n
13,215.734375,94.5,222.734375,94.5,,0, 
14,222.40625,76.5,245.40625,94.5,,0,M
15,245.5,80.5,259.5,94.5,,0,e
16,259.46875,80.5,271.46875,94.5,,0,s
17,271.4375,80.5,283.4375,94.5,,0,s
18,283.46875,80.5,297.46875,94.5,,0,a
19,297.84375,80.5,312.84375,100.5,,0,g
20,312.9375,80.5,326.9375,94.5,,0,e
21,49.96875,216.5,65.96875,234.5,,2,A
22,65.9375,220.5,77.9375,234.5,,2,s
23,77.4375,234.5,84.4375,234.5,,2, 
24,84.40625,220.5,96.40625,234.5,,2,s
25,96.859375,215.5,111.859375,234.5,,2,h
26,111.953125,220.5,125.953125,234.5,,2,e
27,125.453125,234.5,132.453125,234.5,,2, 
28,132.421875,220.5,144.421875,234.5,,2,s
29,144.421875,220.5,156.421875,234.5,,2,c
30,156.75,220.5,166.75,234.5,,2,r
31,166.375,220.5,181.375,234.5,,2,o
32,181.828125,215.5,187.828125,234.5,,2,l
33,188.28125,215.5,194.28125,234.5,,2,l
34,194.375,220.5,208.375,234.5,,2,e
35,208.75,215.5,223.75,234.5,,2,d
36,223.25,234.5,230.25,234.5,,2, 
37,230.28125,217.5,239.28125,234.5,,2,t
38,239.734375,215.5,254.734375,234.5,,2,h
39,255.0625,220.5,265.0625,234.5,,2,r
40,264.6875,220.5,279.6875,234.5,,2,o
41,280.140625,220.5,295.140625,234.5,,2,u
42,295.515625,220.5,310.515625,240.5,,2,g
43,310.96875,215.5,325.96875,234.5,,2,h
44,325.46875,234.5,332.46875,234.5,,2, 
45,332.921875,215.5,347.921875,234.5,,2,h
46,348.015625,220.5,362.015625,234.5,,2,e
47,362.34375,220.5,372.34375,234.5,,2,r
48,371.84375,234.5,378.84375,234.5,,2, 
49,379.21875,220.5,394.21875,240.5,,2,p
50,394.671875,215.5,409.671875,234.5,,2,h
51,409.796875,220.5,424.796875,234.5,,2,o
52,425.25,220.5,440.25,234.5,,2,n
53,440.34375,220.5,454.34375,234.5,,2,e
54,454.046875,231.5,461.046875,237.5,,2,","
55,460.546875,234.5,467.546875,234.5,,2, 
56,467.453125,216.5,481.453125,234.5,,2,E
57,481.828125,220.5,504.828125,234.5,,2,m
58,505.28125,215.5,511.28125,234.5,,2,i
59,511.734375,215.5,517.734375,234.5,,2,l
60,517.484375,220.5,530.484375,240.5,,2,y
61,531.109375,216.5,537.109375,234.5,,2,'
62,536.328125,220.5,548.328125,234.5,,2,s
63,547.828125,234.5,554.828125,234.5,,2, 
64,554.921875,220.5,568.921875,234.5,,2,e
65,568.171875,220.5,581.171875,240.5,,2,y
66,581.265625,220.5,595.265625,234.5,,2,e
67,595.234375,220.5,607.234375,234.5,,2,s
68,606.734375,234.5,613.734375,234.5,,2, 
69,614.1875,215.5,620.1875,234.5,,2,l
70,620.21875,220.5,634.21875,234.5,,2,a
71,634.671875,220.5,649.671875,234.5,,2,n
72,650.046875,215.5,665.046875,234.5,,2,d
73,665.140625,220.5,679.140625,234.5,,2,e
74,679.515625,215.5,694.515625,234.5,,2,d
75,694.015625,234.5,701.015625,234.5,,2, 
76,701.140625,220.5,716.140625,234.5,,2,o
77,716.59375,220.5,731.59375,234.5,,2,n
78,731.09375,234.5,738.09375,234.5,,2, 
79,738.125,220.5,752.125,234.5,,2,a
80,751.625,234.5,758.625,234.5,,2, 
81,759.078125,220.5,774.078125,234.5,,2,n
82,774.53125,220.5,789.53125,234.5,,2,u
83,789.90625,220.5,812.90625,234.5,,2,m
84,813.28125,215.5,828.28125,234.5,,2,b
85,828.375,220.5,842.375,234.5,,2,e
86,842.703125,220.5,852.703125,234.5,,2,r
87,852.203125,234.5,859.203125,234.5,,2, 
88,859.171875,220.5,871.171875,234.5,,2,s
89,871.625,215.5,886.625,234.5,,2,h
90,886.71875,220.5,900.71875,234.5,,2,e
91,900.21875,234.5,907.21875,234.5,,2, 
92,907.59375,215.5,922.59375,234.5,,2,d
93,923.046875,215.5,929.046875,234.5,,2,i
94,929.421875,215.5,944.421875,234.5,,2,d
95,944.875,220.5,959.875,234.5,,2,n
96,959.25,216.5,965.25,234.5,,2,'
97,965.28125,217.5,974.28125,234.5,,2,t
98,50.328125,290.5,60.328125,304.5,,3,r
99,59.921875,290.5,73.921875,304.5,,3,e
100,73.921875,290.5,85.921875,304.5,,3,c
101,86.046875,290.5,101.046875,304.5,,3,o
102,101.421875,290.5,116.421875,310.5,,3,g
103,116.875,290.5,131.875,304.5,,3,n
104,132.328125,285.5,138.328125,304.5,,3,i
105,138.078125,290.5,150.078125,304.5,,3,z
106,150.171875,290.5,164.171875,304.5,,3,e
107,163.875,301.5,170.875,304.5,,3,.
108,170.375,304.5,177.375,304.5,,3, 
109,177.84375,286.5,185.84375,304.5,,3,I
110,185.875,287.5,194.875,304.5,,3,t
111,194.375,304.5,201.375,304.5,,3, 
112,201.03125,290.5,221.03125,304.5,,3,w
113,221.0625,290.5,235.0625,304.5,,3,a
114,235.03125,290.5,247.03125,304.5,,3,s
115,246.53125,304.5,253.53125,304.5,,3, 
116,253.5625,290.5,267.5625,304.5,,3,a
117,268.015625,290.5,283.015625,304.5,,3,n
118,282.515625,304.5,289.515625,304.5,,3, 
119,289.640625,290.5,304.640625,304.5,,3,o
120,305.09375,285.5,311.09375,304.5,,3,l
121,311.46875,285.5,326.46875,304.5,,3,d
122,325.96875,304.5,332.96875,304.5,,3, 
123,333.421875,290.5,348.421875,304.5,,3,n
124,348.875,290.5,363.875,304.5,,3,u
125,364.25,290.5,387.25,304.5,,3,m
126,387.625,285.5,402.625,304.5,,3,b
127,402.71875,290.5,416.71875,304.5,,3,e
128,417.046875,290.5,427.046875,304.5,,3,r
129,422.75,301.5,429.75,307.5,,3,","
130,429.25,304.5,436.25,304.5,,3, 
131,436.375,290.5,451.375,304.5,,3,o
132,451.828125,290.5,466.828125,304.5,,3,n
133,466.921875,290.5,480.921875,304.5,,3,e
134,480.421875,304.5,487.421875,304.5,,3, 
135,487.390625,290.5,499.390625,304.5,,3,s
136,499.84375,285.5,514.84375,304.5,,3,h
137,514.9375,290.5,528.9375,304.5,,3,e
138,528.4375,304.5,535.4375,304.5,,3, 
139,535.890625,285.5,550.890625,304.5,,3,h
140,550.921875,290.5,564.921875,304.5,,3,a
141,565.296875,285.5,580.296875,304.5,,3,d
142,580.75,290.5,595.75,304.5,,3,n
143,595.125,286.5,601.125,304.5,,3,'
144,601.15625,287.5,610.15625,304.5,,3,t
145,609.65625,304.5,616.65625,304.5,,3, 
