index,left,top,right,bottom,section,line,content
192,43.40625,50,105.8984375,120.0,,0,That
193,105.8984375,50,180.65625,120.0,,0,"night,"
194,180.65625,50,213.125,120.0,,0,as
195,213.125,50,260.984375,120.0,,0,she
196,260.984375,50,313.5,120.0,,0,was
197,313.5,50,404.7890625,120.0,,0,getting
198,404.7890625,50,476.5,120.0,,0,ready
199,476.5,50,517.9375,120.0,,0,for
200,517.9375,50,575.75,120.0,,0,"bed,"
201,575.75,50,663.265625,120.0,,0,Emily's
202,663.265625,50,745.265625,120.0,,0,phone
203,745.265625,50,835.203125,120.0,,0,buzzed
204,835.203125,50,892.484375,120.0,,0,with
205,892.484375,50,913.015625,120.0,,0,a
206,913.015625,50,963.671875,120.0,,0,text
207,963.671875,50,1031.046875,120.0,,0,from
208,43.53125,120.0,82.9609375,190.0,,1,an
209,82.9609375,120.0,198.8984375,190.0,,1,unknown
210,198.8984375,120.0,302.0546875,190.0,,1,number.
211,302.0546875,120.0,404.484375,190.0,,1,"""They're"
212,404.484375,120.0,518.484375,190.0,,1,watching
213,518.484375,120.0,585.5703125,190.0,,1,"you,"""
214,585.5703125,120.0,607.4921875,190.0,,1,it
215,607.4921875,120.0,673.625,190.0,,1,read.
216,673.625,120.0,723.5390625,190.0,,1,Her
217,723.5390625,120.0,792.9140625,190.0,,1,heart
218,792.9140625,120.0,879.078125,190.0,,1,"racing,"
219,879.078125,120.0,927.125,190.0,,1,she
220,927.125,120.0,988.90625,190.0,,1,tried
221,988.90625,120.0,1022.796875,190.0,,1,to
222,43.953125,190.0,129.8046875,260.0,,2,ignore
223,129.8046875,190.0,158.453125,260.0,,2,"it,"
224,158.453125,190.0,204.640625,260.0,,2,but
225,204.640625,190.0,249.53125,260.0,,2,the
226,249.53125,190.0,328.140625,260.0,,2,words
227,328.140625,190.0,427.671875,260.0,,2,seemed
228,427.671875,190.0,458.296875,260.0,,2,to
229,458.296875,190.0,520.5703125,260.0,,2,seep
230,520.5703125,190.0,573.1328125,260.0,,2,into
231,573.1328125,190.0,619.46875,260.0,,2,her
232,619.46875,190.0,704.6875,260.0,,2,"bones,"
233,704.6875,190.0,799.2578125,260.0,,2,making
234,799.2578125,190.0,845.390625,260.0,,2,her
235,845.390625,190.0,899.125,260.0,,2,skin
236,899.125,190.0,977.546875,260.0,,2,crawl.
237,43.21875,330.0,96.53125,400.0,,4,She
238,96.53125,330.0,158.3125,400.0,,4,tried
239,158.3125,330.0,188.953125,400.0,,4,to
240,188.953125,330.0,298.9609375,400.0,,4,convince
241,298.9609375,330.0,386.4453125,400.0,,4,herself
242,386.4453125,330.0,408.03125,400.0,,4,it
243,408.03125,330.0,460.5859375,400.0,,4,was
244,460.5859375,330.0,509.78125,400.0,,4,just
245,509.78125,330.0,609.96875,400.0,,4,another
246,609.96875,330.0,691.203125,400.0,,4,"prank,"
247,691.203125,330.0,737.5625,400.0,,4,but
248,737.5625,330.0,803.0,400.0,,4,deep
249,803.0,330.0,881.109375,400.0,,4,"down,"
250,881.109375,330.0,928.8125,400.0,,4,she
251,928.8125,330.0,997.9140625,400.0,,4,knew
252,997.9140625,330.0,1022.921875,400.0,,4,it
253,43.15625,400.0,99.09375,470.0,,5,was
254,99.09375,400.0,167.84375,470.0,,5,more
255,167.84375,400.0,228.3125,470.0,,5,than
256,228.3125,400.0,289.0,470.0,,5,that.
257,289.0,400.0,339.1875,470.0,,5,The
258,339.1875,400.0,450.234375,470.0,,5,message
259,450.234375,400.0,502.7265625,470.0,,5,was
260,502.7265625,400.0,560.1875,470.0,,5,"real,"
261,560.1875,400.0,611.7578125,470.0,,5,and
262,611.7578125,400.0,633.34375,470.0,,5,it
263,633.34375,400.0,685.859375,470.0,,5,was
264,685.859375,400.0,767.453125,470.0,,5,meant
265,767.453125,400.0,808.9296875,470.0,,5,for
266,808.9296875,400.0,861.03125,470.0,,5,her.
267,43.46875,540.0,81.171875,610.0,,7,As
268,81.171875,540.0,129.4296875,610.0,,7,she
269,129.4296875,540.0,169.1640625,610.0,,7,lay
270,169.1640625,540.0,197.53125,610.0,,7,in
271,197.53125,540.0,255.34375,610.0,,7,"bed,"
272,255.34375,540.0,324.828125,610.0,,7,Emily
273,324.828125,540.0,425.578125,610.0,,7,couldn't
274,425.578125,540.0,501.0,610.0,,7,shake
275,501.0,540.0,545.359375,610.0,,7,the
276,545.359375,540.0,633.140625,610.0,,7,feeling
277,633.140625,540.0,663.484375,610.0,,7,of
278,663.484375,540.0,736.5625,610.0,,7,being
279,736.5625,540.0,842.71875,610.0,,7,trapped.
280,842.71875,540.0,891.921875,610.0,,7,She
281,891.921875,540.0,937.5234375,610.0,,7,felt
282,937.5234375,540.0,984.125,610.0,,7,like
283,984.125,540.0,1035.40625,610.0,,7,she
284,43.15625,610.0,99.1328125,680.0,,8,was
285,99.1328125,610.0,168.5234375,680.0,,8,living
286,168.5234375,610.0,196.71875,680.0,,8,in
287,196.71875,610.0,217.4609375,680.0,,8,a
288,217.4609375,610.0,353.359375,680.0,,8,"nightmare,"
289,353.359375,610.0,410.8515625,680.0,,8,with
290,410.8515625,610.0,447.75,680.0,,8,no
291,447.75,610.0,542.453125,680.0,,8,escape.
292,542.453125,610.0,595.78125,680.0,,8,And
293,595.78125,610.0,663.2265625,680.0,,8,"then,"
294,663.2265625,610.0,712.421875,680.0,,8,just
295,712.421875,610.0,744.890625,680.0,,8,as
296,744.890625,610.0,792.75,680.0,,8,she
297,792.75,610.0,845.265625,680.0,,8,was
298,845.265625,610.0,938.703125,680.0,,8,drifting
299,938.703125,610.0,977.484375,680.0,,8,off
300,977.484375,610.0,1011.375,680.0,,8,to
301,43.46875,680.0,121.921875,750.0,,9,"sleep,"
302,121.921875,680.0,170.1796875,750.0,,9,she
303,170.1796875,680.0,245.25,750.0,,9,heard
304,245.25,680.0,265.0625,750.0,,9,a
305,265.0625,680.0,326.0546875,750.0,,9,faint
306,326.0546875,680.0,395.484375,750.0,,9,noise
307,395.484375,680.0,489.6484375,750.0,,9,outside
308,489.6484375,680.0,535.625,750.0,,9,her
309,535.625,680.0,642.46875,750.0,,9,window.
