time,stimulus,pixel_x,pixel_y,pupil
1336110,breakfast-neg.text.0,20.8,99.8,406.0
1336111,breakfast-neg.text.0,20.7,98.81,408.0
1336112,breakfast-neg.text.0,20.6,97.82,409.0
1336113,breakfast-neg.text.0,20.6,96.73,411.0
1336114,breakfast-neg.text.0,19.8,96.45,410.0
1336115,breakfast-neg.text.0,18.9,96.07,408.0
1336116,breakfast-neg.text.0,18.0,96.29,406.0
1336117,breakfast-neg.text.0,18.2,98.96,403.0
1336118,breakfast-neg.text.0,18.8,101.63,399.0
1336119,breakfast-neg.text.0,19.2,107.88,395.0
1336120,breakfast-neg.text.0,20.1,113.42,393.0
1336121,breakfast-neg.text.0,20.4,120.47,393.0
1336122,breakfast-neg.text.0,20.9,125.73,391.0
1336123,breakfast-neg.text.0,20.6,129.42,390.0
1336124,breakfast-neg.text.0,20.4,133.2,388.0
1336125,breakfast-neg.text.0,20.3,135.29,388.0
1336126,breakfast-neg.text.0,20.2,137.58,388.0
1336127,breakfast-neg.text.0,20.6,138.27,388.0
1336128,breakfast-neg.text.0,20.9,138.96,388.0
1336129,breakfast-neg.text.0,21.3,139.45,388.0
1336130,breakfast-neg.text.0,21.2,139.95,388.0
1336131,breakfast-neg.text.0,21.9,140.73,387.0
1336132,breakfast-neg.text.0,22.6,141.71,386.0
1336133,breakfast-neg.text.0,23.3,142.4,386.0
1336134,breakfast-neg.text.0,23.2,142.7,386.0
1336135,breakfast-neg.text.0,23.2,142.9,386.0
1336136,breakfast-neg.text.0,23.1,143.3,386.0
1336137,breakfast-neg.text.0,23.1,143.8,385.0
1336138,breakfast-neg.text.0,23.1,144.29,385.0
1336139,breakfast-neg.text.0,23.1,144.69,385.0
1336140,breakfast-neg.text.0,23.1,145.09,384.0
1336141,breakfast-neg.text.0,23.5,145.38,383.0
1336142,breakfast-neg.text.0,23.8,145.67,382.0
1336143,breakfast-neg.text.0,23.9,145.97,382.0
1336144,breakfast-neg.text.0,23.7,146.17,381.0
1336145,breakfast-neg.text.0,23.6,146.27,381.0
1336146,breakfast-neg.text.0,23.7,146.27,381.0
1336147,breakfast-neg.text.0,23.8,146.07,381.0
1336148,breakfast-neg.text.0,23.7,145.97,381.0
1336149,breakfast-neg.text.0,23.9,146.17,381.0
1336150,breakfast-neg.text.0,24.1,146.46,381.0
1336151,breakfast-neg.text.0,24.6,146.55,381.0
1336152,breakfast-neg.text.0,24.8,146.25,381.0
1336153,breakfast-neg.text.0,24.9,146.05,381.0
1336154,breakfast-neg.text.0,24.6,145.96,381.0
1336155,breakfast-neg.text.0,24.5,145.96,381.0
1336156,breakfast-neg.text.0,24.5,145.86,380.0
1336157,breakfast-neg.text.0,24.6,145.66,381.0
1336158,breakfast-neg.text.0,24.4,145.66,382.0
1336159,breakfast-neg.text.0,24.2,145.67,383.0
1336160,breakfast-neg.text.0,23.9,145.67,384.0
1336161,breakfast-neg.text.0,23.8,145.57,384.0
1336162,breakfast-neg.text.0,23.6,145.48,383.0
1336163,breakfast-neg.text.0,23.4,145.48,383.0
1336164,breakfast-neg.text.0,23.2,145.59,383.0
1336165,breakfast-neg.text.0,23.3,145.68,384.0
1336166,breakfast-neg.text.0,23.5,145.18,385.0
1336167,breakfast-neg.text.0,23.6,144.68,385.0
1336168,breakfast-neg.text.0,23.5,144.38,385.0
1336169,breakfast-neg.text.0,23.2,144.69,386.0
1336170,breakfast-neg.text.0,23.3,144.79,386.0
1336171,breakfast-neg.text.0,23.5,144.48,386.0
1336172,breakfast-neg.text.0,23.8,143.98,386.0
1336173,breakfast-neg.text.0,23.7,143.68,387.0
1336174,breakfast-neg.text.0,23.6,143.49,386.0
1336175,breakfast-neg.text.0,23.5,143.39,386.0
1336176,breakfast-neg.text.0,23.4,143.19,385.0
1336177,breakfast-neg.text.0,22.8,142.41,386.0
1336178,breakfast-neg.text.0,22.1,141.62,386.0
1336179,breakfast-neg.text.0,21.5,140.84,387.0
1336180,breakfast-neg.text.0,21.4,141.14,387.0
1336181,breakfast-neg.text.0,21.7,141.43,386.0
1336182,breakfast-neg.text.0,22.0,141.53,386.0
1336183,breakfast-neg.text.0,22.3,141.32,386.0
1336184,breakfast-neg.text.0,22.4,140.62,386.0
1336185,breakfast-neg.text.0,21.8,140.14,386.0
1336186,breakfast-neg.text.0,21.4,139.75,386.0
1336187,breakfast-neg.text.0,20.9,139.76,385.0
1336188,breakfast-neg.text.0,20.9,139.56,385.0
1336189,breakfast-neg.text.0,20.8,139.46,385.0
1336190,breakfast-neg.text.0,20.5,139.27,385.0
1336191,breakfast-neg.text.0,20.5,138.67,387.0
1336192,breakfast-neg.text.0,20.7,138.07,388.0
1336193,breakfast-neg.text.0,21.0,137.37,388.0
1336194,breakfast-neg.text.0,21.3,137.06,388.0
1336195,breakfast-neg.text.0,21.2,137.06,387.0
1336196,breakfast-neg.text.0,20.9,137.37,386.0
1336197,breakfast-neg.text.0,20.6,137.18,385.0
1336198,breakfast-neg.text.0,20.5,136.68,384.0
1336199,breakfast-neg.text.0,20.3,136.09,384.0
1336200,breakfast-neg.text.0,20.0,135.99,385.0
1336201,breakfast-neg.text.0,19.8,135.6,385.0
1336202,breakfast-neg.text.0,19.9,135.0,385.0
1336203,breakfast-neg.text.0,19.9,134.6,384.0
1336204,breakfast-neg.text.0,19.8,134.31,383.0
1336205,breakfast-neg.text.0,19.8,133.81,384.0
1336206,breakfast-neg.text.0,19.7,133.31,384.0
1336207,breakfast-neg.text.0,19.5,132.62,384.0
1336208,breakfast-neg.text.0,19.0,132.23,383.0
1336209,breakfast-neg.text.0,18.5,131.55,383.0
1336210,breakfast-neg.text.0,18.1,130.96,384.0
1336211,breakfast-neg.text.0,18.1,130.66,384.0
1336212,breakfast-neg.text.0,18.4,130.46,384.0
1336213,breakfast-neg.text.0,18.8,130.25,384.0
1336214,breakfast-neg.text.0,19.0,130.15,384.0
1336215,breakfast-neg.text.0,18.4,129.66,384.0
1336216,breakfast-neg.text.0,17.9,129.07,383.0
1336217,breakfast-neg.text.0,17.6,128.38,383.0
