index,left,top,right,bottom,section,line,content
0,43.75,50,115.203125,120.0,question,0,What
1,115.203125,50,179.984375,120.0,question,0,drew
2,179.984375,50,225.046875,120.0,question,0,the
3,225.046875,50,303.046875,120.0,question,0,crowd
4,303.046875,50,333.703125,120.0,question,0,to
5,333.703125,50,378.9921875,120.0,question,0,the
6,378.9921875,50,457.421875,120.0,question,0,house
7,457.421875,50,494.390625,120.0,question,0,on
8,494.390625,50,544.53125,120.0,question,0,Elm
9,544.53125,50,635.0625,120.0,question,0,Street?
10,93.46875,190.0,119.40625,260.0,option:0,0,A
11,119.40625,190.0,263.15625,260.0,option:0,0,"mysterious,"
12,263.15625,190.0,366.4609375,260.0,option:0,0,growing
13,366.4609375,190.0,428.75,260.0,option:0,0,light
14,93.40625,260.0,146.53125,330.0,option:1,0,The
15,146.53125,260.0,257.265625,330.0,option:1,0,woman's
16,257.265625,260.0,386.0859375,330.0,option:1,0,whispered
17,386.0859375,260.0,456.359375,330.0,option:1,0,voice
18,93.46875,330.0,119.203125,400.0,option:2,0,A
19,119.203125,330.0,215.6875,400.0,option:2,0,strange
20,215.6875,330.0,326.96875,400.0,option:2,0,message
21,326.96875,330.0,364.0,400.0,option:2,0,on
22,364.0,330.0,409.25,400.0,option:2,0,the
23,409.25,330.0,474.765625,400.0,option:2,0,door
24,93.40625,400.0,146.6875,470.0,option:3,0,The
25,146.6875,400.0,226.640625,470.0,option:3,0,sound
26,226.640625,400.0,256.984375,470.0,option:3,0,of
27,256.984375,400.0,331.84375,470.0,option:3,0,music
28,331.84375,400.0,396.1953125,470.0,option:3,0,from
29,396.1953125,400.0,475.515625,470.0,option:3,0,inside
