index,left,top,right,bottom,section,line,content
551,49.96875,76.5,65.96875,94.5,,0,A
552,65.9375,80.5,77.9375,94.5,,0,s
553,77.4375,94.5,84.4375,94.5,,0, 
554,84.46875,77.5,93.46875,94.5,,0,t
555,93.921875,75.5,108.921875,94.5,,0,h
556,109.015625,80.5,123.015625,94.5,,0,e
557,122.515625,94.5,129.515625,94.5,,0, 
558,129.96875,80.5,144.96875,94.5,,0,n
559,145.421875,75.5,151.421875,94.5,,0,i
560,151.796875,80.5,166.796875,100.5,,0,g
561,167.25,75.5,182.25,94.5,,0,h
562,182.28125,77.5,191.28125,94.5,,0,t
563,190.78125,94.5,197.78125,94.5,,0, 
564,197.4375,80.5,217.4375,94.5,,0,w
565,217.5625,80.5,232.5625,94.5,,0,o
566,232.890625,80.5,242.890625,94.5,,0,r
567,242.484375,80.5,256.484375,94.5,,0,e
568,255.984375,94.5,262.984375,94.5,,0, 
569,263.109375,80.5,278.109375,94.5,,0,o
570,278.5625,80.5,293.5625,94.5,,0,n
571,293.265625,91.5,300.265625,97.5,,0,","
572,299.765625,94.5,306.765625,94.5,,0, 
573,307.140625,80.5,322.140625,100.5,,0,p
574,322.234375,80.5,336.234375,94.5,,0,e
575,336.359375,80.5,351.359375,94.5,,0,o
576,351.734375,80.5,366.734375,100.5,,0,p
577,367.1875,75.5,373.1875,94.5,,0,l
578,373.28125,80.5,387.28125,94.5,,0,e
579,386.78125,94.5,393.78125,94.5,,0, 
580,394.15625,75.5,409.15625,94.5,,0,b
581,409.25,80.5,423.25,94.5,,0,e
582,423.625,80.5,438.625,100.5,,0,g
583,438.65625,80.5,452.65625,94.5,,0,a
584,453.109375,80.5,468.109375,94.5,,0,n
585,467.609375,94.5,474.609375,94.5,,0, 
586,474.640625,77.5,483.640625,94.5,,0,t
587,483.765625,80.5,498.765625,94.5,,0,o
588,498.265625,94.5,505.265625,94.5,,0, 
589,505.640625,80.5,520.640625,100.5,,0,g
590,520.671875,80.5,534.671875,94.5,,0,a
591,534.703125,77.5,543.703125,94.5,,0,t
592,544.15625,75.5,559.15625,94.5,,0,h
593,559.25,80.5,573.25,94.5,,0,e
594,573.578125,80.5,583.578125,94.5,,0,r
595,583.078125,94.5,590.078125,94.5,,0, 
596,590.203125,80.5,605.203125,94.5,,0,o
597,605.65625,80.5,620.65625,94.5,,0,n
