index,left,top,right,bottom,section,line,content
352,43.46875,50,81.171875,120.0,,0,As
353,81.171875,50,129.1875,120.0,,0,she
354,129.1875,50,212.328125,120.0,,0,"spoke,"
355,212.328125,50,257.390625,120.0,,0,the
356,257.390625,50,335.359375,120.0,,0,crowd
357,335.359375,50,434.890625,120.0,,0,seemed
358,434.890625,50,465.515625,120.0,,0,to
359,465.515625,50,545.046875,120.0,,0,shrink
360,545.046875,50,617.71875,120.0,,0,"away,"
361,617.71875,50,650.4296875,120.0,,0,as
362,650.4296875,50,671.765625,120.0,,0,if
363,671.765625,50,728.90625,120.0,,0,they
364,728.90625,50,793.265625,120.0,,0,were
365,793.265625,50,868.125,120.0,,0,afraid
366,868.125,50,898.5078125,120.0,,0,of
367,898.5078125,50,947.484375,120.0,,0,her.
368,947.484375,50,994.609375,120.0,,0,But
369,994.609375,50,1042.921875,120.0,,0,the
370,43.15625,120.0,141.078125,190.0,,1,woman
371,141.078125,120.0,214.4375,190.0,,1,didn't
372,214.4375,120.0,284.5,190.0,,1,seem
373,284.5,120.0,315.3671875,190.0,,1,to
374,315.3671875,120.0,400.359375,190.0,,1,notice.
375,400.359375,120.0,450.28125,190.0,,1,She
376,450.28125,120.0,509.40625,190.0,,1,took
377,509.40625,120.0,529.90625,190.0,,1,a
378,529.90625,120.0,586.1875,190.0,,1,step
379,586.1875,120.0,693.046875,190.0,,1,"forward,"
380,693.046875,120.0,744.40625,190.0,,1,and
381,744.40625,120.0,804.9375,190.0,,1,then
382,804.9375,120.0,907.8671875,190.0,,1,"another,"
383,907.8671875,120.0,966.96875,190.0,,1,until
384,966.96875,120.0,1018.25,190.0,,1,she
385,43.15625,190.0,98.890625,260.0,,2,was
386,98.890625,190.0,208.7109375,260.0,,2,standing
387,208.7109375,190.0,271.703125,260.0,,2,right
388,271.703125,190.0,301.265625,260.0,,2,at
389,301.265625,190.0,346.375,260.0,,2,the
390,346.375,190.0,411.828125,260.0,,2,edge
391,411.828125,190.0,442.0,260.0,,2,of
392,442.0,190.0,487.2890625,260.0,,2,the
