index,left,top,right,bottom,section,line,content
0,43.40625,50,96.75,120.0,,0,The
1,96.75,50,151.375,120.0,,0,Last
2,151.375,50,217.0,120.0,,0,Light
3,217.0,50,261.96875,120.0,,0,On
4,43.40625,190.0,96.890625,260.0,,2,The
5,96.890625,190.0,209.59375,260.0,,2,darkness
6,209.59375,190.0,262.109375,260.0,,2,was
7,262.109375,190.0,376.328125,260.0,,2,"palpable,"
8,376.328125,190.0,397.0703125,260.0,,2,a
9,397.0703125,190.0,472.5625,260.0,,2,heavy
10,472.5625,190.0,566.671875,260.0,,2,blanket
11,566.671875,190.0,620.6875,260.0,,2,that
12,620.6875,190.0,751.5,260.0,,2,suffocated
13,751.5,190.0,796.7890625,260.0,,2,the
14,796.7890625,190.0,978.453125,260.0,,2,neighborhood.
15,978.453125,190.0,1050.890625,260.0,,2,Trees
16,43.46875,260.0,141.1875,330.0,,3,swayed
17,141.1875,260.0,270.0078125,330.0,,3,ominously
18,270.0078125,260.0,298.203125,330.0,,3,in
19,298.203125,260.0,343.09375,330.0,,3,the
20,343.09375,260.0,413.421875,330.0,,3,"wind,"
21,413.421875,260.0,475.453125,330.0,,3,their
22,475.453125,260.0,589.96875,330.0,,3,branches
23,589.96875,260.0,697.2734375,330.0,,3,creaking
24,697.2734375,260.0,743.875,330.0,,3,like
25,743.875,260.0,839.15625,330.0,,3,skeletal
26,839.15625,260.0,938.578125,330.0,,3,fingers.
27,43.21875,330.0,187.078125,400.0,,4,Streetlights
28,187.078125,330.0,301.21875,400.0,,4,"flickered,"
29,301.21875,330.0,392.078125,400.0,,4,casting
30,392.078125,330.0,457.578125,400.0,,4,eerie
31,457.578125,330.0,567.234375,400.0,,4,shadows
32,567.234375,330.0,604.265625,400.0,,4,on
33,604.265625,330.0,649.515625,400.0,,4,the
34,649.515625,330.0,780.8125,400.0,,4,pavement.
35,780.8125,330.0,827.9375,400.0,,4,But
36,827.9375,330.0,914.671875,400.0,,4,amidst
37,914.671875,330.0,959.734375,400.0,,4,the
38,959.734375,330.0,1044.765625,400.0,,4,"chaos,"
39,43.625,400.0,98.1484375,470.0,,5,one
40,98.1484375,400.0,176.5,470.0,,5,house
41,176.5,400.0,249.625,470.0,,5,stood
42,249.625,400.0,371.1953125,470.0,,5,"steadfast,"
43,371.1953125,400.0,404.75,470.0,,5,its
44,404.75,400.0,514.625,470.0,,5,windows
45,514.625,400.0,591.078125,470.0,,5,aglow
46,591.078125,400.0,648.359375,470.0,,5,with
47,648.359375,400.0,668.703125,470.0,,5,a
48,668.703125,400.0,749.65625,470.0,,5,"warm,"
49,749.65625,400.0,838.0703125,470.0,,5,golden
50,838.0703125,400.0,907.0625,470.0,,5,light.
51,43.625,540.0,133.7421875,610.0,,7,People
52,133.7421875,540.0,237.609375,610.0,,7,huddled
53,237.609375,540.0,349.3125,610.0,,7,"together,"
54,349.3125,540.0,444.1875,610.0,,7,sharing
55,444.1875,540.0,572.640625,610.0,,7,flashlights
56,572.640625,540.0,623.96875,610.0,,7,and
57,623.96875,540.0,766.1875,610.0,,7,speculating
58,766.1875,540.0,841.703125,610.0,,7,about
59,841.703125,540.0,886.75,610.0,,7,the
60,886.75,540.0,986.296875,610.0,,7,strange
61,43.875,610.0,218.8125,680.0,,8,phenomenon.
62,218.8125,610.0,291.765625,680.0,,8,Some
63,291.765625,610.0,390.2734375,680.0,,8,claimed
64,390.2734375,610.0,411.859375,680.0,,8,it
65,411.859375,610.0,464.203125,680.0,,8,was
66,464.203125,610.0,484.90625,680.0,,8,a
67,484.90625,610.0,559.4375,680.0,,8,prank
68,559.4375,610.0,625.625,680.0,,8,gone
69,625.625,610.0,714.265625,680.0,,8,"wrong,"
70,714.265625,610.0,783.109375,680.0,,8,while
71,783.109375,610.0,865.375,680.0,,8,others
72,865.375,610.0,997.59375,680.0,,8,whispered
73,43.53125,680.0,122.25,750.0,,9,about
74,122.25,680.0,280.328125,750.0,,9,supernatural
75,280.328125,680.0,435.765625,750.0,,9,occurrences.
76,435.765625,680.0,485.9921875,750.0,,9,The
77,485.9921875,680.0,637.0078125,750.0,,9,"homeowner,"
78,637.0078125,680.0,695.2578125,750.0,,9,Mrs.
79,695.2578125,680.0,792.3046875,750.0,,9,"Jenkins,"
80,792.3046875,680.0,914.59375,750.0,,9,remained
81,43.53125,750.0,196.296875,820.0,,10,"tight-lipped,"
82,196.296875,750.0,309.71875,820.0,,10,watching
83,309.71875,750.0,374.03125,820.0,,10,from
84,374.03125,750.0,462.7734375,820.0,,10,behind
85,462.7734375,750.0,508.921875,820.0,,10,her
86,508.921875,750.0,610.15625,820.0,,10,curtains
87,610.15625,750.0,642.625,820.0,,10,as
88,642.625,750.0,761.21875,820.0,,10,strangers
89,761.21875,750.0,892.078125,820.0,,10,converged
90,892.078125,750.0,929.3203125,820.0,,10,on
91,929.3203125,750.0,978.71875,820.0,,10,her
