index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,118.640625,75.5,133.640625,94.5,question,0,d
6,134.09375,75.5,140.09375,94.5,question,0,i
7,140.0625,80.5,152.0625,94.5,question,0,s
8,152.0625,80.5,164.0625,94.5,question,0,c
9,164.1875,80.5,179.1875,94.5,question,0,o
10,178.390625,80.5,191.390625,94.5,question,0,v
11,191.484375,80.5,205.484375,94.5,question,0,e
12,205.8125,80.5,215.8125,94.5,question,0,r
13,215.5625,80.5,228.5625,100.5,question,0,y
14,228.0625,94.5,235.0625,94.5,question,0, 
15,235.4375,75.5,250.4375,94.5,question,0,d
16,250.5625,80.5,265.5625,94.5,question,0,o
17,265.65625,80.5,279.65625,94.5,question,0,e
18,279.625,80.5,291.625,94.5,question,0,s
19,291.125,94.5,298.125,94.5,question,0, 
20,297.84375,76.5,311.84375,94.5,question,0,S
21,311.875,80.5,325.875,94.5,question,0,a
22,326.203125,80.5,336.203125,94.5,question,0,r
23,335.734375,80.5,349.734375,94.5,question,0,a
24,350.1875,75.5,365.1875,94.5,question,0,h
25,364.6875,94.5,371.6875,94.5,question,0, 
26,372.0625,80.5,395.0625,94.5,question,0,m
27,395.09375,80.5,409.09375,94.5,question,0,a
28,408.4375,75.5,422.4375,94.5,question,0,k
29,422.53125,80.5,436.53125,94.5,question,0,e
30,436.03125,94.5,443.03125,94.5,question,0, 
31,443.484375,75.5,449.484375,94.5,question,0,i
32,449.9375,80.5,464.9375,94.5,question,0,n
33,464.4375,94.5,471.4375,94.5,question,0, 
34,471.46875,77.5,480.46875,94.5,question,0,t
35,480.921875,75.5,495.921875,94.5,question,0,h
36,496.015625,80.5,510.015625,94.5,question,0,e
37,509.515625,94.5,516.515625,94.5,question,0, 
38,516.546875,80.5,530.546875,94.5,question,0,a
39,530.578125,77.5,539.578125,94.5,question,0,t
40,539.609375,77.5,548.609375,94.5,question,0,t
41,549.0625,75.5,555.0625,94.5,question,0,i
42,555.0625,80.5,567.0625,94.5,question,0,c
43,566.90625,76.5,577.90625,94.5,question,0,?
44,99.90625,216.5,113.90625,234.5,option:0,0,T
45,114.359375,215.5,129.359375,234.5,option:0,0,h
46,129.453125,220.5,143.453125,234.5,option:0,0,e
47,142.953125,234.5,149.953125,234.5,option:0,0, 
48,149.984375,220.5,163.984375,234.5,option:0,0,a
49,164.015625,217.5,173.015625,234.5,option:0,0,t
50,173.046875,217.5,182.046875,234.5,option:0,0,t
51,182.5,215.5,188.5,234.5,option:0,0,i
52,188.5,220.5,200.5,234.5,option:0,0,c
53,200.0,234.5,207.0,234.5,option:0,0, 
54,207.453125,215.5,213.453125,234.5,option:0,0,i
55,213.421875,220.5,225.421875,234.5,option:0,0,s
56,224.921875,234.5,231.921875,234.5,option:0,0, 
57,231.921875,220.5,243.921875,234.5,option:0,0,c
58,244.046875,220.5,259.046875,234.5,option:0,0,o
59,259.421875,220.5,282.421875,234.5,option:0,0,m
60,282.796875,220.5,297.796875,240.5,option:0,0,p
61,298.25,215.5,304.25,234.5,option:0,0,l
62,304.34375,220.5,318.34375,234.5,option:0,0,e
63,318.375,217.5,327.375,234.5,option:0,0,t
64,327.46875,220.5,341.46875,234.5,option:0,0,e
65,341.921875,215.5,347.921875,234.5,option:0,0,l
66,347.671875,220.5,360.671875,240.5,option:0,0,y
67,360.171875,234.5,367.171875,234.5,option:0,0, 
68,367.265625,220.5,381.265625,234.5,option:0,0,e
69,381.640625,220.5,404.640625,234.5,option:0,0,m
70,405.015625,220.5,420.015625,240.5,option:0,0,p
71,420.046875,217.5,429.046875,234.5,option:0,0,t
72,428.796875,220.5,441.796875,240.5,option:0,0,y
73,99.96875,286.5,115.96875,304.5,option:1,0,A
74,115.46875,304.5,122.46875,304.5,option:1,0, 
75,122.921875,285.5,137.921875,304.5,option:1,0,h
76,138.375,285.5,144.375,304.5,option:1,0,i
77,144.75,285.5,159.75,304.5,option:1,0,d
78,160.125,285.5,175.125,304.5,option:1,0,d
79,175.21875,290.5,189.21875,304.5,option:1,0,e
80,189.671875,290.5,204.671875,304.5,option:1,0,n
81,204.171875,304.5,211.171875,304.5,option:1,0, 
82,211.140625,290.5,223.140625,304.5,option:1,0,s
83,223.171875,287.5,232.171875,304.5,option:1,0,t
84,232.203125,290.5,246.203125,304.5,option:1,0,a
85,246.65625,285.5,252.65625,304.5,option:1,0,i
86,252.984375,290.5,262.984375,304.5,option:1,0,r
87,262.484375,290.5,274.484375,304.5,option:1,0,c
88,274.515625,290.5,288.515625,304.5,option:1,0,a
89,288.484375,290.5,300.484375,304.5,option:1,0,s
90,300.578125,290.5,314.578125,304.5,option:1,0,e
91,314.078125,304.5,321.078125,304.5,option:1,0, 
92,321.53125,285.5,327.53125,304.5,option:1,0,l
93,327.625,290.5,341.625,304.5,option:1,0,e
