index,left,top,right,bottom,section,line,content
627,50.375,80.5,65.375,100.5,,0,p
628,65.40625,80.5,79.40625,94.5,,0,a
629,79.109375,80.5,92.109375,94.5,,0,v
630,92.203125,80.5,106.203125,94.5,,0,e
631,106.578125,80.5,129.578125,94.5,,0,m
632,129.671875,80.5,143.671875,94.5,,0,e
633,144.125,80.5,159.125,94.5,,0,n
634,159.15625,77.5,168.15625,94.5,,0,t
635,167.859375,91.5,174.859375,94.5,,0,.
636,49.96875,216.5,65.96875,234.5,,2,A
637,65.9375,220.5,77.9375,234.5,,2,s
638,77.4375,234.5,84.4375,234.5,,2, 
639,84.46875,217.5,93.46875,234.5,,2,t
640,93.921875,215.5,108.921875,234.5,,2,h
641,109.015625,220.5,123.015625,234.5,,2,e
642,122.515625,234.5,129.515625,234.5,,2, 
643,129.96875,215.5,135.96875,234.5,,2,l
644,136.421875,215.5,142.421875,234.5,,2,i
645,142.796875,220.5,157.796875,240.5,,2,g
646,158.25,215.5,173.25,234.5,,2,h
647,173.28125,217.5,182.28125,234.5,,2,t
648,181.78125,234.5,188.78125,234.5,,2, 
649,189.15625,215.5,204.15625,234.5,,2,d
650,204.484375,220.5,214.484375,234.5,,2,r
651,214.078125,220.5,228.078125,234.5,,2,e
652,227.234375,220.5,247.234375,234.5,,2,w
653,246.734375,234.5,253.734375,234.5,,2, 
654,253.734375,220.5,265.734375,234.5,,2,c
655,266.1875,215.5,272.1875,234.5,,2,l
656,272.3125,220.5,287.3125,234.5,,2,o
657,287.28125,220.5,299.28125,234.5,,2,s
658,299.375,220.5,313.375,234.5,,2,e
659,313.703125,220.5,323.703125,234.5,,2,r
660,319.40625,231.5,326.40625,237.5,,2,","
661,325.90625,234.5,332.90625,234.5,,2, 
662,333.28125,220.5,348.28125,240.5,,2,p
663,348.375,220.5,362.375,234.5,,2,e
664,362.5,220.5,377.5,234.5,,2,o
665,377.875,220.5,392.875,240.5,,2,p
666,393.328125,215.5,399.328125,234.5,,2,l
667,399.421875,220.5,413.421875,234.5,,2,e
668,412.921875,234.5,419.921875,234.5,,2, 
669,420.296875,215.5,435.296875,234.5,,2,b
670,435.390625,220.5,449.390625,234.5,,2,e
671,449.765625,220.5,464.765625,240.5,,2,g
672,464.796875,220.5,478.796875,234.5,,2,a
673,479.25,220.5,494.25,234.5,,2,n
674,493.75,234.5,500.75,234.5,,2, 
675,500.78125,217.5,509.78125,234.5,,2,t
676,509.90625,220.5,524.90625,234.5,,2,o
677,524.40625,234.5,531.40625,234.5,,2, 
678,531.5,220.5,545.5,234.5,,2,e
679,545.875,220.5,568.875,234.5,,2,m
680,568.96875,220.5,582.96875,234.5,,2,e
681,583.296875,220.5,593.296875,234.5,,2,r
682,593.421875,220.5,608.421875,240.5,,2,g
683,608.515625,220.5,622.515625,234.5,,2,e
684,622.015625,234.5,629.015625,234.5,,2, 
685,627.609375,215.5,637.609375,234.5,,2,f
686,637.9375,220.5,647.9375,234.5,,2,r
687,647.5625,220.5,662.5625,234.5,,2,o
688,662.9375,220.5,685.9375,234.5,,2,m
689,685.4375,234.5,692.4375,234.5,,2, 
690,692.46875,217.5,701.46875,234.5,,2,t
691,701.921875,215.5,716.921875,234.5,,2,h
692,717.015625,220.5,731.015625,234.5,,2,e
693,731.46875,215.5,737.46875,234.5,,2,i
694,737.796875,220.5,747.796875,234.5,,2,r
695,747.296875,234.5,754.296875,234.5,,2, 
696,754.75,215.5,769.75,234.5,,2,h
697,770.203125,215.5,776.203125,234.5,,2,i
698,776.578125,215.5,791.578125,234.5,,2,d
699,792.03125,215.5,798.03125,234.5,,2,i
700,798.484375,220.5,813.484375,234.5,,2,n
701,813.859375,220.5,828.859375,240.5,,2,g
702,828.359375,234.5,835.359375,234.5,,2, 
703,835.734375,220.5,850.734375,240.5,,2,p
704,851.1875,215.5,857.1875,234.5,,2,l
705,857.21875,220.5,871.21875,234.5,,2,a
706,871.21875,220.5,883.21875,234.5,,2,c
707,883.3125,220.5,897.3125,234.5,,2,e
708,897.28125,220.5,909.28125,234.5,,2,s
709,908.984375,231.5,915.984375,237.5,,2,","
710,915.484375,234.5,922.484375,234.5,,2, 
711,922.515625,217.5,931.515625,234.5,,2,t
712,931.96875,215.5,946.96875,234.5,,2,h
713,947.0625,220.5,961.0625,234.5,,2,e
714,961.515625,215.5,967.515625,234.5,,2,i
715,967.84375,220.5,977.84375,234.5,,2,r
716,977.34375,234.5,984.34375,234.5,,2, 
717,982.9375,215.5,992.9375,234.5,,2,f
718,992.96875,220.5,1006.96875,234.5,,2,a
719,1006.96875,220.5,1018.96875,234.5,,2,c
720,1019.0625,220.5,1033.0625,234.5,,2,e
721,1033.03125,220.5,1045.03125,234.5,,2,s
722,48.59375,285.5,58.59375,304.5,,3,f
723,59.046875,285.5,65.046875,304.5,,3,i
724,65.5,285.5,71.5,304.5,,3,l
725,71.953125,285.5,77.953125,304.5,,3,l
726,78.046875,290.5,92.046875,304.5,,3,e
727,92.421875,285.5,107.421875,304.5,,3,d
728,106.921875,304.5,113.921875,304.5,,3, 
729,113.578125,290.5,133.578125,304.5,,3,w
730,134.03125,285.5,140.03125,304.5,,3,i
731,140.0625,287.5,149.0625,304.5,,3,t
732,149.515625,285.5,164.515625,304.5,,3,h
733,164.015625,304.5,171.015625,304.5,,3, 
734,171.046875,290.5,185.046875,304.5,,3,a
735,184.546875,304.5,191.546875,304.5,,3, 
736,191.921875,290.5,214.921875,304.5,,3,m
737,215.375,285.5,221.375,304.5,,3,i
738,221.59375,290.5,234.59375,304.5,,3,x
739,234.09375,304.5,241.09375,304.5,,3, 
740,241.21875,290.5,256.21875,304.5,,3,o
741,254.8125,285.5,264.8125,304.5,,3,f
742,264.3125,304.5,271.3125,304.5,,3, 
743,271.3125,290.5,283.3125,304.5,,3,c
744,283.765625,290.5,298.765625,304.5,,3,u
745,299.09375,290.5,309.09375,304.5,,3,r
746,309.546875,285.5,315.546875,304.5,,3,i
747,315.671875,290.5,330.671875,304.5,,3,o
748,330.640625,290.5,342.640625,304.5,,3,s
749,343.09375,285.5,349.09375,304.5,,3,i
750,349.125,287.5,358.125,304.5,,3,t
751,357.875,290.5,370.875,310.5,,3,y
752,370.375,304.5,377.375,304.5,,3, 
753,377.40625,290.5,391.40625,304.5,,3,a
754,391.859375,290.5,406.859375,304.5,,3,n
755,407.234375,285.5,422.234375,304.5,,3,d
756,421.734375,304.5,428.734375,304.5,,3, 
757,428.765625,287.5,437.765625,304.5,,3,t
758,438.09375,290.5,448.09375,304.5,,3,r
759,447.6875,290.5,461.6875,304.5,,3,e
760,462.0625,290.5,477.0625,310.5,,3,p
761,477.515625,285.5,483.515625,304.5,,3,i
762,483.890625,285.5,498.890625,304.5,,3,d
763,498.921875,290.5,512.921875,304.5,,3,a
764,512.953125,287.5,521.953125,304.5,,3,t
765,522.40625,285.5,528.40625,304.5,,3,i
766,528.53125,290.5,543.53125,304.5,,3,o
767,543.984375,290.5,558.984375,304.5,,3,n
768,558.6875,301.5,565.6875,304.5,,3,.
769,565.1875,304.5,572.1875,304.5,,3, 
770,572.09375,286.5,586.09375,304.5,,3,T
771,586.546875,285.5,601.546875,304.5,,3,h
772,601.640625,290.5,615.640625,304.5,,3,e
773,614.890625,290.5,627.890625,310.5,,3,y
774,627.390625,304.5,634.390625,304.5,,3, 
775,634.421875,290.5,648.421875,304.5,,3,a
776,648.796875,290.5,663.796875,310.5,,3,p
777,664.171875,290.5,679.171875,310.5,,3,p
778,679.5,290.5,689.5,304.5,,3,r
779,689.125,290.5,704.125,304.5,,3,o
780,704.15625,290.5,718.15625,304.5,,3,a
781,718.15625,290.5,730.15625,304.5,,3,c
782,730.609375,285.5,745.609375,304.5,,3,h
783,745.703125,290.5,759.703125,304.5,,3,e
784,760.078125,285.5,775.078125,304.5,,3,d
785,774.578125,304.5,781.578125,304.5,,3, 
786,781.609375,287.5,790.609375,304.5,,3,t
787,791.0625,285.5,806.0625,304.5,,3,h
788,806.15625,290.5,820.15625,304.5,,3,e
789,819.65625,304.5,826.65625,304.5,,3, 
790,826.625,290.5,838.625,304.5,,3,s
791,838.75,290.5,853.75,304.5,,3,o
792,854.203125,290.5,869.203125,304.5,,3,u
793,869.53125,290.5,879.53125,304.5,,3,r
794,879.03125,290.5,891.03125,304.5,,3,c
795,891.125,290.5,905.125,304.5,,3,e
796,904.625,304.5,911.625,304.5,,3, 
797,911.75,290.5,926.75,304.5,,3,o
798,925.34375,285.5,935.34375,304.5,,3,f
799,934.84375,304.5,941.84375,304.5,,3, 
800,941.875,287.5,950.875,304.5,,3,t
801,951.328125,285.5,966.328125,304.5,,3,h
802,966.421875,290.5,980.421875,304.5,,3,e
803,979.921875,304.5,986.921875,304.5,,3, 
804,987.375,285.5,993.375,304.5,,3,l
805,993.828125,285.5,999.828125,304.5,,3,i
806,1000.203125,290.5,1015.203125,310.5,,3,g
807,1015.65625,285.5,1030.65625,304.5,,3,h
808,1030.6875,287.5,1039.6875,304.5,,3,t
809,50.0,360.5,62.0,374.5,,4,c
810,62.03125,360.5,76.03125,374.5,,4,a
811,76.484375,360.5,91.484375,374.5,,4,u
812,91.515625,357.5,100.515625,374.5,,4,t
813,100.96875,355.5,106.96875,374.5,,4,i
814,107.09375,360.5,122.09375,374.5,,4,o
815,122.546875,360.5,137.546875,374.5,,4,u
816,137.515625,360.5,149.515625,374.5,,4,s
817,149.96875,355.5,155.96875,374.5,,4,l
818,155.71875,360.5,168.71875,380.5,,4,y
819,167.421875,371.5,174.421875,377.5,,4,","
820,173.921875,374.5,180.921875,374.5,,4, 
821,180.953125,357.5,189.953125,374.5,,4,t
822,190.40625,355.5,205.40625,374.5,,4,h
823,205.5,360.5,219.5,374.5,,4,e
824,219.953125,355.5,225.953125,374.5,,4,i
825,226.28125,360.5,236.28125,374.5,,4,r
826,235.78125,374.5,242.78125,374.5,,4, 
827,242.875,360.5,256.875,374.5,,4,e
828,256.125,360.5,269.125,380.5,,4,y
829,269.21875,360.5,283.21875,374.5,,4,e
830,283.1875,360.5,295.1875,374.5,,4,s
831,294.6875,374.5,301.6875,374.5,,4, 
832,300.28125,355.5,310.28125,374.5,,4,f
833,310.734375,355.5,316.734375,374.5,,4,i
834,316.953125,360.5,329.953125,374.5,,4,x
835,329.546875,360.5,343.546875,374.5,,4,e
