index,left,top,right,bottom,section,line,content
113,43.875,50,181.359375,120.0,,0,pavement.
114,43.46875,190.0,81.203125,260.0,,2,As
115,81.203125,190.0,126.4921875,260.0,,2,the
116,126.4921875,190.0,185.71875,260.0,,2,light
117,185.71875,190.0,250.484375,260.0,,2,drew
118,250.484375,190.0,329.84375,260.0,,2,"closer,"
119,329.84375,190.0,416.859375,260.0,,2,people
120,416.859375,190.0,497.515625,260.0,,2,began
121,497.515625,190.0,528.203125,260.0,,2,to
122,528.203125,190.0,625.0625,260.0,,2,emerge
123,625.0625,190.0,689.203125,260.0,,2,from
124,689.203125,190.0,751.2734375,260.0,,2,their
125,751.2734375,190.0,832.296875,260.0,,2,hiding
126,832.296875,190.0,919.25,260.0,,2,"places,"
127,919.25,190.0,980.390625,260.0,,2,their
128,980.390625,190.0,1051.53125,260.0,,2,faces
129,42.09375,260.0,110.5,330.0,,3,filled
130,110.5,260.0,167.78125,330.0,,3,with
131,167.78125,260.0,188.484375,330.0,,3,a
132,188.484375,260.0,237.90625,330.0,,3,mix
133,237.90625,260.0,268.0625,330.0,,3,of
134,268.0625,260.0,374.140625,330.0,,3,curiosity
135,374.140625,260.0,425.5,330.0,,3,and
136,425.5,260.0,568.890625,330.0,,3,trepidation.
137,568.890625,260.0,631.15625,330.0,,3,They
138,631.15625,260.0,778.34375,330.0,,3,approached
139,778.34375,260.0,823.390625,330.0,,3,the
140,823.390625,260.0,908.4375,330.0,,3,source
141,908.4375,260.0,938.609375,330.0,,3,of
142,938.609375,260.0,983.8984375,330.0,,3,the
143,983.8984375,260.0,1046.1875,330.0,,3,light
144,43.5,330.0,177.6875,400.0,,4,"cautiously,"
145,177.6875,330.0,239.578125,400.0,,4,their
146,239.578125,330.0,297.734375,400.0,,4,eyes
147,297.734375,330.0,362.234375,400.0,,4,fixed
148,362.234375,330.0,399.265625,400.0,,4,on
149,399.265625,330.0,444.5546875,400.0,,4,the
150,444.5546875,330.0,522.9375,400.0,,4,house
151,522.9375,330.0,576.953125,400.0,,4,that
152,576.953125,330.0,676.484375,400.0,,4,seemed
153,676.484375,330.0,707.3125,400.0,,4,to
154,707.3125,330.0,743.109375,400.0,,4,be
155,743.109375,330.0,788.234375,400.0,,4,the
156,788.234375,330.0,844.4375,400.0,,4,only
157,844.4375,330.0,929.484375,400.0,,4,source
158,929.484375,330.0,962.890625,400.0,,4,of
159,43.953125,400.0,203.390625,470.0,,5,illumination.
160,43.75,540.0,94.0,610.0,,7,But
161,94.0,540.0,126.5,610.0,,7,as
162,126.5,540.0,184.0,610.0,,7,they
163,184.0,540.0,248.765625,610.0,,7,drew
164,248.765625,540.0,327.953125,610.0,,7,"closer,"
165,327.953125,540.0,385.4296875,610.0,,7,they
166,385.4296875,540.0,483.859375,610.0,,7,realized
167,483.859375,540.0,537.875,610.0,,7,that
168,537.875,540.0,670.546875,610.0,,7,something
169,670.546875,540.0,722.9375,610.0,,7,was
170,722.9375,540.0,767.859375,610.0,,7,off.
171,767.859375,540.0,818.0859375,610.0,,7,The
172,818.0859375,540.0,896.4375,610.0,,7,house
173,896.4375,540.0,1019.3125,610.0,,7,seemed...
174,43.59375,610.0,133.53125,680.0,,8,empty.
175,133.53125,610.0,183.359375,680.0,,8,The
176,183.359375,610.0,293.046875,680.0,,8,windows
177,293.046875,610.0,357.578125,680.0,,8,were
178,357.578125,610.0,423.6875,680.0,,8,"dark,"
179,423.6875,610.0,468.9375,680.0,,8,the
180,468.9375,610.0,543.0,680.0,,8,doors
181,543.0,610.0,607.34375,680.0,,8,were
182,607.34375,610.0,695.578125,680.0,,8,"closed,"
183,695.578125,610.0,746.9375,680.0,,8,and
184,746.9375,610.0,815.75,680.0,,8,there
185,815.75,610.0,868.3046875,680.0,,8,was
186,868.3046875,610.0,905.140625,680.0,,8,no
187,905.140625,610.0,960.96875,680.0,,8,sign
188,960.96875,610.0,991.3515625,680.0,,8,of
189,991.3515625,610.0,1036.46875,680.0,,8,life
190,43.53125,680.0,175.546875,750.0,,9,anywhere.
191,175.546875,680.0,199.140625,750.0,,9,It
192,199.140625,680.0,251.484375,750.0,,9,was
193,251.484375,680.0,284.1953125,750.0,,9,as
194,284.1953125,680.0,305.53125,750.0,,9,if
195,305.53125,680.0,350.65625,750.0,,9,the
196,350.65625,680.0,477.7578125,750.0,,9,occupants
197,477.7578125,680.0,528.7421875,750.0,,9,had
198,528.7421875,680.0,641.1484375,750.0,,9,vanished
199,641.1484375,680.0,693.5,750.0,,9,into
200,693.5,680.0,746.390625,750.0,,9,thin
201,746.390625,680.0,789.640625,750.0,,9,air.
