index,left,top,right,bottom,section,line,content
0,49.53125,76.5,68.53125,94.5,question,0,H
1,68.65625,80.5,83.65625,94.5,question,0,o
2,82.8125,80.5,102.8125,94.5,question,0,w
3,102.3125,94.5,109.3125,94.5,question,0, 
4,109.765625,80.5,124.765625,94.5,question,0,n
5,124.796875,80.5,138.796875,94.5,question,0,a
6,138.828125,77.5,147.828125,94.5,question,0,t
7,148.28125,80.5,163.28125,94.5,question,0,u
8,163.609375,80.5,173.609375,94.5,question,0,r
9,173.140625,80.5,187.140625,94.5,question,0,a
10,187.59375,75.5,193.59375,94.5,question,0,l
11,193.09375,94.5,200.09375,94.5,question,0, 
12,200.125,80.5,214.125,94.5,question,0,a
13,214.578125,80.5,229.578125,94.5,question,0,n
14,229.953125,75.5,244.953125,94.5,question,0,d
15,244.453125,94.5,251.453125,94.5,question,0, 
16,250.046875,75.5,260.046875,94.5,question,0,f
17,260.5,75.5,266.5,94.5,question,0,l
18,266.953125,80.5,281.953125,94.5,question,0,u
19,282.046875,80.5,296.046875,94.5,question,0,e
20,296.5,80.5,311.5,94.5,question,0,n
21,311.53125,77.5,320.53125,94.5,question,0,t
22,320.03125,94.5,327.03125,94.5,question,0, 
23,326.6875,80.5,346.6875,94.5,question,0,w
24,346.71875,80.5,360.71875,94.5,question,0,a
25,360.6875,80.5,372.6875,94.5,question,0,s
26,372.1875,94.5,379.1875,94.5,question,0, 
27,379.21875,77.5,388.21875,94.5,question,0,t
28,388.671875,75.5,403.671875,94.5,question,0,h
29,403.765625,80.5,417.765625,94.5,question,0,e
30,417.265625,94.5,424.265625,94.5,question,0, 
31,423.921875,80.5,443.921875,94.5,question,0,w
32,444.25,80.5,454.25,94.5,question,0,r
33,454.703125,75.5,460.703125,94.5,question,0,i
34,460.734375,77.5,469.734375,94.5,question,0,t
35,470.1875,75.5,476.1875,94.5,question,0,i
36,476.640625,80.5,491.640625,94.5,question,0,n
37,492.015625,80.5,507.015625,100.5,question,0,g
38,506.515625,94.5,513.515625,94.5,question,0, 
39,513.484375,80.5,525.484375,94.5,question,0,s
40,525.515625,77.5,534.515625,94.5,question,0,t
41,534.265625,80.5,547.265625,100.5,question,0,y
42,547.71875,75.5,553.71875,94.5,question,0,l
43,553.8125,80.5,567.8125,94.5,question,0,e
44,567.3125,94.5,574.3125,94.5,question,0, 
45,574.765625,75.5,580.765625,94.5,question,0,i
46,581.21875,80.5,596.21875,94.5,question,0,n
47,595.71875,94.5,602.71875,94.5,question,0, 
48,602.75,77.5,611.75,94.5,question,0,t
49,612.203125,75.5,627.203125,94.5,question,0,h
50,627.65625,75.5,633.65625,94.5,question,0,i
51,633.625,80.5,645.625,94.5,question,0,s
52,645.125,94.5,652.125,94.5,question,0, 
53,652.15625,77.5,661.15625,94.5,question,0,t
54,661.25,80.5,675.25,94.5,question,0,e
55,674.96875,80.5,687.96875,94.5,question,0,x
56,688.0,77.5,697.0,94.5,question,0,t
57,696.84375,76.5,707.84375,94.5,question,0,?
58,100.296875,216.5,114.296875,234.5,option:0,0,4
59,113.796875,234.5,120.796875,234.5,option:0,0, 
60,120.296875,226.5,133.296875,234.5,option:0,0,–
61,132.796875,234.5,139.796875,234.5,option:0,0, 
62,139.5,220.5,152.5,234.5,option:0,0,v
63,152.59375,220.5,166.59375,234.5,option:0,0,e
64,166.921875,220.5,176.921875,234.5,option:0,0,r
65,176.671875,220.5,189.671875,240.5,option:0,0,y
66,189.171875,234.5,196.171875,234.5,option:0,0, 
67,196.625,220.5,211.625,234.5,option:0,0,n
68,211.65625,220.5,225.65625,234.5,option:0,0,a
69,225.6875,217.5,234.6875,234.5,option:0,0,t
70,235.140625,220.5,250.140625,234.5,option:0,0,u
71,250.46875,220.5,260.46875,234.5,option:0,0,r
72,260.0,220.5,274.0,234.5,option:0,0,a
73,274.453125,215.5,280.453125,234.5,option:0,0,l
74,100.296875,286.5,114.296875,304.5,option:1,0,3
75,113.796875,304.5,120.796875,304.5,option:1,0, 
76,120.296875,296.5,133.296875,304.5,option:1,0,–
77,132.796875,304.5,139.796875,304.5,option:1,0, 
78,140.125,290.5,150.125,304.5,option:1,0,r
79,149.65625,290.5,163.65625,304.5,option:1,0,a
80,163.6875,287.5,172.6875,304.5,option:1,0,t
81,173.140625,285.5,188.140625,304.5,option:1,0,h
82,188.234375,290.5,202.234375,304.5,option:1,0,e
83,202.5625,290.5,212.5625,304.5,option:1,0,r
84,212.0625,304.5,219.0625,304.5,option:1,0, 
85,219.515625,290.5,234.515625,304.5,option:1,0,n
86,234.546875,290.5,248.546875,304.5,option:1,0,a
87,248.578125,287.5,257.578125,304.5,option:1,0,t
88,258.03125,290.5,273.03125,304.5,option:1,0,u
89,273.359375,290.5,283.359375,304.5,option:1,0,r
90,282.890625,290.5,296.890625,304.5,option:1,0,a
91,297.34375,285.5,303.34375,304.5,option:1,0,l
92,100.296875,356.5,114.296875,374.5,option:2,0,2
93,113.796875,374.5,120.796875,374.5,option:2,0, 
94,120.296875,366.5,133.296875,374.5,option:2,0,–
95,132.796875,374.5,139.796875,374.5,option:2,0, 
96,140.125,360.5,150.125,374.5,option:2,0,r
97,149.65625,360.5,163.65625,374.5,option:2,0,a
98,163.6875,357.5,172.6875,374.5,option:2,0,t
99,173.140625,355.5,188.140625,374.5,option:2,0,h
100,188.234375,360.5,202.234375,374.5,option:2,0,e
101,202.5625,360.5,212.5625,374.5,option:2,0,r
102,212.0625,374.5,219.0625,374.5,option:2,0, 
103,219.515625,360.5,234.515625,374.5,option:2,0,u
104,234.96875,360.5,249.96875,374.5,option:2,0,n
105,250.421875,360.5,265.421875,374.5,option:2,0,n
106,265.453125,360.5,279.453125,374.5,option:2,0,a
107,279.484375,357.5,288.484375,374.5,option:2,0,t
108,288.9375,360.5,303.9375,374.5,option:2,0,u
109,304.265625,360.5,314.265625,374.5,option:2,0,r
110,313.796875,360.5,327.796875,374.5,option:2,0,a
111,328.25,355.5,334.25,374.5,option:2,0,l
112,100.296875,426.5,114.296875,444.5,option:3,0,1
113,113.796875,444.5,120.796875,444.5,option:3,0, 
114,120.296875,436.5,133.296875,444.5,option:3,0,–
115,132.796875,444.5,139.796875,444.5,option:3,0, 
116,139.5,430.5,152.5,444.5,option:3,0,v
117,152.59375,430.5,166.59375,444.5,option:3,0,e
118,166.921875,430.5,176.921875,444.5,option:3,0,r
119,176.671875,430.5,189.671875,450.5,option:3,0,y
120,189.171875,444.5,196.171875,444.5,option:3,0, 
121,196.625,430.5,211.625,444.5,option:3,0,u
122,212.078125,430.5,227.078125,444.5,option:3,0,n
123,227.53125,430.5,242.53125,444.5,option:3,0,n
124,242.5625,430.5,256.5625,444.5,option:3,0,a
125,256.59375,427.5,265.59375,444.5,option:3,0,t
126,266.046875,430.5,281.046875,444.5,option:3,0,u
127,281.375,430.5,291.375,444.5,option:3,0,r
128,290.90625,430.5,304.90625,444.5,option:3,0,a
129,305.359375,425.5,311.359375,444.5,option:3,0,l
