index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,118.71875,80.5,133.71875,94.5,question,0,u
6,134.171875,80.5,149.171875,94.5,question,0,n
7,149.265625,80.5,163.265625,94.5,question,0,e
8,162.984375,80.5,175.984375,94.5,question,0,x
9,176.359375,80.5,191.359375,100.5,question,0,p
10,191.453125,80.5,205.453125,94.5,question,0,e
11,205.453125,80.5,217.453125,94.5,question,0,c
12,217.484375,77.5,226.484375,94.5,question,0,t
13,226.578125,80.5,240.578125,94.5,question,0,e
14,240.953125,75.5,255.953125,94.5,question,0,d
15,255.453125,94.5,262.453125,94.5,question,0, 
16,262.546875,80.5,276.546875,94.5,question,0,e
17,275.75,80.5,288.75,94.5,question,0,v
18,288.84375,80.5,302.84375,94.5,question,0,e
19,303.296875,80.5,318.296875,94.5,question,0,n
20,318.328125,77.5,327.328125,94.5,question,0,t
21,326.828125,94.5,333.828125,94.5,question,0, 
22,334.28125,75.5,349.28125,94.5,question,0,h
23,349.3125,80.5,363.3125,94.5,question,0,a
24,363.6875,80.5,378.6875,100.5,question,0,p
25,379.0625,80.5,394.0625,100.5,question,0,p
26,394.15625,80.5,408.15625,94.5,question,0,e
27,408.609375,80.5,423.609375,94.5,question,0,n
28,423.703125,80.5,437.703125,94.5,question,0,e
29,438.078125,75.5,453.078125,94.5,question,0,d
30,452.578125,94.5,459.578125,94.5,question,0, 
31,459.609375,77.5,468.609375,94.5,question,0,t
32,468.734375,80.5,483.734375,94.5,question,0,o
33,483.234375,94.5,490.234375,94.5,question,0, 
34,490.265625,77.5,499.265625,94.5,question,0,t
35,499.71875,75.5,514.71875,94.5,question,0,h
36,514.8125,80.5,528.8125,94.5,question,0,e
37,528.3125,94.5,535.3125,94.5,question,0, 
38,535.765625,80.5,550.765625,94.5,question,0,n
39,550.796875,80.5,564.796875,94.5,question,0,a
40,565.125,80.5,575.125,94.5,question,0,r
41,575.453125,80.5,585.453125,94.5,question,0,r
42,584.984375,80.5,598.984375,94.5,question,0,a
43,599.015625,77.5,608.015625,94.5,question,0,t
44,608.140625,80.5,623.140625,94.5,question,0,o
45,623.46875,80.5,633.46875,94.5,question,0,r
46,632.96875,94.5,639.96875,94.5,question,0, 
47,640.0,80.5,654.0,94.5,question,0,a
48,654.03125,77.5,663.03125,94.5,question,0,t
49,662.53125,94.5,669.53125,94.5,question,0, 
50,669.5625,77.5,678.5625,94.5,question,0,t
51,679.015625,75.5,694.015625,94.5,question,0,h
52,694.109375,80.5,708.109375,94.5,question,0,e
53,707.609375,94.5,714.609375,94.5,question,0, 
54,714.984375,75.5,729.984375,94.5,question,0,d
55,730.4375,75.5,736.4375,94.5,question,0,i
56,736.890625,80.5,751.890625,94.5,question,0,n
57,751.984375,80.5,765.984375,94.5,question,0,e
58,766.3125,80.5,776.3125,94.5,question,0,r
59,776.15625,76.5,787.15625,94.5,question,0,?
60,99.90625,216.5,113.90625,234.5,option:0,0,T
61,114.359375,215.5,129.359375,234.5,option:0,0,h
62,129.453125,220.5,143.453125,234.5,option:0,0,e
63,142.953125,234.5,149.953125,234.5,option:0,0, 
64,150.328125,215.5,165.328125,234.5,option:0,0,d
65,165.78125,215.5,171.78125,234.5,option:0,0,i
66,172.234375,220.5,187.234375,234.5,option:0,0,n
67,187.328125,220.5,201.328125,234.5,option:0,0,e
68,201.65625,220.5,211.65625,234.5,option:0,0,r
69,211.15625,234.5,218.15625,234.5,option:0,0, 
70,218.484375,220.5,228.484375,234.5,option:0,0,r
71,228.015625,220.5,242.015625,234.5,option:0,0,a
72,242.46875,220.5,257.46875,234.5,option:0,0,n
73,256.96875,234.5,263.96875,234.5,option:0,0, 
74,264.09375,220.5,279.09375,234.5,option:0,0,o
75,279.546875,220.5,294.546875,234.5,option:0,0,u
76,294.578125,217.5,303.578125,234.5,option:0,0,t
77,303.078125,234.5,310.078125,234.5,option:0,0, 
78,310.203125,220.5,325.203125,234.5,option:0,0,o
79,323.796875,215.5,333.796875,234.5,option:0,0,f
80,333.296875,234.5,340.296875,234.5,option:0,0, 
81,338.890625,215.5,348.890625,234.5,option:0,0,f
82,349.015625,220.5,364.015625,234.5,option:0,0,o
83,364.140625,220.5,379.140625,234.5,option:0,0,o
84,379.515625,215.5,394.515625,234.5,option:0,0,d
85,394.21875,231.5,401.21875,234.5,option:0,0,.
86,99.96875,286.5,115.96875,304.5,option:1,0,A
87,115.46875,304.5,122.46875,304.5,option:1,0, 
88,122.4375,290.5,134.4375,304.5,option:1,0,s
89,134.46875,287.5,143.46875,304.5,option:1,0,t
90,143.796875,290.5,153.796875,304.5,option:1,0,r
91,153.328125,290.5,167.328125,304.5,option:1,0,a
92,167.78125,290.5,182.78125,304.5,option:1,0,n
93,183.15625,290.5,198.15625,310.5,option:1,0,g
