index,left,top,right,bottom,section,line,content
0,43.75,50,115.2421875,120.0,question,0,What
1,115.2421875,50,259.25,120.0,question,0,unexpected
2,259.25,50,330.8046875,120.0,question,0,event
3,330.8046875,50,456.34375,120.0,question,0,happened
4,456.34375,50,487.0,120.0,question,0,to
5,487.0,50,532.2890625,120.0,question,0,the
6,532.2890625,50,636.734375,120.0,question,0,narrator
7,636.734375,50,666.296875,120.0,question,0,at
8,666.296875,50,711.546875,120.0,question,0,the
9,711.546875,50,793.65625,120.0,question,0,diner?
10,93.40625,190.0,146.890625,260.0,option:0,0,The
11,146.890625,190.0,215.0703125,260.0,option:0,0,diner
12,215.0703125,190.0,260.78125,260.0,option:0,0,ran
13,260.78125,190.0,306.890625,260.0,option:0,0,out
14,306.890625,190.0,336.34375,260.0,option:0,0,of
15,336.34375,190.0,407.71875,260.0,option:0,0,food.
16,93.46875,260.0,119.203125,330.0,option:1,0,A
17,119.203125,260.0,226.0546875,330.0,option:1,0,stranger
18,226.0546875,260.0,305.296875,330.0,option:1,0,joined
19,305.296875,260.0,373.03125,330.0,option:1,0,them
20,373.03125,260.0,414.46875,330.0,option:1,0,for
21,414.46875,260.0,541.03125,330.0,option:1,0,breakfast.
22,93.40625,330.0,146.53125,400.0,option:2,0,The
23,146.53125,330.0,249.53125,400.0,option:2,0,waitress
24,249.53125,330.0,330.078125,400.0,option:2,0,forgot
25,330.078125,330.0,391.984375,400.0,option:2,0,their
26,391.984375,330.0,469.125,400.0,option:2,0,order.
27,93.40625,400.0,159.1171875,470.0,option:3,0,They
28,159.1171875,400.0,264.109375,470.0,option:3,0,received
29,264.109375,400.0,284.8125,470.0,option:3,0,a
30,284.8125,400.0,348.90625,470.0,option:3,0,meal
31,348.90625,400.0,406.1875,470.0,option:3,0,with
32,406.1875,400.0,426.890625,470.0,option:3,0,a
33,426.890625,400.0,563.9765625,470.0,option:3,0,mysterious
34,563.9765625,400.0,633.90625,470.0,option:3,0,note.
