index,left,top,right,bottom,section,line,content
0,50.25,76.5,66.25,94.5,,0,B
1,66.578125,80.5,76.578125,94.5,,0,r
2,76.171875,80.5,90.171875,94.5,,0,e
3,90.203125,80.5,104.203125,94.5,,0,a
4,103.546875,75.5,117.546875,94.5,,0,k
5,116.140625,75.5,126.140625,94.5,,0,f
6,126.171875,80.5,140.171875,94.5,,0,a
7,140.140625,80.5,152.140625,94.5,,0,s
8,152.171875,77.5,161.171875,94.5,,0,t
9,160.671875,94.5,167.671875,94.5,,0, 
10,167.328125,80.5,187.328125,94.5,,0,w
11,187.78125,75.5,193.78125,94.5,,0,i
12,193.8125,77.5,202.8125,94.5,,0,t
13,203.265625,75.5,218.265625,94.5,,0,h
14,217.765625,94.5,224.765625,94.5,,0, 
15,224.796875,80.5,238.796875,94.5,,0,a
16,238.296875,94.5,245.296875,94.5,,0, 
17,245.015625,76.5,259.015625,94.5,,0,S
18,259.046875,77.5,268.046875,94.5,,0,t
19,268.375,80.5,278.375,94.5,,0,r
20,277.90625,80.5,291.90625,94.5,,0,a
21,292.359375,80.5,307.359375,94.5,,0,n
22,307.734375,80.5,322.734375,100.5,,0,g
23,322.828125,80.5,336.828125,94.5,,0,e
24,337.15625,80.5,347.15625,94.5,,0,r
25,49.96875,216.5,65.96875,234.5,,2,A
26,65.9375,220.5,77.9375,234.5,,2,s
27,77.4375,234.5,84.4375,234.5,,2, 
28,84.90625,216.5,92.90625,234.5,,2,I
29,92.40625,234.5,99.40625,234.5,,2, 
30,99.375,220.5,111.375,234.5,,2,s
31,111.828125,215.5,117.828125,234.5,,2,l
32,118.28125,215.5,124.28125,234.5,,2,i
33,124.65625,215.5,139.65625,234.5,,2,d
34,139.15625,234.5,146.15625,234.5,,2, 
35,146.609375,215.5,152.609375,234.5,,2,i
36,153.0625,220.5,168.0625,234.5,,2,n
37,168.09375,217.5,177.09375,234.5,,2,t
38,177.21875,220.5,192.21875,234.5,,2,o
39,191.71875,234.5,198.71875,234.5,,2, 
40,198.75,217.5,207.75,234.5,,2,t
41,208.203125,215.5,223.203125,234.5,,2,h
42,223.296875,220.5,237.296875,234.5,,2,e
43,236.796875,234.5,243.796875,234.5,,2, 
44,244.171875,215.5,259.171875,234.5,,2,b
45,259.296875,220.5,274.296875,234.5,,2,o
46,274.421875,220.5,289.421875,234.5,,2,o
