index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,118.71875,80.5,133.71875,94.5,question,0,u
6,134.171875,80.5,149.171875,94.5,question,0,n
7,149.265625,80.5,163.265625,94.5,question,0,e
8,162.984375,80.5,175.984375,94.5,question,0,x
9,176.359375,80.5,191.359375,100.5,question,0,p
10,191.453125,80.5,205.453125,94.5,question,0,e
11,205.453125,80.5,217.453125,94.5,question,0,c
12,217.484375,77.5,226.484375,94.5,question,0,t
13,226.578125,80.5,240.578125,94.5,question,0,e
14,240.953125,75.5,255.953125,94.5,question,0,d
15,255.453125,94.5,262.453125,94.5,question,0, 
16,262.546875,80.5,276.546875,94.5,question,0,e
17,275.75,80.5,288.75,94.5,question,0,v
18,288.84375,80.5,302.84375,94.5,question,0,e
19,303.296875,80.5,318.296875,94.5,question,0,n
20,318.328125,77.5,327.328125,94.5,question,0,t
21,326.828125,94.5,333.828125,94.5,question,0, 
22,334.203125,75.5,349.203125,94.5,question,0,d
23,349.65625,75.5,355.65625,94.5,question,0,i
24,355.625,80.5,367.625,94.5,question,0,s
25,367.953125,80.5,377.953125,94.5,question,0,r
26,378.40625,80.5,393.40625,94.5,question,0,u
27,393.78125,80.5,408.78125,100.5,question,0,p
28,408.8125,77.5,417.8125,94.5,question,0,t
29,417.90625,80.5,431.90625,94.5,question,0,e
30,432.28125,75.5,447.28125,94.5,question,0,d
31,446.78125,94.5,453.78125,94.5,question,0, 
32,453.328125,76.5,469.328125,94.5,question,0,R
33,469.359375,80.5,483.359375,94.5,question,0,a
34,483.359375,80.5,495.359375,94.5,question,0,c
35,495.8125,75.5,510.8125,94.5,question,0,h
36,510.90625,80.5,524.90625,94.5,question,0,e
37,525.359375,75.5,531.359375,94.5,question,0,l
38,530.984375,76.5,536.984375,94.5,question,0,'
39,536.203125,80.5,548.203125,94.5,question,0,s
40,547.703125,94.5,554.703125,94.5,question,0, 
41,555.15625,80.5,570.15625,94.5,question,0,u
42,570.125,80.5,582.125,94.5,question,0,s
43,582.578125,80.5,597.578125,94.5,question,0,u
44,597.609375,80.5,611.609375,94.5,question,0,a
45,612.0625,75.5,618.0625,94.5,question,0,l
46,617.5625,94.5,624.5625,94.5,question,0, 
47,624.9375,75.5,639.9375,94.5,question,0,b
48,640.265625,80.5,650.265625,94.5,question,0,r
49,649.859375,80.5,663.859375,94.5,question,0,e
50,663.890625,80.5,677.890625,94.5,question,0,a
51,677.234375,75.5,691.234375,94.5,question,0,k
52,689.828125,75.5,699.828125,94.5,question,0,f
53,699.859375,80.5,713.859375,94.5,question,0,a
54,713.828125,80.5,725.828125,94.5,question,0,s
55,725.859375,77.5,734.859375,94.5,question,0,t
56,734.703125,76.5,745.703125,94.5,question,0,?
57,99.90625,216.5,113.90625,234.5,option:0,0,T
58,114.359375,215.5,129.359375,234.5,option:0,0,h
59,129.453125,220.5,143.453125,234.5,option:0,0,e
60,142.953125,234.5,149.953125,234.5,option:0,0, 
61,150.328125,215.5,165.328125,234.5,option:0,0,d
62,165.78125,215.5,171.78125,234.5,option:0,0,i
63,172.234375,220.5,187.234375,234.5,option:0,0,n
64,187.328125,220.5,201.328125,234.5,option:0,0,e
65,201.65625,220.5,211.65625,234.5,option:0,0,r
66,211.15625,234.5,218.15625,234.5,option:0,0, 
67,218.609375,215.5,224.609375,234.5,option:0,0,l
68,224.734375,220.5,239.734375,234.5,option:0,0,o
69,239.703125,220.5,251.703125,234.5,option:0,0,s
70,251.734375,217.5,260.734375,234.5,option:0,0,t
71,260.234375,234.5,267.234375,234.5,option:0,0, 
72,267.609375,220.5,282.609375,240.5,option:0,0,p
73,282.734375,220.5,297.734375,234.5,option:0,0,o
74,296.890625,220.5,316.890625,234.5,option:0,0,w
75,316.984375,220.5,330.984375,234.5,option:0,0,e
76,331.3125,220.5,341.3125,234.5,option:0,0,r
77,340.8125,234.5,347.8125,234.5,option:0,0, 
78,347.78125,220.5,359.78125,234.5,option:0,0,s
79,360.234375,220.5,375.234375,234.5,option:0,0,u
80,375.609375,215.5,390.609375,234.5,option:0,0,d
81,390.984375,215.5,405.984375,234.5,option:0,0,d
82,406.078125,220.5,420.078125,234.5,option:0,0,e
83,420.53125,220.5,435.53125,234.5,option:0,0,n
84,435.984375,215.5,441.984375,234.5,option:0,0,l
85,441.734375,220.5,454.734375,240.5,option:0,0,y
86,99.546875,286.5,115.546875,304.5,option:1,0,R
87,115.578125,290.5,129.578125,304.5,option:1,0,a
88,129.578125,290.5,141.578125,304.5,option:1,0,c
89,142.03125,285.5,157.03125,304.5,option:1,0,h
90,157.125,290.5,171.125,304.5,option:1,0,e
91,171.578125,285.5,177.578125,304.5,option:1,0,l
92,177.078125,304.5,184.078125,304.5,option:1,0, 
93,184.40625,290.5,194.40625,304.5,option:1,0,r
