index,left,top,right,bottom,section,line,content
0,43.75,50,164.25,120.0,,0,Breakfast
1,164.25,50,221.53125,120.0,,0,with
2,221.53125,50,241.90625,120.0,,0,a
3,241.90625,50,353.65625,120.0,,0,Stranger
4,43.40625,190.0,96.890625,260.0,,2,The
5,96.890625,190.0,182.046875,260.0,,2,diner's
6,182.046875,190.0,321.5703125,260.0,,2,fluorescent
7,321.5703125,190.0,392.8046875,260.0,,2,lights
8,392.8046875,190.0,506.265625,260.0,,2,hummed
9,506.265625,190.0,630.109375,260.0,,2,"overhead,"
10,630.109375,190.0,720.9375,260.0,,2,casting
11,720.9375,190.0,757.1328125,260.0,,2,an
12,757.1328125,190.0,900.109375,260.0,,2,unforgiving
13,900.109375,190.0,966.265625,260.0,,2,glare
14,966.265625,190.0,1027.703125,260.0,,2,over
15,43.53125,260.0,91.8125,330.0,,3,the
16,91.8125,260.0,192.609375,330.0,,3,Formica
17,192.609375,260.0,342.109375,330.0,,3,countertops
18,342.109375,260.0,393.3046875,330.0,,3,and
19,393.3046875,260.0,453.953125,330.0,,3,vinyl
20,453.953125,260.0,548.8203125,330.0,,3,booths.
21,548.8203125,260.0,633.109375,330.0,,3,Rachel
22,633.109375,260.0,719.8984375,330.0,,3,settled
23,719.8984375,260.0,772.4609375,330.0,,3,into
24,772.4609375,260.0,818.8359375,330.0,,3,her
25,818.8359375,260.0,888.65625,330.0,,3,usual
26,888.65625,260.0,975.03125,330.0,,3,"booth,"
27,43.46875,330.0,159.453125,400.0,,4,scanning
28,159.453125,330.0,204.703125,400.0,,4,the
29,204.703125,330.0,279.21875,400.0,,4,menu
30,279.21875,330.0,336.671875,400.0,,4,with
31,336.671875,330.0,450.46875,400.0,,4,practiced
32,450.46875,330.0,581.1875,400.0,,4,familiarity.
33,581.1875,330.0,631.15625,400.0,,4,She
34,631.15625,330.0,731.5390625,400.0,,4,ordered
35,731.5390625,330.0,777.9140625,400.0,,4,her
36,777.9140625,330.0,847.734375,400.0,,4,usual
37,847.734375,330.0,974.296875,400.0,,4,breakfast:
38,43.46875,400.0,175.796875,470.0,,5,scrambled
39,175.796875,400.0,245.765625,470.0,,5,"eggs,"
40,245.765625,400.0,320.828125,470.0,,5,crispy
41,320.828125,400.0,405.84375,470.0,,5,"bacon,"
42,405.84375,400.0,457.015625,470.0,,5,and
43,457.015625,400.0,603.671875,470.0,,5,whole-grain
44,603.671875,400.0,676.0,470.0,,5,toast.
45,676.0,400.0,725.828125,470.0,,5,The
46,725.828125,400.0,836.25,470.0,,5,"waitress,"
47,836.25,400.0,856.953125,470.0,,5,a
48,856.953125,400.0,1003.40625,470.0,,5,bleary-eyed
49,43.15625,470.0,141.1171875,540.0,,6,woman
50,141.1171875,470.0,229.84375,540.0,,6,named
51,229.84375,470.0,306.0,540.0,,6,"Darla,"
52,306.0,470.0,420.125,540.0,,6,scribbled
53,420.125,470.0,491.5625,540.0,,6,down
54,491.5625,470.0,536.6875,540.0,,6,the
55,536.6875,470.0,607.890625,540.0,,6,order
56,607.890625,470.0,659.25,540.0,,6,and
57,659.25,470.0,760.78125,540.0,,6,trudged
58,760.78125,470.0,833.6640625,540.0,,6,"away,"
59,833.6640625,470.0,924.2734375,540.0,,6,leaving
60,924.2734375,470.0,1008.59375,540.0,,6,Rachel
61,1008.59375,470.0,1042.484375,540.0,,6,to
62,43.15625,540.0,112.375,610.0,,7,wait.
63,43.171875,680.0,148.390625,750.0,,9,Minutes
64,148.390625,680.0,225.359375,750.0,,9,ticked
65,225.359375,680.0,265.015625,750.0,,9,"by,"
66,265.015625,680.0,316.1328125,750.0,,9,and
67,316.1328125,680.0,417.265625,750.0,,9,Rachel's
68,417.265625,680.0,524.953125,750.0,,9,stomach
69,524.953125,680.0,626.8984375,750.0,,9,growled
70,626.8984375,680.0,655.09375,750.0,,9,in
71,655.09375,680.0,807.296875,750.0,,9,anticipation.
72,807.296875,680.0,882.046875,750.0,,9,When
73,882.046875,680.0,954.765625,750.0,,9,Darla
74,43.828125,750.0,156.734375,820.0,,10,returned
75,156.734375,750.0,214.015625,820.0,,10,with
76,214.015625,750.0,234.515625,820.0,,10,a
77,234.515625,750.0,351.0,820.0,,10,steaming
78,351.0,750.0,422.7734375,820.0,,10,"plate,"
79,422.7734375,750.0,523.96875,820.0,,10,Rachel's
80,523.96875,750.0,582.65625,820.0,,10,eyes
81,582.65625,750.0,690.0546875,820.0,,10,widened
82,690.0546875,750.0,718.234375,820.0,,10,in
83,718.234375,750.0,847.296875,820.0,,10,confusion.
84,847.296875,750.0,942.046875,820.0,,10,Instead
85,942.046875,750.0,972.25,820.0,,10,of
86,972.25,750.0,1045.46875,820.0,,10,"eggs,"
