index,left,top,right,bottom,section,line,content
1964,50.09375,80.5,64.09375,94.5,,0,e
1965,63.8125,80.5,76.8125,94.5,,0,x
1966,77.1875,80.5,92.1875,100.5,,0,p
1967,92.515625,80.5,102.515625,94.5,,0,r
1968,102.109375,80.5,116.109375,94.5,,0,e
1969,116.078125,80.5,128.078125,94.5,,0,s
1970,128.046875,80.5,140.046875,94.5,,0,s
1971,140.5,75.5,146.5,94.5,,0,i
1972,146.625,80.5,161.625,94.5,,0,o
1973,162.078125,80.5,177.078125,94.5,,0,n
1974,176.78125,91.5,183.78125,94.5,,0,.
1975,183.28125,94.5,190.28125,94.5,,0, 
1976,189.828125,76.5,205.828125,94.5,,0,R
1977,205.859375,80.5,219.859375,94.5,,0,a
1978,219.859375,80.5,231.859375,94.5,,0,c
1979,232.3125,75.5,247.3125,94.5,,0,h
1980,247.40625,80.5,261.40625,94.5,,0,e
1981,261.859375,75.5,267.859375,94.5,,0,l
1982,267.359375,94.5,274.359375,94.5,,0, 
1983,274.8125,75.5,289.8125,94.5,,0,h
1984,289.90625,80.5,303.90625,94.5,,0,e
1985,303.875,80.5,315.875,94.5,,0,s
1986,316.328125,75.5,322.328125,94.5,,0,i
1987,322.359375,77.5,331.359375,94.5,,0,t
1988,331.390625,80.5,345.390625,94.5,,0,a
1989,345.421875,77.5,354.421875,94.5,,0,t
1990,354.515625,80.5,368.515625,94.5,,0,e
1991,368.890625,75.5,383.890625,94.5,,0,d
1992,383.59375,91.5,390.59375,97.5,,0,","
1993,390.09375,94.5,397.09375,94.5,,0, 
1994,397.546875,80.5,412.546875,94.5,,0,u
1995,413.0,80.5,428.0,94.5,,0,n
1996,427.96875,80.5,439.96875,94.5,,0,s
1997,440.421875,80.5,455.421875,94.5,,0,u
1998,455.75,80.5,465.75,94.5,,0,r
1999,465.34375,80.5,479.34375,94.5,,0,e
2000,478.84375,94.5,485.84375,94.5,,0, 
2001,486.296875,75.5,501.296875,94.5,,0,h
2002,501.421875,80.5,516.421875,94.5,,0,o
2003,515.578125,80.5,535.578125,94.5,,0,w
2004,535.078125,94.5,542.078125,94.5,,0, 
2005,542.109375,77.5,551.109375,94.5,,0,t
2006,551.234375,80.5,566.234375,94.5,,0,o
2007,565.734375,94.5,572.734375,94.5,,0, 
2008,573.109375,75.5,588.109375,94.5,,0,b
2009,588.4375,80.5,598.4375,94.5,,0,r
2010,598.0625,80.5,613.0625,94.5,,0,o
2011,613.09375,80.5,627.09375,94.5,,0,a
2012,627.09375,80.5,639.09375,94.5,,0,c
2013,639.546875,75.5,654.546875,94.5,,0,h
2014,654.046875,94.5,661.046875,94.5,,0, 
2015,661.078125,77.5,670.078125,94.5,,0,t
2016,670.53125,75.5,685.53125,94.5,,0,h
2017,685.625,80.5,699.625,94.5,,0,e
2018,699.125,94.5,706.125,94.5,,0, 
2019,706.09375,80.5,718.09375,94.5,,0,s
2020,718.546875,80.5,733.546875,94.5,,0,u
2021,733.921875,75.5,748.921875,94.5,,0,b
2022,749.375,75.5,755.375,100.5,,0,j
2023,755.46875,80.5,769.46875,94.5,,0,e
2024,769.46875,80.5,781.46875,94.5,,0,c
2025,781.5,77.5,790.5,94.5,,0,t
2026,790.203125,91.5,797.203125,94.5,,0,.
2027,796.703125,94.5,803.703125,94.5,,0, 
2028,803.953125,76.5,821.953125,94.5,,0,D
2029,821.984375,80.5,835.984375,94.5,,0,a
2030,836.3125,80.5,846.3125,94.5,,0,r
2031,846.765625,75.5,852.765625,94.5,,0,l
2032,852.796875,80.5,866.796875,94.5,,0,a
2033,866.5,91.5,873.5,97.5,,0,","
2034,873.0,94.5,880.0,94.5,,0, 
2035,879.96875,80.5,891.96875,94.5,,0,s
2036,892.0625,80.5,906.0625,94.5,,0,e
2037,906.515625,80.5,921.515625,94.5,,0,n
2038,921.484375,80.5,933.484375,94.5,,0,s
2039,933.9375,75.5,939.9375,94.5,,0,i
2040,940.390625,80.5,955.390625,94.5,,0,n
2041,955.765625,80.5,970.765625,100.5,,0,g
2042,50.453125,150.5,65.453125,164.5,,1,u
2043,65.90625,150.5,80.90625,164.5,,1,n
2044,81.0,150.5,95.0,164.5,,1,e
2045,95.03125,150.5,109.03125,164.5,,1,a
2046,109.0,150.5,121.0,164.5,,1,s
2047,121.09375,150.5,135.09375,164.5,,1,e
2048,134.796875,161.5,141.796875,167.5,,1,","
2049,141.296875,164.5,148.296875,164.5,,1, 
2050,148.75,150.5,163.75,164.5,,1,n
2051,163.875,150.5,178.875,164.5,,1,o
2052,179.25,145.5,194.25,164.5,,1,d
2053,194.625,145.5,209.625,164.5,,1,d
2054,209.71875,150.5,223.71875,164.5,,1,e
2055,224.09375,145.5,239.09375,164.5,,1,d
2056,238.59375,164.5,245.59375,164.5,,1, 
2057,245.5625,150.5,257.5625,164.5,,1,s
