index,left,top,right,bottom,section,line,content
0,50.25,76.5,66.25,94.5,,0,B
1,66.578125,80.5,76.578125,94.5,,0,r
2,76.171875,80.5,90.171875,94.5,,0,e
3,90.203125,80.5,104.203125,94.5,,0,a
4,103.546875,75.5,117.546875,94.5,,0,k
5,116.140625,75.5,126.140625,94.5,,0,f
6,126.171875,80.5,140.171875,94.5,,0,a
7,140.140625,80.5,152.140625,94.5,,0,s
8,152.171875,77.5,161.171875,94.5,,0,t
9,160.671875,94.5,167.671875,94.5,,0, 
10,167.328125,80.5,187.328125,94.5,,0,w
11,187.78125,75.5,193.78125,94.5,,0,i
12,193.8125,77.5,202.8125,94.5,,0,t
13,203.265625,75.5,218.265625,94.5,,0,h
14,217.765625,94.5,224.765625,94.5,,0, 
15,224.796875,80.5,238.796875,94.5,,0,a
16,238.296875,94.5,245.296875,94.5,,0, 
17,245.015625,76.5,259.015625,94.5,,0,S
18,259.046875,77.5,268.046875,94.5,,0,t
19,268.375,80.5,278.375,94.5,,0,r
20,277.90625,80.5,291.90625,94.5,,0,a
21,292.359375,80.5,307.359375,94.5,,0,n
22,307.734375,80.5,322.734375,100.5,,0,g
23,322.828125,80.5,336.828125,94.5,,0,e
24,337.15625,80.5,347.15625,94.5,,0,r
25,50.46875,216.5,58.46875,234.5,,2,I
26,57.96875,234.5,64.96875,234.5,,2, 
27,64.9375,220.5,76.9375,234.5,,2,s
28,77.390625,215.5,83.390625,234.5,,2,l
29,83.84375,215.5,89.84375,234.5,,2,i
30,90.21875,215.5,105.21875,234.5,,2,d
31,104.71875,234.5,111.71875,234.5,,2, 
32,112.171875,215.5,118.171875,234.5,,2,i
33,118.625,220.5,133.625,234.5,,2,n
34,133.65625,217.5,142.65625,234.5,,2,t
35,142.78125,220.5,157.78125,234.5,,2,o
36,157.28125,234.5,164.28125,234.5,,2, 
37,164.3125,217.5,173.3125,234.5,,2,t
38,173.765625,215.5,188.765625,234.5,,2,h
39,188.859375,220.5,202.859375,234.5,,2,e
40,202.359375,234.5,209.359375,234.5,,2, 
41,209.734375,215.5,224.734375,234.5,,2,b
42,224.859375,220.5,239.859375,234.5,,2,o
43,239.984375,220.5,254.984375,234.5,,2,o
44,255.015625,217.5,264.015625,234.5,,2,t
45,264.46875,215.5,279.46875,234.5,,2,h
46,279.171875,231.5,286.171875,237.5,,2,","
