index,left,top,right,bottom,section,line,content
108,43.703125,50,123.6328125,120.0,,0,"""Mind"
109,123.6328125,50,145.1875,120.0,,0,if
110,145.1875,50,160.1484375,120.0,,0,I
111,160.1484375,50,209.78125,120.0,,0,join
112,209.78125,50,281.0078125,120.0,,0,"you?"""
113,281.0078125,50,302.75,120.0,,0,it
114,302.75,50,367.046875,120.0,,0,said.
115,43.21875,190.0,120.328125,260.0,,2,Sarah
116,120.328125,190.0,206.5625,260.0,,2,turned
117,206.5625,190.0,237.1875,260.0,,2,to
118,237.1875,190.0,283.875,260.0,,2,see
119,283.875,190.0,304.578125,260.0,,2,a
120,304.578125,190.0,363.578125,260.0,,2,man
121,363.578125,190.0,420.859375,260.0,,2,with
122,420.859375,190.0,441.046875,260.0,,2,a
123,441.046875,190.0,497.796875,260.0,,2,kind
124,497.796875,190.0,553.734375,260.0,,2,face
125,553.734375,190.0,605.09375,260.0,,2,and
126,605.09375,190.0,625.4375,260.0,,2,a
127,625.4375,190.0,699.484375,260.0,,2,warm
128,699.484375,190.0,774.8125,260.0,,2,smile.
129,774.8125,190.0,814.0,260.0,,2,He
130,814.0,190.0,866.5546875,260.0,,2,was
131,866.5546875,190.0,962.53125,260.0,,2,holding
132,962.53125,190.0,983.046875,260.0,,2,a
133,983.046875,190.0,1035.625,260.0,,2,cup
134,43.625,260.0,76.96875,330.0,,3,of
135,76.96875,260.0,156.0,330.0,,3,coffee
136,156.0,260.0,207.5703125,330.0,,3,and
137,207.5703125,260.0,293.5859375,330.0,,3,looked
138,293.5859375,260.0,340.4296875,330.0,,3,like
139,340.4296875,260.0,376.4765625,330.0,,3,he
140,376.4765625,260.0,427.796875,330.0,,3,had
141,427.796875,260.0,492.953125,330.0,,3,been
142,492.953125,260.0,585.375,330.0,,3,waiting
143,585.375,260.0,626.8515625,330.0,,3,for
144,626.8515625,260.0,676.046875,330.0,,3,just
145,676.046875,260.0,708.7578125,330.0,,3,as
146,708.7578125,260.0,767.453125,330.0,,3,long
147,767.453125,260.0,799.921875,330.0,,3,as
148,799.921875,260.0,848.1796875,330.0,,3,she
149,848.1796875,260.0,909.265625,330.0,,3,had.
150,43.703125,400.0,106.625,470.0,,5,"""Not"
151,106.625,400.0,136.1875,470.0,,5,at
152,136.1875,400.0,186.375,470.0,,5,"all,"""
153,186.375,400.0,260.2421875,470.0,,5,Sarah
154,260.2421875,400.0,354.96875,470.0,,5,"replied,"
155,354.96875,400.0,435.15625,470.0,,5,taking
156,435.15625,400.0,480.21875,470.0,,5,the
157,480.21875,400.0,528.84375,470.0,,5,cup
158,528.84375,400.0,593.1953125,470.0,,5,from
159,593.1953125,400.0,651.5546875,470.0,,5,him.
160,651.5546875,400.0,704.734375,470.0,,5,"""I'm"
161,704.734375,400.0,785.125,470.0,,5,Sarah.
162,785.125,400.0,838.3125,470.0,,5,And
163,838.3125,400.0,888.28125,470.0,,5,you
164,888.28125,400.0,977.125,470.0,,5,"are...?"""
165,43.703125,540.0,100.15625,610.0,,7,"""I'm"
166,100.15625,540.0,173.0390625,610.0,,7,"Alex,"""
167,173.0390625,540.0,208.84375,610.0,,7,he
168,208.84375,540.0,269.90625,610.0,,7,"said,"
169,269.90625,540.0,350.09375,610.0,,7,taking
170,350.09375,540.0,370.59375,610.0,,7,a
171,370.59375,540.0,426.4609375,610.0,,7,seat
172,426.4609375,540.0,484.046875,610.0,,7,next
173,484.046875,540.0,514.9140625,610.0,,7,to
174,514.9140625,540.0,563.8671875,610.0,,7,her.
175,563.8671875,540.0,632.03125,610.0,,7,"""Nice"
176,632.03125,540.0,662.859375,610.0,,7,to
177,662.859375,540.0,729.640625,610.0,,7,meet
178,729.640625,540.0,786.15625,610.0,,7,"you,"
179,786.15625,540.0,880.015625,610.0,,7,"Sarah."""
180,43.46875,680.0,81.203125,750.0,,9,As
181,81.203125,680.0,138.5,750.0,,9,they
182,138.5,680.0,223.671875,750.0,,9,sipped
183,223.671875,680.0,285.515625,750.0,,9,their
184,285.515625,680.0,364.546875,750.0,,9,coffee
185,364.546875,680.0,415.71875,750.0,,9,and
186,415.71875,680.0,500.328125,750.0,,9,waited
187,500.328125,680.0,541.59375,750.0,,9,for
188,541.59375,680.0,586.640625,750.0,,9,the
189,586.640625,680.0,663.0,750.0,,9,storm
190,663.0,680.0,693.828125,750.0,,9,to
191,693.828125,680.0,760.203125,750.0,,9,"pass,"
192,760.203125,680.0,817.5,750.0,,9,they
193,817.5,680.0,907.890625,750.0,,9,started
194,907.890625,680.0,1004.46875,750.0,,9,talking.
195,43.21875,750.0,120.5390625,820.0,,10,Sarah
196,120.5390625,750.0,216.65625,820.0,,10,learned
197,216.65625,750.0,270.671875,820.0,,10,that
198,270.671875,750.0,326.25,820.0,,10,Alex
199,326.25,750.0,378.640625,820.0,,10,was
200,378.640625,750.0,415.8828125,820.0,,10,on
201,415.8828125,750.0,455.859375,820.0,,10,his
202,455.859375,750.0,508.984375,820.0,,10,way
203,508.984375,750.0,539.640625,820.0,,10,to
204,539.640625,750.0,560.3828125,820.0,,10,a
205,560.3828125,750.0,603.8359375,820.0,,10,job
206,603.8359375,750.0,718.1015625,820.0,,10,interview
207,718.1015625,750.0,746.296875,820.0,,10,in
208,746.296875,750.0,846.296875,820.0,,10,another
209,846.296875,750.0,898.75,820.0,,10,"city,"
210,898.75,750.0,950.078125,820.0,,10,and
211,950.078125,750.0,997.9375,820.0,,10,she
212,997.9375,750.0,1053.515625,820.0,,10,was
