index,left,top,right,bottom,section,line,content
1618,50.03125,77.5,59.03125,94.5,,0,t
1619,59.484375,75.5,65.484375,94.5,,0,i
1620,65.859375,80.5,88.859375,94.5,,0,m
1621,88.953125,80.5,102.953125,94.5,,0,e
1622,102.453125,94.5,109.453125,94.5,,0, 
1623,109.90625,75.5,115.90625,94.5,,0,i
1624,116.359375,80.5,131.359375,94.5,,0,n
1625,130.859375,94.5,137.859375,94.5,,0, 
1626,137.890625,80.5,151.890625,94.5,,0,a
1627,151.390625,94.5,158.390625,94.5,,0, 
1628,158.84375,75.5,164.84375,94.5,,0,l
1629,164.96875,80.5,179.96875,94.5,,0,o
1630,180.421875,80.5,195.421875,94.5,,0,n
1631,195.796875,80.5,210.796875,100.5,,0,g
1632,210.296875,94.5,217.296875,94.5,,0, 
1633,217.328125,77.5,226.328125,94.5,,0,t
1634,226.78125,75.5,232.78125,94.5,,0,i
1635,233.15625,80.5,256.15625,94.5,,0,m
1636,256.25,80.5,270.25,94.5,,0,e
1637,269.953125,91.5,276.953125,97.5,,0,","
1638,276.453125,94.5,283.453125,94.5,,0, 
1639,283.421875,80.5,295.421875,94.5,,0,s
1640,295.875,75.5,310.875,94.5,,0,h
1641,310.96875,80.5,324.96875,94.5,,0,e
1642,324.46875,94.5,331.46875,94.5,,0, 
1643,330.0625,75.5,340.0625,94.5,,0,f
1644,340.15625,80.5,354.15625,94.5,,0,e
1645,354.609375,75.5,360.609375,94.5,,0,l
1646,360.640625,77.5,369.640625,94.5,,0,t
1647,369.140625,94.5,376.140625,94.5,,0, 
1648,376.59375,75.5,382.59375,94.5,,0,l
1649,383.046875,75.5,389.046875,94.5,,0,i
1650,388.390625,75.5,402.390625,94.5,,0,k
1651,402.484375,80.5,416.484375,94.5,,0,e
1652,415.984375,94.5,422.984375,94.5,,0, 
1653,422.953125,80.5,434.953125,94.5,,0,s
1654,435.40625,75.5,450.40625,94.5,,0,h
1655,450.5,80.5,464.5,94.5,,0,e
1656,464.0,94.5,471.0,94.5,,0, 
1657,470.65625,80.5,490.65625,94.5,,0,w
1658,490.6875,80.5,504.6875,94.5,,0,a
1659,504.65625,80.5,516.65625,94.5,,0,s
1660,516.15625,94.5,523.15625,94.5,,0, 
1661,523.25,80.5,537.25,94.5,,0,e
1662,536.96875,80.5,549.96875,94.5,,0,x
1663,550.0,80.5,564.0,94.5,,0,a
1664,564.0,80.5,576.0,94.5,,0,c
1665,576.03125,77.5,585.03125,94.5,,0,t
1666,585.484375,75.5,591.484375,94.5,,0,l
1667,591.234375,80.5,604.234375,100.5,,0,y
1668,603.734375,94.5,610.734375,94.5,,0, 
1669,610.390625,80.5,630.390625,94.5,,0,w
1670,630.84375,75.5,645.84375,94.5,,0,h
1671,645.9375,80.5,659.9375,94.5,,0,e
1672,660.265625,80.5,670.265625,94.5,,0,r
1673,669.859375,80.5,683.859375,94.5,,0,e
1674,683.359375,94.5,690.359375,94.5,,0, 
1675,690.328125,80.5,702.328125,94.5,,0,s
1676,702.78125,75.5,717.78125,94.5,,0,h
1677,717.875,80.5,731.875,94.5,,0,e
1678,731.375,94.5,738.375,94.5,,0, 
1679,738.03125,80.5,758.03125,94.5,,0,w
1680,758.0625,80.5,772.0625,94.5,,0,a
1681,772.03125,80.5,784.03125,94.5,,0,s
1682,783.53125,94.5,790.53125,94.5,,0, 
1683,790.90625,80.5,813.90625,94.5,,0,m
1684,814.0,80.5,828.0,94.5,,0,e
1685,828.03125,80.5,842.03125,94.5,,0,a
1686,842.484375,80.5,857.484375,94.5,,0,n
1687,857.515625,77.5,866.515625,94.5,,0,t
1688,866.015625,94.5,873.015625,94.5,,0, 
1689,873.046875,77.5,882.046875,94.5,,0,t
1690,882.171875,80.5,897.171875,94.5,,0,o
1691,896.671875,94.5,903.671875,94.5,,0, 
1692,904.046875,75.5,919.046875,94.5,,0,b
1693,919.140625,80.5,933.140625,94.5,,0,e
1694,932.84375,91.5,939.84375,94.5,,0,.
1695,939.34375,94.5,946.34375,94.5,,0, 
1696,946.3125,76.5,962.3125,94.5,,0,A
1697,962.765625,80.5,977.765625,94.5,,0,n
1698,978.140625,75.5,993.140625,94.5,,0,d
1699,992.640625,94.5,999.640625,94.5,,0, 
1700,999.671875,80.5,1013.671875,94.5,,0,a
